Order,rowname,ProbeName,Count,Count.gbkey,Gbleys,IDs,ECKnbs,JWnbs,Bnbs,IStag,Starts,Ends,ECKnb,JWnb,Bnb,ID,IS_inserted
30,29,insB-7_2,1,NA,NA,NA,NA,NA,NA,T,4523845,4523904,ECK0022,JW4256,b4564,cds-insB-3,
31,399,insC,4,10,"CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS","cds-BAA16005.2,cds-BAE76141.1,cds-BAE76371.1,cds-BAA16036.2,cds-BAA15013.1,cds-BAA15822.1,cds-BAE76928.1,cds-BAE77100.1,cds-BAE77578.1,cds-BAE78268.1",ECK0357,"JW5919,JW0351,JW5900,JW5902,JW1400,JW1978,JW2829,JW3012,JW5934,JW4229","NA,b0360,b1403,b1997,b2861,b3044,b4272",T,,,NA,NA,NA,,
32,393,insC-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
33,394,insC-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
34,395,insC-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
35,396,insC-4,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
36,397,insC-5,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
37,398,insC-6,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
38,406,insD,4,11,"CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS","cds-BAA16002.2,cds-BAE76142.1,cds-BAE76370.1,cds-BAA22515.1,cds-BAA15010.1,cds-BAA15283.2,cds-BAA15819.1,cds-BAE76927.1,cds-BAA16573.2,cds-BAE77577.1,cds-BAE78269.1","ECK0358,ECK1572","JW5918,JW0352,JW5899,JW5903,JW1397,JW1570,JW1975,JW2826,JW3013,JW5933,JW4230","NA,b0361,b1402,b1578,b1996,b2860,b3045,b4273",T,,,NA,NA,NA,,
39,400,insD-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
40,401,insD-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
41,402,insD-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
42,403,insD-4,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
43,404,insD-5,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
44,405,insD-6,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
45,1635,insD-7,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
46,326,insE-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
47,327,insE-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
48,328,insE-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
49,329,insE-4,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
50,330,insE-5,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
51,331,insF-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
52,332,insF-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
53,333,insF-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
54,334,insF-4,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
55,335,insF-5,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
56,290,insH,7,18,"CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS,CDS","cds-BAA15871.1,cds-BAE76049.1,cds-BAE76328.1,cds-BAE76355.1,cds-BAE76356.1,cds-BAA14924.1,cds-BAA14963.2,cds-BAA15714.1,cds-BAA15811.1,cds-BAA15962.2,cds-BAE76655.1,cds-BAE77043.1,cds-BAE77163.1,cds-BAE77261.1,cds-BAE77582.1,cds-BAE77585.1,cds-BAE77789.1,cds-BAE78086.1",ECK0261,"JW2014,JW0250,JW0540,JW5895,JW0652,JW1324,JW1363,JW1882,JW1972,JW5914,JW2179,JW2949,JW5928,JW3185,JW5935,JW5936,JW3472,JW5951","b2030,b0259,b0552,NA,b0656,b1331,b1370,b1994,b2192,b2982,b3218,b3505",T,,,NA,NA,NA,,
57,279,insH-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
58,288,insH-10,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
59,289,insH-11,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
60,280,insH-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
61,281,insH-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
62,282,insH-4,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
63,283,insH-5,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
64,284,insH-6,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
65,285,insH-7,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
66,286,insH-8,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
67,287,insH-9,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
68,274,insI-1,1,NA,NA,NA,NA,NA,NA,T,,,ECK0258,JW0246,b0256,,
69,275,insI-2,1,NA,NA,NA,NA,NA,NA,T,,,ECK0258,JW4244,b4284,,
70,276,insI-3,1,NA,NA,NA,NA,NA,NA,T,,,ECK0258,JW4244,b4284,,
71,16,insL-1,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
72,17,insL-2,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
73,18,insL-3,1,NA,NA,NA,NA,NA,NA,T,,,NA,NA,NA,,
74,272,insN-1,1,NA,NA,NA,NA,NA,NA,T,,,ECK0257,JW5024,b0255,,
75,273,insN-2,1,NA,NA,NA,NA,NA,NA,T,,,ECK0257,JW5771,b4283,,
76,277,insO-1,1,NA,NA,NA,NA,NA,NA,T,,,ECK0259,JW0247,b0257,,
77,4349,insO-2,1,NA,NA,NA,NA,NA,NA,T,,,ECK4274,JW4245,b4285,,
78,1393,IS061,1,NA,NA,NA,NA,NA,NA,T,,,ECK1336,JWR0233,b4426,,
79,1966,IS092,1,NA,NA,NA,NA,NA,NA,T,,,ECK1902,JWR0239,b4434,,
80,2063,IS102,1,NA,NA,NA,NA,NA,NA,T,,,ECK1992,JWR0240,b4435,,
81,3571,IS183,1,NA,NA,NA,NA,NA,NA,T,,,ECK3500,JWR0255,b4452,,
82,4470,lasT,1,NA,NA,NA,NA,NA,NA,F,,,ECK4395,JW4366,b4403,,F
83,1425,lomR,1,3,"CDS,CDS,CDS","cds-lomR,cds-lomR-2,cds-lomR-3",ECK1366,"JW5884+JW5904,JW5884,JW5904","b4570,b1369,b1371",F,,,ECK1366,JW5884+JW5904,b4570,,T
84,1423,lomR_1,1,NA,NA,NA,NA,NA,NA,F,1429187,1429246,ECK1366,JW5884,b1369,cds-lomR-2,F
85,1424,lomR_2,1,NA,NA,NA,NA,NA,NA,F,1430573,1430632,ECK1366,JW5904,b1371,cds-lomR-3,F
86,2185,molR,1,4,"CDS,CDS,CDS,CDS","cds-molR,cds-molR-2,cds-molR-3,cds-molR-4",ECK2108,"JW2102+JW5915+JW5916,JW2102,JW5915,JW5916","b4499,b2115,b2116,b2117",F,,,ECK2108,JW2102+JW5915+JW5916,b4499,,F
87,2182,molR_1,1,NA,NA,NA,NA,NA,NA,F,2199998,2200057,ECK2108,JW2102,b2115,cds-molR-2,F
88,2183,molR_2,1,NA,NA,NA,NA,NA,NA,F,2202465,2202524,ECK2108,JW5915,b2116,cds-molR-3,F
89,2184,molR_3,1,NA,NA,NA,NA,NA,NA,F,2203469,2203528,ECK2108,JW5916,b2117,cds-molR-4,F
90,3806,oriC,1,NA,NA,NA,NA,NA,NA,F,,,NA,NA,NA,,F
91,4169,phnE,2,2,"CDS,CDS","cds-phnE,cds-BAE78106.1","ECK4096,ECK4097","JW4064,JW4065","b4103,b4104",F,,,ECK4096+ECK4097,JW4064+JW4065,b4103+b4104,,F
92,2288,rcsC,3,3,"CDS,CDS,misc_feature","cds-BAA16001.2,cds-BAA16014.1,id-rcsC",ECK2211,"JW5917,JW5920,JW5920+JW5917",b2218,F,,,ECK2211,JW5920+JW5917,b2218,,T in W3110
93,1277,rtT,1,NA,NA,NA,NA,NA,NA,F,,,ECK1223,JWR0232,b4425,,
94,182,t44,1,NA,NA,NA,NA,NA,NA,F,,,ECK0167,JWR0225,b4414,,
95,2624,tke1,1,NA,NA,NA,NA,NA,NA,F,,,ECK2554,JWR0245,b4441,,
96,1432,tke8,1,NA,NA,NA,NA,NA,NA,F,,,ECK1373,JWR0234,b4427,,
97,3773,tnaB,3,3,"CDS,CDS,misc_feature","cds-BAE77581.1,cds-BAE77583.1,id-tnaB",ECK3702,"JW5619,JW5622,JW5619+JW5622",b3709,F,,,ECK3702,JW5619,b3709,,T in W3110
98,2097,wbbL,1,3,"CDS,CDS,CDS","cds-wbbL,cds-wbbL-2,cds-wbbL-3",ECK2025,"JW2016+JW2012,JW2012,JW2016","b4571,b4540,b2031",F,,,ECK2025,JW2016+JW2012,b4571,,T
99,2095,wbbL_1,1,NA,NA,NA,NA,NA,NA,F,2105296,2105355,ECK2025,JW2016,b2031,cds-wbbL-3,F
100,2096,wbbL_2,1,NA,NA,NA,NA,NA,NA,F,2103552,2103611,ECK2025,JW2012,b4540,cds-wbbL-2,F
101,1459,ybda,1,NA,NA,NA,NA,NA,NA,F,,,ECK0584,JW0583,b0591,,F
102,1059,ycdN,1,3,"CDS,CDS,CDS","cds-ycdN,cds-ycdN-2,cds-ycdN-3",ECK1007,"JW5141+JW1002,JW5141,JW1002","b4490,b1016,b1017",F,,,ECK1007,JW5141+JW1002,b4490,,F
103,1057,ycdN_1,1,NA,NA,NA,NA,NA,NA,F,1081807,1081866,ECK1007,JW5141,b1016,cds-ycdN-2,F
104,1058,ycdN_2,1,NA,NA,NA,NA,NA,NA,F,1082435,1082494,ECK1007,JW1002,b1017,cds-ycdN-3,F
105,1211,ycgH,1,3,"CDS,CDS,CDS","cds-ycgH,cds-ycgH-2,cds-ycgH-3",ECK1157,"JW5901+JW5176,JW5901,JW5176","b4491,b1169,b1170",F,,,ECK1157,JW5901+JW5176,b4491,,F
106,1209,ycgH_1,1,NA,NA,NA,NA,NA,NA,F,1222508,1222567,ECK1157,JW5901,b1169,cds-ycgH-2,F
107,1210,ycgH_2,1,NA,NA,NA,NA,NA,NA,F,1223500,1223559,ECK1157,JW5176,b1170,cds-ycgH-3,F
108,1290,ychG,1,3,"CDS,CDS,CDS","cds-ychG,cds-ychG-2,cds-ychG-3",ECK1234,"JW5883+JW1227,JW1227,JW5883","b4573,b1239,b1240",F,1296420,1296479,ECK1234,JW5883+JW1227,b4573,cds-ychG-2,F
109,1289,ychG_1,1,NA,NA,NA,NA,NA,NA,F,1296703,1296762,ECK1234,JW5883,b1240,cds-ychG-3,F
110,1288,ychG_2,1,NA,NA,NA,NA,NA,NA,F,1296048,1296107,ECK1234,JW1227,b1239,cds-ychG-2,F
111,1327,yciX,1,3,"CDS,CDS,CDS","cds-yciX,cds-yciX-2,cds-yciX-3",ECK1270,"JW5198+JW5199,JW5198,JW5199","b4574,b4522,b4523",F,,,ECK1270,JW5198+JW5199,b4574,,F
112,1325,yciX_1,1,NA,NA,NA,NA,NA,NA,F,1336890,1336949,ECK1270,JW5198,b4522,cds-yciX-2,F
113,1326,yciX_2,1,NA,NA,NA,NA,NA,NA,F,1337004,1337063,ECK1270,JW5199,b4523,cds-yciX-3,F
114,1457,ydbA_1,1,NA,NA,NA,NA,NA,NA,F,,,ECK1398,JW5802,b1401,,F
115,1458,ydbA_2,1,NA,NA,NA,NA,NA,NA,F,1473535,1473594,ECK1398,JW1402,b1405,cds-ydbA-3,F
116,1998,yedN,1,3,"CDS,CDS,CDS","cds-yedN,cds-yedN-2,cds-yedN-3",ECK1932,"JW5912+JW1918,JW1918,JW5912","b4495,b1933,b1934",F,,,ECK1932,JW5912+JW1918,b4495,,F
117,1997,yedN_1,1,NA,NA,NA,NA,NA,NA,F,2013839,2013898,ECK1932,JW5912,b1934,cds-yedN-3,F
118,1996,yedN_2,1,NA,NA,NA,NA,NA,NA,F,2013530,2013589,ECK1932,JW1918,b1933,cds-yedN-2,F
119,2031,yedS,1,4,"CDS,CDS,CDS,CDS","cds-yedS,cds-yedS-2,cds-yedS-3,cds-yedS-4",ECK1962,"JW5319+JW1948+JW1949,JW5319,JW1948,JW1949","b4496,b1964,b1965,b1966",F,,,ECK1962,JW5319+JW1948+JW1949,b4496,,F
120,2028,yedS_1,1,NA,NA,NA,NA,NA,NA,F,2036614,2036673,ECK1962,JW5319,b1964,cds-yedS-2,F
121,2029,yedS_2,1,NA,NA,NA,NA,NA,NA,F,2036694,2036753,ECK1962,JW1948,b1965,cds-yedS-3,F
122,2030,yedS_3,1,NA,NA,NA,NA,NA,NA,F,2037061,2037120,ECK1962,JW1949,b1966,cds-yedS-4,F
123,2046,yeeL,1,3,"CDS,CDS,CDS","cds-yeeL,cds-yeeL-2,cds-yeeL-3",ECK1975,"JW1961+JW5325,JW5325,JW1961","b4497,b1979,b1980",F,,,ECK1975,JW1961+JW5325,b4497,,F
124,2045,yeeL_1,1,NA,NA,NA,NA,NA,NA,F,2054815,2054874,ECK1975,JW1961,b1980,cds-yeeL-3,F
125,2044,yeeL_2,1,NA,NA,NA,NA,NA,NA,F,2054592,2054651,ECK1975,JW5325,b1979,cds-yeeL-2,F
126,2299,yfaS,1,3,"CDS,CDS,CDS","cds-yfaS,cds-yfaS-2,cds-yfaS-3",ECK2220,"JW2222+JW2221,JW2221,JW2222","b4500,b2227,b2228",F,,,ECK2220,JW2222+JW2221,b4500,,F
127,2298,yfaS_1,1,NA,NA,NA,NA,NA,NA,F,2338677,2338736,ECK2220,JW2222,b2228,cds-yfaS-3,F
128,2297,yfaS_2,1,NA,NA,NA,NA,NA,NA,F,2334504,2334563,ECK2220,JW2221,b2227,cds-yfaS-2,F
129,3278,yhcE,1,3,"CDS,CDS,CDS","cds-yhcE,cds-yhcE-2,cds-yhcE-3",ECK3207,"JW3184+JW3187,JW3184,JW3187","b4569,b3217,b4549",F,,,NA,NA,NA,,F
130,3276,yhcE_1,1,NA,NA,NA,NA,NA,NA,F,,,NA,NA,NA,,F
131,3277,yhcE_2,1,NA,NA,NA,NA,NA,NA,F,,,NA,NA,NA,,F
132,4341,yjgX,1,4,"CDS,CDS,CDS,CDS","cds-yjgX,cds-yjgX-2,cds-yjgX-3,cds-yjgX-4",ECK4266,"JW5764+JW4234+JW5763,JW5763,JW4234,JW5764","b4575,b4560,b4275,b4276",F,,,ECK4266,JW5764+JW4234+JW5763,b4575,,F
133,4339,yjgX_1,1,NA,NA,NA,NA,NA,NA,F,4505163,4505222,ECK4266,JW5764,b4276,cds-yjgX-4,F
134,4338,yjgX_2,1,NA,NA,NA,NA,NA,NA,F,4504723,4504782,ECK4266,JW4234,b4275,cds-yjgX-3,F
135,4340,yjgX_3,1,NA,NA,NA,NA,NA,NA,F,4504357,4504416,ECK4266,JW5763,b4560,cds-yjgX-2,F
136,324,ykgM,2,2,"CDS,CDS","cds-BAE76080.1,cds-BAE76081.1","ECK0295,ECK0296","JW5034,JW5035","b4506,b0296",F,,,ECK0295+ECK0296,JW5034+JW5035,b4506+b0296,,F
137,562,ylbE,1,3,"CDS,CDS,CDS","cds-ylbE,cds-ylbE-2,cds-ylbE-3",ECK0512,"JW0508+JW0507,JW0507,JW0508","b4572,b4507,b0519",F,,,ECK0512,JW0508+JW0507,b4572,,F
138,561,ylbE_1,1,NA,NA,NA,NA,NA,NA,F,547714,547773,ECK0512,JW0507,b4507,cds-ylbE-2,F
139,560,ylbE_2,1,NA,NA,NA,NA,NA,NA,F,548465,548524,ECK0512,JW0508,b0519,cds-ylbE-3,F
140,1489,yncK,1,3,"CDS,CDS,CDS","cds-yncK,cds-yncK-2,cds-yncK-3",ECK1425,"JW5227+JW5961,JW5227,JW5961","b4578,b4530,b4531",F,,,ECK1425,JW5227+JW5961,b4578,,F
141,1487,yncK_1,1,NA,NA,NA,NA,NA,NA,F,1504930,1504989,ECK1425,JW5227,b4530,cds-yncK-2,F
142,1488,yncK_2,1,NA,NA,NA,NA,NA,NA,F,1505267,1505326,ECK1425,JW5961,b4531,cds-yncK-3,F
