TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
efp,efp,,,b4147,ECK4141,efpp
rclBC,"rclB,rclC",,,"b0303,b0301","ECK0302,ECK0301",
leuV,leuV,,,b4368,ECK4359,
istR-2,istR,,,b4616,ECK4425,istR-2p
ydeQ,ydeQ,DNA-binding transcriptional dual regulator Nac,nac,b1502,ECK1495,ydeQp
yeaM,nimR,DNA-binding transcriptional repressor NimR,nimR,b1790,ECK1788,nimRp
insC4D4CD4-ygeON,"insC4,insD4,insCD4,ygeO,ygeN",,,"b2861,b2860,b2859,b2858","ECK0357,ECK0358,ECK2857,ECK2855",
lysU,lysU,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","nac,lrp",b4129,ECK4123,lysUp1
bdcR,bdcR,DNA-binding transcriptional repressor GlaR,glaR,b4251,ECK4244,
ilvLXG_1G_2MEDA,"ilvX,ilvG,ilvA,ilvD,ilvE,ilvM,ilvL","DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","ihfA,ihfB,lrp,nac","b4669,b4488,b3772,b3771,b3770,b3769,b3766","ECK4484,ECK3760,ECK3764,ECK3763,ECK3762,ECK3761,ECK3759",ilvLp1
pstS,pstS,"DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Nac","phoB,ihfA,ihfB,fnr,nac",b3728,ECK3721,pstSp
rrsB-gltT-rrlB-rrfB,"rrfB,rrlB,gltT,rrsB","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Fis","hns,lrp,fis","b3971,b3970,b3969,b3968","ECK3963,ECK3962,ECK3961,ECK3960",rrsBp1
yagGH,"yagH,yagG",,,"b0271,b0270","ECK0272,ECK0271",
queC,queC,,,b0444,ECK0438,
fabI,fabI,DNA-binding transcriptional dual regulator FadR,fadR,b1288,ECK1283,fabIp
gnsA,gnsA,,,b4517,ECK0982,gnsAp2
cspB,cspB,DNA-binding transcriptional activator ZraR-phosphorylated,zraR,b1557,ECK1551,cspBp
rob,rob,"DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator Rob,DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator OmpR-phosphorylated","soxS,rob,marA,ompR",b4396,ECK4388,robp
yncH,yncH,,,b1455,ECK1449,
ynfD,ynfD,DNA-binding transcriptional dual regulator Nac,nac,b1586,ECK1581,
ydaL,smrA,,,b1340,ECK1337,
yghZ,gpr,,,b3001,ECK2995,
ygdR,ygdR,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator YfeC","nac,yfeC",b2833,ECK2829,
yghED,"yghE,yghD",,,"b2969,b2968","ECK2964,ECK2963",
speAB,"speB,speA",DNA-binding transcriptional repressor PurR-hypoxanthine,purR,"b2937,b2938","ECK2932,ECK2933",speAp
dnaTC-yjjA,"yjjA,dnaC,dnaT",,,"b4360,b4361,b4362","ECK4350,ECK4351,ECK4352",dnaTp
bsmA,bsmA,DNA-binding transcriptional dual regulator YciT,yciT,b4189,ECK4185,bsmAp
prfC,prfC,DNA-binding transcriptional dual regulator Nac,nac,b4375,ECK4366,prfCp
garPLRK-rnpB,"rnpB,garK,garR,garL,garP","Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional activator CdaR,DNA-binding transcriptional dual regulator FNR","fur,hns,cdaR,fnr","b3123,b3124,b3125,b3126,b3127","ECK3111,ECK3112,ECK3113,ECK3114,ECK3115",garPp
mutS,mutS,,,b2733,ECK2728,mutSp
groL,groL,DNA-binding transcriptional dual regulator Lrp,lrp,b4143,ECK4137,groLp1
rraB,rraB,,,b4255,ECK4248,rraBp1
astCADBE,"astE,astB,astD,astA,astC","DNA-binding transcriptional dual regulator Rob,DNA-binding transcriptional dual regulator Lrp","rob,lrp","b1744,b1745,b1746,b1747,b1748","ECK1742,ECK1743,ECK1744,ECK1745,ECK1746",astCp3
iraP,iraP,"DNA-binding transcriptional dual regulator CsgD,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator YdcI,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","csgD,hns,ydcI,lrp,nac",b0382,ECK0377,iraPp1
yafL,yafL,,,b0227,ECK0228,
imp-surA-pdxA,"pdxA,surA,lptD",DNA-binding transcriptional repressor GlaR,glaR,"b0052,b0053,b0054","ECK0053,ECK0054,ECK0055",impp3
galET,"galT,galE","DNA-binding transcriptional dual regulator GalR,DNA-binding transcriptional dual regulator HU,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator GalS,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","galR,hupA,hupB,hns,galS,crp","b0758,b0759","ECK0747,ECK0748",galEp1
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK,"glxK,ybbY,allB,ybbW,glxR,hyi,gcl","AllR-allantoin,DNA-binding transcriptional dual regulator Nac","allR,nac","b0514,b0513,b0512,b0511,b0509,b0508,b0507","ECK0507,ECK0506,ECK0505,ECK0504,ECK0502,ECK0501,ECK0500",gclp
valS,valS,,,b4258,ECK4251,valSp2
ynfN,ynfN,,,b1551,ECK1545,
ydcJ,ydcJ,,,b1423,ECK1417,
yfeR,yfeR,,,b2409,ECK2403,
yccR,sxy,DNA-binding transcriptional  repressor CRP-Sxy,"sxy,crp",b0959,ECK0950,sxyp
ygfB-pepP-ubiHI,"ygfB,pepP,ubiH,ubiI",,,"b2909,b2908,b2907,b2906","ECK2904,ECK2903,ECK2902,ECK2901",ygfBp
ygcW,ygcW,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b2774,ECK2768,
basRS,"basS,basR",,,"b4112,b4113","ECK4105,ECK4106",
fpr,fpr,"DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator MarA","soxS,marA",b3924,ECK3916,fprp
yjiJ,yjiJ,,,b4332,ECK4323,
yjdIJ,"yjdJ,yjdI",,,"b4127,b4126","ECK4120,ECK4119",
aroP,aroP,"DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional repressor TyrR-L-tyrosine,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional repressor GlaR,ArgR-L-arginine DNA-binding transcriptional dual regulator","cra,tyrR,fnr,glaR,argR",b0112,ECK0111,aroPp2
napFDAGHBC-ccmABCDEFGH,"ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF","DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator NarP-phosphorylated,DNA-binding transcriptional dual regulator ModE-molybdate,FlhDC DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","narL,narP,modE,flhD,flhC,nac,lrp","b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208","ECK2186,ECK2187,ECK2188,ECK2189,ECK2190,ECK2191,ECK2192,ECK2193,ECK2194,ECK2195,ECK2196,ECK2197,ECK2198,ECK2199,ECK2200",napFp2
rfaYZ,"waaZ,waaY","DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator SoxS","marA,soxS","b3624,b3625","ECK3614,ECK3615",waaYp
rpoS,rpoS,DNA-binding transcriptional dual regulator TorR-phosphorylated,torR,b2741,ECK2736,rpoSp1
yahDEFG,"yahG,yahF,yahE,yahD",,,"b0321,b0320,b0319,b0318","ECK0319,ECK0318,ECK0317,ECK0316",
rutR,rutR,,,b1013,ECK1004,rutRp1
mlaFEDCB,"mlaB,mlaC,mlaD,mlaE,mlaF",,,"b3191,b3192,b3193,b3194,b3195","ECK3180,ECK3181,ECK3182,ECK3183,ECK3184",mlaFp3
tilS,tilS,,,b0188,ECK0187,
kdgK,kdgK,,,b3526,ECK3511,
ssnA,ssnA,,,b2879,ECK2875,ssnAp
dgcF,dgcF,,,b1522,ECK1515,
atpBEFHAGDC,"atpC,atpD,atpG,atpA,atpH,atpF,atpE,atpB",DNA-binding transcriptional dual regulator Lrp,lrp,"b3731,b3732,b3733,b3734,b3735,b3736,b3737,b3738","ECK3724,ECK3725,ECK3726,ECK3727,ECK3728,ECK3729,ECK3730,ECK3731",atpBp2
yegD,yegD,,,b2069,ECK2063,
ompN,ompN,DNA-binding transcriptional dual regulator Nac,nac,b1377,ECK1372,ompNp
hyuA,hyuA,,,b2873,ECK2869,
yrdA,yrdA,,,b3279,ECK3266,yrdAp
gntT,gntT,"DNA-binding transcriptional repressor GntR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","gntR,crp",b3415,ECK3402,gntTp1
yqaBA,"yqaB,yqaA",,,"b2690,b2689","ECK2685,ECK2684",
yjgX,yjgX,,,b4575,ECK4266,
glnHPQ,"glnQ,glnP,glnH","DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator NtrC-phosphorylated,DNA-binding transcriptional activator ZraR-phosphorylated,DNA-binding transcriptional dual regulator Lrp","ihfA,ihfB,glnG,zraR,lrp","b0809,b0810,b0811","ECK0798,ECK0799,ECK0800",glnHp2
pqiABC,"pqiC,pqiB,pqiA","DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator MarA","soxS,marA","b0952,b0951,b0950","ECK0943,ECK0942,ECK0941",pqiAp1
alr,alr,,,b4053,ECK4045,alrp1
tolC-ygiBC,"ygiC,ygiB,tolC","DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional dual regulator OmpR-phosphorylated","phoP,ompR","b3038,b3037,b3035","ECK3029,ECK3028,ECK3026",tolCp2
kdsA,kdsA,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR",b1215,ECK1203,kdsAp
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,"rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Fis","hns,lrp,fis","b3272,b3273,b3274,b3275,b3276,b3277,b3278","ECK3259,ECK3260,ECK3261,ECK3262,ECK3263,ECK3264,ECK3265",rrsDp1
pykF,pykF,,,b1676,ECK1672,pykFp2
paoABCD,"paoA,paoB,paoC,paoD",,,"b0286,b0285,b0284,b0283","ECK0285,ECK0284,ECK0283,ECK0282",
qseBC,"qseC,qseB",DNA-binding transcriptional dual regulator Lrp,lrp,"b3026,b3025","ECK3017,ECK3016",qseBp1
sdiA,sdiA,,,b1916,ECK1915,sdiAp1b
yadGH,"yadH,yadG",,,"b0128,b0127","ECK0127,ECK0126",
uvrB,uvrB,"DNA-binding transcriptional repressor LexA,DnaA-ATP DNA-binding transcriptional dual regulator","lexA,dnaA",b0779,ECK0768,uvrBp3
agrB,agrB,,,b4713,ECK4570,agrBp
yddM,yddM,,,b1477,ECK1471,
ssb,ssb,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b4059,ECK4051,ssbp2
eamA,eamA,DNA-binding transcriptional dual regulator Nac,nac,b1533,ECK1526,
zntB,zntB,,,b1342,ECK1339,zntBp
yqeH,yqeH,DNA-binding transcriptional dual regulator Nac,nac,b2846,ECK2844,
yoaE,yoaE,,,b1816,ECK1814,yoaEp
torCAD,"torC,torA,torD","DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator TorR-phosphorylated,DNA-binding transcriptional dual regulator Nac","narL,torR,nac","b0996,b0997,b0998","ECK0987,ECK0988,ECK0989",torCp
yfjV,yfjV,,,b2641,ECK2635,yfjVp
ytfL,paeA,,,b4218,ECK4214,
narXL,"narL,narX","DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ModE-molybdate,DNA-binding transcriptional dual regulator Nac","fnr,modE,nac","b1221,b1222","ECK1215,ECK1216",narXp
xseA,xseA,"DNA-binding transcriptional dual regulator MarA,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","marA,crp",b2509,ECK2505,xseAp
sroH,sroH,DNA-binding transcriptional dual regulator Lrp,lrp,b4691,ECK4505,sroHp
gpt,gpt,DNA-binding transcriptional dual regulator Lrp,lrp,b0238,ECK0239,gptp
fimE,fimE,"DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator LrhA","hns,lrp,lrhA",b4313,ECK4304,fimEp
aqpZ,aqpZ,,,b0875,ECK0866,
yafZ,yafZ,,,b0252,ECK0254,yafZp
ykfA-yafZ,"ykfA,yafZ",,,"b0253,b0252","ECK0255,ECK0254",
rihC,rihC,,,b0030,ECK0031,
ariR,ariR,CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator,cysB,b1166,ECK1153,
leuL,leuL,"DNA-binding transcriptional dual regulator LeuO,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","leuO,lrp,nac",b0075,ECK0077,leuLp1
ilvIH,"ilvH,ilvI",DNA-binding transcriptional dual regulator Lrp,lrp,"b0078,b0077","ECK0080,ECK0079",ilvIp2
lpp,lpp,DNA-binding transcriptional dual regulator OmpR-phosphorylated,ompR,b1677,ECK1673,lpp
ydcR,ydcR,,,b1439,ECK1433,ydcRp
sapABCDF,"sapA,sapB,sapC,sapD,sapF",,,"b1294,b1293,b1292,b1291,b1290","ECK1289,ECK1288,ECK1287,ECK1286,ECK1285",
ycgJ,ycgJ,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR",b1177,ECK1165,
yjiR,yjiR,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b4340,ECK4331,
csdAE,"csdE,csdA",,,"b2811,b2810","ECK2807,ECK2806",
yfiR-dgcN-yfiB,"yfiB,dgcN,yfiR","DNA-binding transcriptional repressor YjjQ,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","yjjQ,lrp,nac,glaR","b2605,b2604,b2603","ECK2602,ECK2601,ECK2600",yfiRp
manXYZ,"manX,manY,manZ","DNA-binding transcriptional dual regulator Cra,DNA-binding transcriptional repressor Mlc,DNA-binding transcriptional dual regulator NagC,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","cra,mlc,nagC,crp","b1817,b1818,b1819","ECK1815,ECK1816,ECK1817",manXp
hns,hns,"DNA-binding transcriptional dual regulator H-NS,cold shock protein CspA,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator GadX","hns,cspA,fis,gadX",b1237,ECK1232,hnsp
yjeM,yjeM,"DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional dual regulator Lrp","nac,lrp",b4156,ECK4152,
kdgT,kdgT,DNA-binding transcriptional repressor GlaR,glaR,b3909,ECK3902,
glpR,glpR,,,b3423,ECK3409,glpRp2
rseABC,"rseC,rseB,rseA",DNA-binding transcriptional dual regulator Lrp,lrp,"b2570,b2571,b2572","ECK2568,ECK2569,ECK2570",rseAp3
yheO-tusDCB,"tusB,tusC,tusD,yheO",,,"b3343,b3344,b3345,b3346","ECK3330,ECK3331,ECK3332,ECK3333",yheOp2
casDE-ygbTF,"cas2,cas1,casE,casD",,,"b2754,b2755,b2756,b2757","ECK2749,ECK2750,ECK2751,ECK2752",casDp
ftnB,ftnB,DNA-binding transcriptional dual regulator Nac,nac,b1902,ECK1900,ftnBp1
gapA,gapA,,,b1779,ECK1777,gapAp7
mltD,mltD,DNA-binding transcriptional dual regulator Nac,nac,b0211,ECK0211,
pepD,pepD,DNA-binding transcriptional dual regulator Lrp,lrp,b0237,ECK0238,pepDp2
serC,serC,DNA-binding transcriptional dual regulator Lrp,lrp,b0907,ECK0898,serCp2
ychJ,ychJ,,,b1233,ECK1228,
pheLA,"pheA,pheL",,,"b2599,b2598","ECK2596,ECK2595",pheLp
yjcB,yjcB,"DNA-binding transcriptional dual regulator SoxR,DNA-binding transcriptional dual regulator Nac","soxR,nac",b4060,ECK4052,yjcBp
ynbABCD,"ynbD,ynbC,ynbB,ynbA",RcsB-BglJ DNA-binding transcriptional activator,"bglJ,rcsB","b1411,b1410,b1409,b1408","ECK1404,ECK1403,ECK1402,ECK1401",ynbAp
hcaT,hcaT,,,b2536,ECK2533,
ybjD,ybjD,,,b0876,ECK0867,
malK-lamB-malM,"malK,lamB,malM","DNA-binding transcriptional activator MalT-maltotriose-ATP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","malT,crp","b4035,b4036,b4037","ECK4027,ECK4028,ECK4029",malKp
ygbE,ygbE,,,b2749,ECK2744,
yihI,yihI,,,b3866,ECK3859,yihIp
umuDC,"umuD,umuC",DNA-binding transcriptional repressor LexA,lexA,"b1183,b1184","ECK1171,ECK1172",umuDp
serT,serT,DNA-binding transcriptional dual regulator Fis,fis,b0971,ECK0962,serTp
mdtNOP,"mdtN,mdtO,mdtP",,,"b4082,b4081,b4080","ECK4075,ECK4074,ECK4073",
rrlA-rrfA,"rrfA,rrlA",,,"b3855,b3854","ECK3847,ECK3846",rrlAp
arcA,arcA,"DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","fnr,arcA",b4401,ECK4393,arcAp7
rybA-mntS,"rybA,mntS",MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator,mntR,"b4416,b4705","ECK0806,ECK4517",rybAp
glk,glk,,,b2388,ECK2384,glkp1
dinG-ybiB,"ybiB,dinG",DNA-binding transcriptional repressor LexA,lexA,"b0800,b0799","ECK0789,ECK0788",dinGp
fliE,fliE,"DNA-binding transcriptional dual regulator CsgD,FlhDC DNA-binding transcriptional dual regulator","csgD,flhD,flhC",b1937,ECK1935,fliEp1
ymgGD,"ymgG,ymgD",,,"b1172,b1171","ECK1159,ECK1158",
mnt-btuF-yadS,"mtn,btuF,yadS",,,"b0159,b0158,b0157","ECK0158,ECK0157,ECK0156",mtnp
yiaT,yiaT,,,b3584,ECK3573,
nanA,nanA,"DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator NanR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac","fis,nanR,crp,nac",b3225,ECK3214,nanAp
yffB-dapE-ypfN,"ypfN,dapE,yffB","DNA-binding transcriptional dual regulator SutR,ArgR-L-arginine DNA-binding transcriptional dual regulator","sutR,argR","b4547,b2472,b2471","ECK2468,ECK2467,ECK2466",yffBp
tesA-ybbO,"ybbO,tesA",,,"b0493,b0494","ECK0487,ECK0488",tesAp
icd,icd,"DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Nac","arcA,ihfA,ihfB,nac",b1136,ECK1122,icdAp1
rzoR,rzoR,,,b4528,ECK1361,
elaA,elaA,,,b2267,ECK2261,
yphH,yphH,,,b2550,ECK2547,
yigGF,"yigG,yigF",DNA-binding transcriptional repressor GlaR,glaR,"b3818,b3817","ECK3812,ECK3811",
ygaQ,ygaQ,,,b4462,ECK2649,
valVW,"valV,valW",,,"b1665,b1666","ECK1661,ECK1662",valVp
fepB,fepB,"DNA-binding transcriptional dual regulator RutR,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator","rutR,fur",b0592,ECK0585,fepBp
csgC,csgC,FlhDC DNA-binding transcriptional dual regulator,"flhD,flhC",b1043,ECK1029,csgCp
yjbFGH,"yjbH,yjbG,yjbF",,,"b4029,b4028,b4027","ECK4021,ECK4020,ECK4019",
yqjA-mzrA,"mzrA,yqjA",,,"b3096,b3095","ECK3087,ECK3086",yqjAp2
mobAB,"mobB,mobA",DNA-binding transcriptional dual regulator Nac,nac,"b3856,b3857","ECK3848,ECK3849",mobAp1
ubiEJB,"ubiB,ubiJ,ubiE",,,"b3835,b3834,b3833","ECK3829,ECK3828,ECK3827",
ltaE-ybjT,"ybjT,ltaE",,,"b0869,b0870","ECK0860,ECK0861",ltaEp
ymfJ,ymfJ,,,b1144,ECK1130,
bamB-der,"der,bamB",,,"b2511,b2512","ECK2507,ECK2508",bamBp
yhbO,yhbO,DNA-binding transcriptional dual regulator Rob,rob,b3153,ECK3141,
leuO,leuO,"DNA-binding transcriptional dual regulator LrhA,DNA-binding transcriptional dual regulator SlyA,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator LeuO,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","lrhA,slyA,hns,leuO,lrp,nac",b0076,ECK0078,leuOp
murQP-yfeW,"yfeW,murP,murQ",,,"b2430,b2429,b2428","ECK2425,ECK2424,ECK2423",
ilvL,ilvL,"DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","ihfA,ihfB,lrp,nac",b3766,ECK3759,ilvLp1
ilvC,ilvC,IlvY-(<i>S</i>)-2-acetolactate DNA-binding transcriptional dual regulator,ilvY,b3774,ECK3766,ilvCp
gltX,gltX,,,b2400,ECK2394,gltXp1
radD,radD,DNA-binding transcriptional dual regulator Lrp,lrp,b2184,ECK2178,radDp
ymjC-mpaA,"ymjC,mpaA",,,"b4525,b1326","ECK1323,ECK1322",
cbrB,cbrB,"DNA-binding transcriptional regulator CreB-phosphorylated,DNA-binding transcriptional dual regulator Nac","creB,nac",b3716,ECK3709,
ymfI,ymfI,,,b1143,ECK1129,
ompC,ompC,"DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator Lrp","ihfA,ihfB,lrp",b2215,ECK2207,ompCp3
alpA,alpA,,,b2624,ECK2620,
dcd,dcd,,,b2065,ECK2059,dcdp
dsdXA,"dsdX,dsdA","DsdC-D-serine DNA-binding transcriptional dual regulator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","dsdC,crp","b2365,b2366","ECK2361,ECK2362",dsdXp
ydeNM,"ydeM,ydeN","DNA-binding transcriptional dual regulator GadX,AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator NagC,DNA-binding transcriptional dual regulator Lrp","gadX,araC,nagC,lrp","b1497,b1498","ECK1491,ECK1492",ydeNp
yijE,yijE,,,b3943,ECK3935,
mutY-yggX-mltC-nupG,"nupG,mltC,yggX,mutY",DNA-binding transcriptional dual regulator Lrp,lrp,"b2964,b2963,b2962,b2961","ECK2959,ECK2958,ECK2957,ECK2956",mutYp1
putP,putP,DNA-binding transcriptional dual regulator ArcA-phosphorylated,arcA,b1015,ECK1006,putPp5
mdtH,mdtH,,,b1065,ECK1050,
