Gene,Bnb,Left,Right,Product,ECKnb,Synonyms,Object ID,Activated,Activated_Bnb,Inhibited,Inhibited_Bnb
yffR,b2449,2563980,2564372,CPZ-55 prophage; uncharacterized protein YffR,ECK2444,"yffR,b2449,ECK2444",G7279,,,,
bglB,b3721,3902289,3903701,6-phospho-&beta;-glucosidase B,ECK3714,"bglB,blgA,b3721,ECK3714",EG10114,,,,
gntR,b3438,3577731,3578726,DNA-binding transcriptional repressor GntR,ECK3423,"gntR,b3438,ECK3423",EG12630,,,"idnR,idnT,idnO,idnD,idnK,nfuA,yhgH,eda,edd,gntT,gntU,gntK","b4264,b4265,b4266,b4267,b4268,b3414,b3413,b1850,b1851,b3415,b4476,b3437"
lpoB,b1105,1162638,1163279,outer membrane lipoprotein - activator of MrcB activity,ECK1091,"lpoB,ycfM,b1105,ECK1091",G6565,,,,
panD,b0131,146314,146694,"PanD &beta; cleavage product,PanD &alpha; cleavage product,aspartate 1-decarboxylase proenzyme",ECK0130,"panD,b0131,ECK0130",EG11747,,,,
yidD,b4557,3884816,3885073,membrane protein insertion efficiency factor,ECK3697,"yidD,b4557,ECK3697",G0-10470,,,,
priB,b4201,4425520,4425834,primosomal replication protein N,ECK4197,"priB,b4201,ECK4197",EG10764,,,,
aceE,b0114,123017,125680,pyruvate dehydrogenase E1 component,ECK0113,"aceE,b0114,ECK0113",EG10024,,,,
rutG,b1006,1068511,1069839,pyrimidine:H<sup>+</sup> symporter,ECK0997,"rutG,ycdG,b1006,ECK0997",G6517,,,,
ycfJ,b1110,1167599,1168138,PF05433 family protein YcfJ,ECK1096,"ycfJ,b1110,ECK1096",EG12444,,,,
coaD,b3634,3809825,3810304,pantetheine-phosphate adenylyltransferase,ECK3624,"coaD,yicA,kdtB,b3634,ECK3624",EG11190,,,,
yfdK,b2354,2471077,2471517,CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK,ECK2348,"yfdK,b2354,ECK2348",G7223,,,,
fruB,b2169,2262365,2263495,"FruB - his299 phosphorylated,fructose-specific PTS multiphosphoryl transfer protein FruB",ECK2162,"fruB,fpr,fruF,b2169,ECK2162",G7990,,,,
envR,b3264,3412803,3413465,DNA-binding transcriptional repressor EnvR,ECK3251,"envR,acrS,yhdK,b3264,ECK3251",EG11741,,,"acrA,acrB","b0463,b0462"
murE,b0085,93166,94653,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",ECK0086,"murE,b0085,ECK0086",EG10621,,,,
entF,b0586,614157,618038,"seryl-[EntF peptidyl-carrier protein],<i>holo</i> [EntF peptidyl-carrier protein],apo-serine activating enzyme",ECK0579,"entF,b0586,ECK0579",EG10264,,,,
yhjY,b3548,3712236,3712934,putative outer membrane protein YhjY,ECK3535,"yhjY,b3548,ECK3535",EG12269,,,,
dnaB,b4052,4264314,4265729,replicative DNA helicase,ECK4044,"dnaB,groP,grpA,grpD,b4052,ECK4044",EG10236,,,,
kbaZ,b3132,3278914,3280194,"putative tagatose-1,6-bisphosphate aldolase 1 chaperone",ECK3120,"kbaZ,yhaX,agaZ,b3132,ECK3120",G7631,,,,
ybhS,b0793,826119,827252,ABC exporter membrane subunit YbhS,ECK0782,"ybhS,b0793,ECK0782",G6410,,,,
yhjG,b3524,3676290,3678350,AsmA family protein YhjG,ECK3509,"yhjG,yhjF,b3524,ECK3509",EG12251,,,,
coaE,b0103,112599,113219,dephospho-CoA kinase,ECK0103,"coaE,yacE,b0103,ECK0103",EG12312,,,,
ydfW,b1567,1647174,1647323,Qin prophage; protein YdfW,ECK1561,"ydfW,intK,b1567,ECK1561",G6834,,,,
ydjI,b1773,1856933,1857769,L-<i>glycero</i>-L-galacto-octuluronate-1-phosphate aldolase,ECK1771,"ydjI,b1773,ECK1771",G6960,,,,
kdpE,b0694,721056,721733,"KdpE-Phosphorylated,DNA-binding transcriptional activator KdpE",ECK0682,"kdpE,b0694,ECK0682",EG10517,"kdpF,kdpC,kdpB,kdpA","b4513,b0696,b0697,b0698",,
ldtB,b0819,854824,855744,"L,D-transpeptidase LdtB",ECK0809,"ldtB,ybiS,b0819,ECK0809",G6422,,,,
panB,b0134,148807,149601,3-methyl-2-oxobutanoate hydroxymethyltransferase,ECK0133,"panB,b0134,ECK0133",EG11675,,,,
yehI,b2118,2200279,2203911,DUF4132 domain-containing protein YehI,ECK2109,"yehI,b2118,ECK2109",EG11995,,,,
polA,b3863,4046966,4049752,DNA polymerase I,ECK3855,"polA,resA,b3863,ECK3855",EG10746,,,,
paaZ,b1387,1451597,1453642,"fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase",ECK1384,"paaZ,ydbN,maoC,b1387,ECK1384",G6708,,,,
fsr,b0479,503476,504696,fosmidomycin efflux pump,ECK0473,"fsr,b0479,ECK0473",G6256,,,,
yiiF,b3890,4079751,4079969,protein YiiF,ECK3883,"yiiF,b3890,ECK3883",EG11855,,,,
panF,b3258,3407607,3409058,pantothenate:Na+ symporter,ECK3245,"panF,b3258,ECK3245",EG10685,,,,
ydfK,b1544,1633072,1633305,Qin prophage; cold shock protein YdfK,ECK1537,"ydfK,b1544,ECK1537",G6818,,,,
xylF,b3566,3731131,3732123,xylose ABC transporter periplasmic binding protein,ECK3555,"xylF,xylT,b3566,ECK3555",EG20252,,,,
slyA,b1642,1720390,1720824,DNA-binding transcriptional dual regulator SlyA,ECK1638,"slyA,b1642,ECK1638",G6882,"rmf,rsd,pagP,leuO,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,slyA,mdtM,yjiN,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,elfA,casA,casB,casC,casD,casE,cas1,cas2,hlyE","b0953,b3995,b0622,b0076,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b1642,b4337,b4336,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b0938,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b1182","sgcX,sgcB,sgcC,sgcQ,sgcA,sgcE,sgcR,fecR,fecI","b4305,b4565,b4304,b4303,b4302,b4301,b4300,b4292,b4293"
mrdA,b0635,666316,668217,peptidoglycan DD-transpeptidase MrdA,ECK0628,"mrdA,pbpA,b0635,ECK0628",EG10606,,,,
folC,b2315,2431674,2432942,bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase,ECK2309,"folC,dedC,b2315,ECK2309",EG10327,,,,
yicN,b3663,3841950,3842402,DUF1198 domain-containing protein YicN,ECK3654,"yicN,b3663,ECK3654",EG11690,,,,
hda,b2496,2618075,2618776,inibitor of reinitiation of DNA replication,ECK2492,"hda,idaB,yfgE,b2496,ECK2492",G7313,,,,
uxaA,b3091,3241827,3243314,D-altronate dehydratase,ECK3082,"uxaA,ygjW,b3091,ECK3082",EG12734,,,,
cydH,b4602,1737456,1737545,cytochrome <i>bd</i>-I accessory subunit CydH,ECK4411,"cydH,ynhF,cydY,b4602,ECK4411",G0-10594,,,,
yjiH,b4330,4559997,4560680,uncharacterized protein YjiH,ECK4321,"yjiH,b4330,ECK4321",G7927,,,,
folM,b1606,1680976,1681698,dihydromonapterin reductase,ECK1601,"folM,ydgB,b1606,ECK1601",G6862,,,,
xisR,b1346,1413237,1413452,Rac prophage; excisionase,ECK1343,"xisR,ydaQ,b1346,ECK1343",G6677,,,,
xylH,b3568,3733720,3734901,xylose ABC transporter membrane subunit,ECK3557,"xylH,b3568,ECK3557",EG12276,,,,
gltF,b3214,3361176,3361940,periplasmic protein GltF,ECK3204,"gltF,ossB,b3214,ECK3204",EG11514,,,,
lpoA,b3147,3293400,3295436,outer membrane lipoprotein - activator of MrcA activity,ECK3135,"lpoA,yraM,b3147,ECK3135",G7642,,,,
pabC,b1096,1153300,1154109,aminodeoxychorismate lyase,ECK1082,"pabC,b1096,ECK1082",EG11493,,,,
mliC,b1639,1718066,1718395,"inhibitor of c-type lysozyme, putative lipoprotein",ECK1635,"mliC,ydhA,b1639,ECK1635",EG11488,,,,
dnaX,b0470,492092,494023,"DNA polymerase III subunit &gamma;,DNA polymerase III subunit &tau;",ECK0464,"dnaX,dnaZ,b0470,ECK0464",EG10245,,,,
alsE,b4085,4307783,4308478,D-allulose-6-phosphate 3-epimerase,ECK4078,"alsE,yjcU,b4085,ECK4078",EG11957,,,,
mlaE,b3194,3338466,3339248,"intermembrane phospholipid transport system, integral membrane subunit MlaE",ECK3183,"mlaE,yrbE,b3194,ECK3183",EG12800,,,,
dcrB,b3472,3609955,3610512,periplasmic bacteriophage sensitivity protein DcrB,ECK3456,"dcrB,yhhR,b3472,ECK3456",G7767,,,,
nudB,b1865,1948180,1948632,dihydroneopterin triphosphate diphosphatase,ECK1866,"nudB,yebD,ntpA,b1865,ECK1866",EG11138,,,,
ymfE,b1138,1197533,1198237,e14 prophage; uncharacterized protein YmfE,ECK1124,"ymfE,b1138,ECK1124",G6583,,,,
yieL,b3719,3899408,3900577,putative hydrolase YieL,ECK3712,"yieL,b3719,ECK3712",EG11729,,,,
ompR,b3405,3535865,3536584,"OmpR-Phosphorylated,DNA-binding transcriptional dual regulator OmpR",ECK3392,"ompR,cry,kmt,ompB,b3405,ECK3392",EG10672,"feoC,feoA,feoB,tsgA,tolC,sstT,rob,rhtA,pdhR,ompX,narU,gmhA,fadE,acrR,ompC,omrB,omrA,dtpA,csgG,csgF,csgE,csgD,micF,ompF","b3410,b3408,b3409,b3364,b3035,b3089,b4396,b0813,b0113,b0814,b1469,b0222,b0221,b0464,b2215,b4445,b4444,b1634,b1037,b1038,b1039,b1040,b4439,b0929","cadC,cadA,cadB,speFL,potE,speF,lpp,pgaD,pgaC,pgaB,pgaA,ecnB,ompF,sra,flhC,flhD,nmpC,bolA,fadL","b4133,b4131,b4132,b4803,b0692,b0693,b1677,b1021,b1022,b1023,b1024,b4411,b0929,b1480,b1891,b1892,b0553,b0435,b2344"
pbpG,b2134,2223938,2224870,peptidoglycan DD-endopeptidase PbpG,ECK2127,"pbpG,yohB,b2134,ECK2127",EG12015,,,,
folD,b0529,556875,557741,bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase,ECK0522,"folD,ads,b0529,ECK0522",EG10328,,,,
nfsA,b0851,891184,891906,NADPH-dependent nitro/quinone reductase NfsA,ECK0842,"nfsA,mda18,mdaA,ybjB,b0851,ECK0842",EG11261,,,,
rep,b3778,3960677,3962698,ATP-dependent DNA helicase Rep,ECK3770,"rep,dasC,mbrA,mmrA,b3778,ECK3770",EG10837,,,,
focA,b0904,953609,954466,formate channel FocA,ECK0895,"focA,ycaE,b0904,ECK0895",EG11258,,,,
lgoT,b4356,4593361,4594722,galactonate:H+ symporter,ECK4346,"lgoT,yjiZ,yjjL,b4356,ECK4346",EG12587,,,,
yhcG,b3220,3367827,3368954,DUF1016 domain-containing protein YhcG,ECK3209,"yhcG,b3220,ECK3209",G7674,,,,
folB,b3058,3204221,3204589,dihydroneopterin aldolase,ECK3048,"folB,ygiG,b3058,ECK3048",EG11673,,,,
ybcN,b0547,572466,572921,DLP12 prophage; DNA base-flipping protein,ECK0538,"ybcN,b0547,ECK0538",G6303,,,,
uhpA,b3669,3850136,3850726,"UhpA-Phosphorylated,DNA-binding transcriptional activator UhpA",ECK3660,"uhpA,b3669,ECK3660",EG11051,uhpT,b3666,,
argP,b2916,3059753,3060646,DNA-binding transcriptional dual regulator ArgP,ECK2912,"argP,iciA,b2916,ECK2912",EG10490,"asd,dapD,lysA,lysC,gdhA,lysP,dapB,recF,dnaN,dnaA,yfaE,nrdA,nrdB,argO","b3433,b0166,b2838,b4024,b1761,b2156,b0031,b3700,b3701,b3702,b2236,b2234,b2235,b2923",argP,b2916
mepA,b2328,2445560,2446384,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,ECK2322,"mepA,b2328,ECK2322",EG10580,,,,
folK,b0142,157253,157732,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,ECK0141,"folK,b0142,ECK0141",EG11374,,,,
ygeA,b2840,2979943,2980635,amino acid racemase YgeA,ECK2838,"ygeA,b2840,ECK2838",EG11157,,,,
dnaN,b3701,3881221,3882321,&beta; sliding clamp,ECK3693,"dnaN,b3701,ECK3693",EG10242,,,,
ptsH,b2415,2533764,2534021,"phosphocarrier HPr-<i>N</i><sup>&pi;</sup>-phospho-L-histidine,phosphocarrier protein HPr",ECK2410,"ptsH,ctr,hpr,b2415,ECK2410",EG10788,,,,
mdtK,b1663,1743457,1744830,multidrug efflux pump MdtK,ECK1659,"mdtK,norE,norM,ydhE,b1663,ECK1659",EG12400,,,,
yghS,b2985,3133244,3133957,putative ATP-binding protein YghS,ECK2979,"yghS,b2985,ECK2979",G7551,,,,
pabA,b3360,3490266,3490829,aminodeoxychorismate synthase subunit 2,ECK3348,"pabA,b3360,ECK3348",EG10682,,,,
insH1,b0259,274101,275081,CP4-6 prophage; IS<i>5</i> transposase and trans-activator,ECK0261,"insH1,trs5,trs5-1,yi52_1,b0259,ECK0261",G6134,,,,
manX,b1817,1902048,1903019,mannose-specific PTS enzyme IIAB component,ECK1815,"manX,gptB,mpt,ptsL,ptsX,b1817,ECK1815",EG10567,,,,
arsR,b3501,3648528,3648881,DNA-binding transcriptional repressor ArsR,ECK3486,"arsR,arsE,b3501,ECK3486",EG12235,,,"arsR,arsB,arsC","b3501,b3502,b3503"
ftsI,b0084,91413,93179,peptidoglycan DD-transpeptidase FtsI,ECK0085,"ftsI,pbpB,sep,b0084,ECK0085",EG10341,,,,
folA,b0048,49823,50302,dihydrofolate reductase,ECK0049,"folA,tmr,tmrA,b0048,ECK0049",EG10326,,,,
ytjB,b4387,4624145,4624789,probable inner membrane protein Smp,ECK4379,"ytjB,smp,b4387,ECK4379",EG10951,,,,
holD,b4372,4607803,4608216,DNA polymerase III subunit &psi;,ECK4363,"holD,b4372,ECK4363",EG11414,,,,
kgtP,b2587,2724448,2725746,&alpha;-ketoglutarate:H<sup>+</sup> symporter,ECK2585,"kgtP,witA,b2587,ECK2585",EG10522,,,,
arsB,b3502,3648935,3650224,arsenite/antimonite:H<sup>+</sup> antiporter,ECK3487,"arsB,arsF,b3502,ECK3487",EG12236,,,,
ygcR,b2770,2895776,2896555,putative flavoprotein,ECK2765,"ygcR,b2770,ECK2765",G7436,,,,
folP,b3177,3324063,3324911,dihydropteroate synthase,ECK3166,"folP,dhpS,b3177,ECK3166",EG50011,,,,
rzoR,b4528,1423400,1423585,Rac prophage; putative prophage outer membrane lipoprotein RzoR,ECK1361,"rzoR,b4528,ECK1361",G0-10449,,,,
glgP,b3428,3564134,3566581,glycogen phosphorylase,ECK3414,"glgP,glgY,b3428,ECK3414",EG10380,,,,
marA,b1531,1619574,1619957,DNA-binding transcriptional dual regulator MarA,ECK1524,"marA,norB,inaR,cfxB,nfxC,soxQ,b1531,ECK1524",EG11434,"ymgC,ariR,ymgA,ycgZ,xseA,mlaF,mlaE,mlaD,mlaC,mlaB,aldA,yhbW,mdaB,map,glnD,dapD,acrZ,yncE,acnA,ybjN,rimK,nfsA,ybjC,waaZ,waaY,decR,ygiC,ygiB,tolC,inaA,nfsB,zwf,marR,marA,marB,fumC,sodA,micF,nfo,fpr,pqiC,pqiB,pqiA,putA,poxB,acrA,acrB","b1167,b1166,b1165,b1164,b2509,b3195,b3194,b3193,b3192,b3191,b1415,b3160,b3028,b0168,b0167,b0166,b0762,b1452,b1276,b0853,b0852,b0851,b0850,b3624,b3625,b0447,b3038,b3037,b3035,b2237,b0578,b1852,b1530,b1531,b1532,b1611,b3908,b4439,b2159,b3924,b0952,b0951,b0950,b1014,b0871,b0463,b0462","lacA,lacY,lacZ,purA,rob,dctR,slp,yhiD,hdeB,hdeA","b0342,b0343,b0344,b4177,b4396,b3507,b3506,b3508,b3509,b3510"
mepS,b2175,2269979,2270545,"peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase",ECK2169,"mepS,yeiV,spr,b2175,ECK2169",G7147,,,,
folE,b2153,2242984,2243652,GTP cyclohydrolase 1,ECK2146,"folE,b2153,ECK2146",EG11375,,,,
ypfH,b2473,2593072,2593770,esterase YpfH,ECK2469,"ypfH,b2473,ECK2469",G7296,,,,
priC,b0467,490285,490812,primosomal replication protein N'',ECK0461,"priC,b0467,ECK0461",EG10765,,,,
eda,b1850,1932115,1932756,KHG/KDPG aldolase,ECK1851,"eda,hga,kdgA,kga,b1850,ECK1851",EG10256,,,,
punC,b1660,1739911,1741122,purine nucleoside transporter PunC,ECK1656,"punC,ydhC,b1660,ECK1656",EG12141,,,,
pdeN,b2176,2270726,2272282,putative c-di-GMP phosphodiesterase PdeN,ECK2170,"pdeN,rtn,b2176,ECK2170",G7148,,,,
pabB,b1812,1894805,1896166,aminodeoxychorismate synthase subunit 1,ECK1810,"pabB,b1812,ECK1810",EG10683,,,,
ypjK,b2635,2770445,2770681,CP4-57 prophage; uncharacterized protein YpjK,ECK2631,"ypjK,b2635,ECK2631",G7370,,,,
ascB,b2716,2840990,2842414,6-phospho-&beta;-glucosidase AscB,ECK2711,"ascB,sac,b2716,ECK2711",EG10085,,,,
soxR,b4063,4277469,4277933,DNA-binding transcriptional dual regulator SoxR,ECK4055,"soxR,marC,b4063,ECK4055",EG10957,"yjcB,sodA,yrbL,tyrA,aroF,soxS,fumC","b4060,b3908,b3207,b2600,b2601,b4062,b1611",soxR,b4063
dacC,b0839,880727,881929,D-alanyl-D-alanine carboxypeptidase DacC,ECK0829,"dacC,b0839,ECK0829",EG10203,,,,
hemC,b3805,3989825,3990766,hydroxymethylbilane synthase,ECK3799,"hemC,popE,b3805,ECK3799",EG10429,,,,
yeaX,b1803,1885845,1886810,carnitine monooxygenase subunit YeaX,ECK1801,"yeaX,b1803,ECK1801",G6989,,,,
ybhP,b0790,823736,824497,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,ECK0779,"ybhP,b0790,ECK0779",G6407,,,,
nanM,b4310,4537659,4538765,<i>N</i>-acetylneuraminate mutarotase,ECK4301,"nanM,yjhT,b4310,ECK4301",G7920,,,,
nikC,b3478,3616182,3617015,Ni(2+) ABC transporter membrane subunit NikC,ECK3462,"nikC,hydD,hydC,b3478,ECK3462",EG12077,,,,
ydhL,b1648,1725681,1725920,DUF1289 domain-containing protein YdhL,ECK1644,"ydhL,b1648,ECK1644",G6888,,,,
gltX,b2400,2519257,2520672,glutamate&mdash;tRNA ligase,ECK2394,"gltX,gltM,gluRS,b2400,ECK2394",EG10407,,,,
yffO,b2446,2562111,2562527,CPZ-55 prophage; uncharacterized protein YffO,ECK2441,"yffO,b2446,ECK2441",G7276,,,,
glcA,b2975,3119597,3121279,glycolate/lactate:H<sup>+</sup> symporter GlcA,ECK2969,"glcA,yghK,b2975,ECK2969",G7542,,,,
allR,b0506,533011,533826,DNA-binding transcriptional repressor AllR,ECK0499,"allR,glxA3,ybbU,b0506,ECK0499",G6276,,,"allS,allA,glxK,ybbY,allB,ybbW,glxR,hyi,gcl","b0504,b0505,b0514,b0513,b0512,b0511,b0509,b0508,b0507"
ldtE,b1678,1757721,1758725,"L,D-transpeptidase LdtE",ECK1674,"ldtE,ynhG,b1678,ECK1674",G6904,,,,
hemN,b3867,4052045,4053418,coproporphyrinogen III dehydrogenase,ECK3860,"hemN,yihJ,b3867,ECK3860",EG11836,,,,
ydcL,b1431,1502457,1503125,DUF3313 domain-containing lipoprotein YdcL,ECK1424,"ydcL,b1431,ECK1424",G6742,,,,
mrr,b4351,4586949,4587863,Type IV methyl-directed restriction enzyme EcoKMrr,ECK4341,"mrr,b4351,ECK4341",EG10612,,,,
sad,b1525,1613315,1614703,succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad,ECK1518,"sad,yneI,b1525,ECK1518",G6811,,,,
ccmB,b2200,2296362,2297024,cytochrome <i>c</i> maturation protein B,ECK2192,"ccmB,yejV,b2200,ECK2192",EG12058,,,,
yceM,b1068,1126806,1127729,putative oxidoreductase YceM,ECK1053,"yceM,mviM,b1068,ECK1053",G6560,,,,
hemG,b3850,4034608,4035153,protoporphyrinogen oxidase,ECK3842,"hemG,yihB,b3850,ECK3842",EG11485,,,,
yfdG,b2350,2467855,2468217,CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase,ECK2344,"yfdG,gtrA,b2350,ECK2344",G7219,,,,
dcuC,b0621,654583,655968,anaerobic C4-dicarboxylate transporter DcuC,ECK0614,"dcuC,b0621,ECK0614",G6347,,,,
zntR,b3292,3438705,3439130,DNA-binding transcriptional activator ZntR,ECK3279,"zntR,yhdM,b3292,ECK3279",EG11969,zntA,b3469,,
murA,b3189,3335235,3336494,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,ECK3178,"murA,mrbA,murZ,b3189,ECK3178",EG11358,,,,
hemD,b3804,3989088,3989828,uroporphyrinogen-III synthase,ECK3798,"hemD,b3804,ECK3798",EG10430,,,,
dgcI,b0834,875335,876663,putative diguanylate cyclase DgcI,ECK0824,"dgcI,yliF,b0834,ECK0824",G6434,,,,
hsdS,b4348,4580068,4581462,type I restriction enzyme EcoKI specificity subunit,ECK4338,"hsdS,hsp,hss,rm,b4348,ECK4338",EG10460,,,,
pta,b2297,2414747,2416891,phosphate acetyltransferase,ECK2291,"pta,b2297,ECK2291",EG20173,,,,
yddA,b1496,1577657,1579342,ABC transporter family protein YddA,ECK1490,"yddA,b1496,ECK1490",EG11742,,,,
ybdF,b0579,605518,605886,PF04237 family protein YbdF,ECK0571,"ybdF,b0579,ECK0571",G6324,,,,
hemA,b1210,1263714,1264970,glutamyl-tRNA reductase,ECK1198,"hemA,gtrA,b1210,ECK1198",EG10427,,,,
ydfU,b1560,1643255,1644304,Qin prophage; protein YdfU,ECK1554,"ydfU,b1560,ECK1554",G6831,,,,
gatY,b2096,2176350,2177204,"tagatose-1,6-bisphosphate aldolase 2",ECK2089,"gatY,yegF,b2096,ECK2089",EG12419,,,,
betI,b0313,328747,329334,DNA-binding transcriptional repressor BetI,ECK0311,"betI,b0313,ECK0311",EG10111,,,"betT,betA,betB,betI","b0314,b0311,b0312,b0313"
mrcA,b3396,3522871,3525423,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA,ECK3383,"mrcA,ponA,b3396,ECK3383",EG10748,,,,
hemF,b2436,2553225,2554124,coproporphyrinogen III oxidase,ECK2431,"hemF,popB,sec,b2436,ECK2431",EG12189,,,,
ecpC,b0291,306807,309332,putative fimbrial usher protein EcpC,ECK0290,"ecpC,yagX,matD,b0291,ECK0290",G6162,,,,
dcm,b1961,2030899,2032317,DNA-cytosine methyltransferase,ECK1959,"dcm,mec,b1961,ECK1959",EG10211,,,,
kdgK,b3526,3679419,3680348,2-dehydro-3-deoxygluconokinase,ECK3511,"kdgK,yhjI,b3526,ECK3511",EG12253,,,,
proP,b4111,4330502,4332004,osmolyte:H<sup>+</sup> symporter ProP,ECK4104,"proP,b4111,ECK4104",EG11612,,,,
