"","ACCID","DB","Feature","Start","End","misc1","Strand","misc2","Notes","gene_synonym","locus_tag","GeneID","Parent","ID","gbkey","gene_biotype","gene","product","ECKnb"
"15","NC_000913.3","RefSeq","gene",14168,15298,".","+",".","ID=gene-b0015;Dbxref=ASAP:ABE-0000054,ECOCYC:EG10240,GeneID:944753;Name=dnaJ;gbkey=Gene;gene=dnaJ;gene_biotype=protein_coding;gene_synonym=ECK0015,groP,grpC;locus_tag=b0015","ECK0015,groP,grpC","b0015","944753",NA,"gene-b0015","Gene","protein_coding","dnaJ","chaperone protein DnaJ","ECK0015"
"16","NC_000913.3","RefSeq","gene",15445,16557,".","+",".","ID=gene-b0016;Dbxref=ASAP:ABE-0000058,ECOCYC:G6083,GeneID:944754;Name=insL1;gbkey=Gene;gene=insL1;gene_biotype=protein_coding;gene_synonym=ECK0016,yi81-1;locus_tag=b0016","ECK0016,yi81-1","b0016","944754",NA,"gene-b0016","Gene","protein_coding","insL1","IS186/IS421 family transposase","ECK0016"
"17","NC_000913.3","RefSeq","gene",16751,16960,".","-",".","ID=gene-b0018;Dbxref=ASAP:ABE-0000064,ECOCYC:EG10373,GeneID:944756;Name=mokC;gbkey=Gene;gene=mokC;gene_biotype=protein_coding;gene_synonym=ECK0018,gefL;locus_tag=b0018","ECK0018,gefL","b0018","944756",NA,"gene-b0018","Gene","protein_coding","mokC","regulatory protein MokC","ECK0018"
"18","NC_000913.3","RefSeq","gene",16751,16903,".","-",".","ID=gene-b4412;Dbxref=ASAP:ABE-0047278,ECOCYC:G0-9563,GeneID:2847744;Name=hokC;gbkey=Gene;gene=hokC;gene_biotype=protein_coding;gene_synonym=ECK0017,gef;locus_tag=b4412","ECK0017,gef","b4412","2847744",NA,"gene-b4412","Gene","protein_coding","hokC","protein HokC","ECK0017"
"19","NC_000913.3","RefSeq","gene",16952,17010,".","+",".","ID=gene-b4413;Dbxref=ASAP:ABE-0047238,ECOCYC:G0-9581,GeneID:2847745;Name=sokC;gbkey=Gene;gene=sokC;gene_biotype=ncRNA;gene_synonym=ECK0019,sof;locus_tag=b4413","ECK0019,sof","b4413","2847745",NA,"gene-b4413","Gene","ncRNA","sokC","small regulatory RNA antitoxin SokC","ECK0019"
"20","NC_000913.3","RefSeq","gene",17489,18655,".","+",".","ID=gene-b0019;Dbxref=ASAP:ABE-0000068,ECOCYC:EG10652,GeneID:944758;Name=nhaA;gbkey=Gene;gene=nhaA;gene_biotype=protein_coding;gene_synonym=ant,antA,ECK0020;locus_tag=b0019","ant,antA,ECK0020","b0019","944758",NA,"gene-b0019","Gene","protein_coding","nhaA","Na(+):H(+) antiporter NhaA","ECK0020"
"21","NC_000913.3","RefSeq","gene",18715,19620,".","+",".","ID=gene-b0020;Dbxref=ASAP:ABE-0000072,ECOCYC:EG11078,GeneID:944757;Name=nhaR;gbkey=Gene;gene=nhaR;gene_biotype=protein_coding;gene_synonym=antO,ECK0021,yaaB;locus_tag=b0020","antO,ECK0021,yaaB","b0020","944757",NA,"gene-b0020","Gene","protein_coding","nhaR","DNA-binding transcriptional activator NhaR","ECK0021"
"22","NC_000913.3","RefSeq","gene",19811,20314,".","-",".","ID=gene-b0021;Dbxref=ASAP:ABE-0000075,ECOCYC:G6085,GeneID:944743;Name=insB1;gbkey=Gene;gene=insB1;gene_biotype=protein_coding;gene_synonym=ECK0022;locus_tag=b0021","ECK0022","b0021","944743",NA,"gene-b0021","Gene","protein_coding","insB1","IS1 family protein InsB","ECK0022"
"23","NC_000913.3","RefSeq","gene",20233,20508,".","-",".","ID=gene-b0022;Dbxref=ASAP:ABE-0000078,ECOCYC:G6086,GeneID:948449;Name=insA1;gbkey=Gene;gene=insA1;gene_biotype=protein_coding;gene_synonym=ECK0023;locus_tag=b0022","ECK0023","b0022","948449",NA,"gene-b0022","Gene","protein_coding","insA1","IS1 family protein InsA","ECK0023"
"24","NC_000913.3","RefSeq","gene",20815,21078,".","-",".","ID=gene-b0023;Dbxref=ASAP:ABE-0000082,ECOCYC:EG10919,GeneID:944759;Name=rpsT;gbkey=Gene;gene=rpsT;gene_biotype=protein_coding;gene_synonym=ECK0024,sup(s20),supS,supS20;locus_tag=b0023","ECK0024,sup(s20),supS,supS20","b0023","944759",NA,"gene-b0023","Gene","protein_coding","rpsT","30S ribosomal subunit protein S20","ECK0024"
"25","NC_000913.3","RefSeq","gene",21181,21399,".","+",".","ID=gene-b0024;Dbxref=ASAP:ABE-0000089,ECOCYC:G6087,GeneID:949128;Name=yaaY;gbkey=Gene;gene=yaaY;gene_biotype=protein_coding;gene_synonym=ECK0025;locus_tag=b0024","ECK0025","b0024","949128",NA,"gene-b0024","Gene","protein_coding","yaaY","DUF2575 domain-containing protein YaaY","ECK0025"
"26","NC_000913.3","RefSeq","gene",21407,22348,".","+",".","ID=gene-b0025;Dbxref=ASAP:ABE-0000091,ECOCYC:EG11079,GeneID:949129;Name=ribF;gbkey=Gene;gene=ribF;gene_biotype=protein_coding;gene_synonym=ECK0026,yaaC;locus_tag=b0025","ECK0026,yaaC","b0025","949129",NA,"gene-b0025","Gene","protein_coding","ribF","bifunctional riboflavin kinase/FMN adenylyltransferase","ECK0026"
"27","NC_000913.3","RefSeq","gene",22391,25207,".","+",".","ID=gene-b0026;Dbxref=ASAP:ABE-0000094,ECOCYC:EG10492,GeneID:944761;Name=ileS;gbkey=Gene;gene=ileS;gene_biotype=protein_coding;gene_synonym=ECK0027,ilvS;locus_tag=b0026","ECK0027,ilvS","b0026","944761",NA,"gene-b0026","Gene","protein_coding","ileS","isoleucine--tRNA ligase","ECK0027"
"28","NC_000913.3","RefSeq","gene",25207,25701,".","+",".","ID=gene-b0027;Dbxref=ASAP:ABE-0000096,ECOCYC:EG10548,GeneID:944800;Name=lspA;gbkey=Gene;gene=lspA;gene_biotype=protein_coding;gene_synonym=ECK0028,lsp;locus_tag=b0027","ECK0028,lsp","b0027","944800",NA,"gene-b0027","Gene","protein_coding","lspA","lipoprotein signal peptidase","ECK0028"
"29","NC_000913.3","RefSeq","gene",25826,26275,".","+",".","ID=gene-b0028;Dbxref=ASAP:ABE-0000101,ECOCYC:EG11080,GeneID:944807;Name=fkpB;gbkey=Gene;gene=fkpB;gene_biotype=protein_coding;gene_synonym=ECK0029,slpA,yaaD;locus_tag=b0028","ECK0029,slpA,yaaD","b0028","944807",NA,"gene-b0028","Gene","protein_coding","fkpB","peptidyl-prolyl cis-trans isomerase FkpB","ECK0029"
"30","NC_000913.3","RefSeq","gene",26277,27227,".","+",".","ID=gene-b0029;Dbxref=ASAP:ABE-0000103,ECOCYC:EG11081,GeneID:944777;Name=ispH;gbkey=Gene;gene=ispH;gene_biotype=protein_coding;gene_synonym=ECK0030,lytB,yaaE;locus_tag=b0029","ECK0030,lytB,yaaE","b0029","944777",NA,"gene-b0029","Gene","protein_coding","ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","ECK0030"
"31","NC_000913.3","RefSeq","gene",27293,28207,".","+",".","ID=gene-b0030;Dbxref=ASAP:ABE-0000109,ECOCYC:EG11082,GeneID:944796;Name=rihC;gbkey=Gene;gene=rihC;gene_biotype=protein_coding;gene_synonym=ECK0031,yaaF;locus_tag=b0030","ECK0031,yaaF","b0030","944796",NA,"gene-b0030","Gene","protein_coding","rihC","ribonucleoside hydrolase RihC","ECK0031"
"32","NC_000913.3","RefSeq","gene",28374,29195,".","+",".","ID=gene-b0031;Dbxref=ASAP:ABE-0000112,ECOCYC:EG10206,GeneID:944762;Name=dapB;gbkey=Gene;gene=dapB;gene_biotype=protein_coding;gene_synonym=ECK0032;locus_tag=b0031","ECK0032","b0031","944762",NA,"gene-b0031","Gene","protein_coding","dapB","4-hydroxy-tetrahydrodipicolinate reductase","ECK0032"
"33","NC_000913.3","RefSeq","gene",29651,30799,".","+",".","ID=gene-b0032;Dbxref=ASAP:ABE-0000118,ECOCYC:EG10134,GeneID:949025;Name=carA;gbkey=Gene;gene=carA;gene_biotype=protein_coding;gene_synonym=arg,ECK0033,pyrA;locus_tag=b0032","arg,ECK0033,pyrA","b0032","949025",NA,"gene-b0032","Gene","protein_coding","carA","carbamoyl-phosphate synthetase small subunit","ECK0033"
"34","NC_000913.3","RefSeq","gene",30817,34038,".","+",".","ID=gene-b0033;Dbxref=ASAP:ABE-0000121,ECOCYC:EG10135,GeneID:944775;Name=carB;gbkey=Gene;gene=carB;gene_biotype=protein_coding;gene_synonym=ECK0034,pyrA;locus_tag=b0033","ECK0034,pyrA","b0033","944775",NA,"gene-b0033","Gene","protein_coding","carB","carbamoyl-phosphate synthetase large subunit","ECK0034"
"35","NC_000913.3","RefSeq","gene",34300,34695,".","+",".","ID=gene-b0034;Dbxref=ASAP:ABE-0000125,ECOCYC:G6088,GeneID:944795;Name=caiF;gbkey=Gene;gene=caiF;gene_biotype=protein_coding;gene_synonym=ECK0035;locus_tag=b0034","ECK0035","b0034","944795",NA,"gene-b0034","Gene","protein_coding","caiF","DNA-binding transcriptional activator CaiF","ECK0035"
"36","NC_000913.3","RefSeq","gene",34781,35371,".","-",".","ID=gene-b0035;Dbxref=ASAP:ABE-0000128,ECOCYC:EG12608,GeneID:948999;Name=caiE;gbkey=Gene;gene=caiE;gene_biotype=protein_coding;gene_synonym=ECK0036;locus_tag=b0035","ECK0036","b0035","948999",NA,"gene-b0035","Gene","protein_coding","caiE","putative transferase CaiE","ECK0036"
"37","NC_000913.3","RefSeq","gene",35377,36162,".","-",".","ID=gene-b0036;Dbxref=ASAP:ABE-0000130,ECOCYC:EG11557,GeneID:948995;Name=caiD;gbkey=Gene;gene=caiD;gene_biotype=protein_coding;gene_synonym=ECK0037,yaaL;locus_tag=b0036","ECK0037,yaaL","b0036","948995",NA,"gene-b0036","Gene","protein_coding","caiD","crotonobetainyl-CoA hydratase","ECK0037"
"38","NC_000913.3","RefSeq","gene",36271,37824,".","-",".","ID=gene-b0037;Dbxref=ASAP:ABE-0000133,ECOCYC:EG11558,GeneID:944886;Name=caiC;gbkey=Gene;gene=caiC;gene_biotype=protein_coding;gene_synonym=ECK0038,yaaM;locus_tag=b0037","ECK0038,yaaM","b0037","944886",NA,"gene-b0037","Gene","protein_coding","caiC","carnitine--CoA ligase","ECK0038"
"39","NC_000913.3","RefSeq","gene",37898,39115,".","-",".","ID=gene-b0038;Dbxref=ASAP:ABE-0000136,ECOCYC:EG11559,GeneID:948997;Name=caiB;gbkey=Gene;gene=caiB;gene_biotype=protein_coding;gene_synonym=ECK0039,yaaN;locus_tag=b0038","ECK0039,yaaN","b0038","948997",NA,"gene-b0038","Gene","protein_coding","caiB","gamma-butyrobetainyl-CoA:carnitine CoA transferase","ECK0039"
"40","NC_000913.3","RefSeq","gene",39244,40386,".","-",".","ID=gene-b0039;Dbxref=ASAP:ABE-0000139,ECOCYC:EG11560,GeneID:949064;Name=caiA;gbkey=Gene;gene=caiA;gene_biotype=protein_coding;gene_synonym=ECK0040,yaaO;locus_tag=b0039","ECK0040,yaaO","b0039","949064",NA,"gene-b0039","Gene","protein_coding","caiA","crotonobetainyl-CoA reductase","ECK0040"
"41","NC_000913.3","RefSeq","gene",40417,41931,".","-",".","ID=gene-b0040;Dbxref=ASAP:ABE-0000141,ECOCYC:EG11561,GeneID:944765;Name=caiT;gbkey=Gene;gene=caiT;gene_biotype=protein_coding;gene_synonym=ECK0041,yaaP;locus_tag=b0040","ECK0041,yaaP","b0040","944765",NA,"gene-b0040","Gene","protein_coding","caiT","L-carnitine:gamma-butyrobetaine antiporter","ECK0041"
"42","NC_000913.3","RefSeq","gene",42403,43173,".","+",".","ID=gene-b0041;Dbxref=ASAP:ABE-0000145,ECOCYC:EG11562,GeneID:947316;Name=fixA;gbkey=Gene;gene=fixA;gene_biotype=protein_coding;gene_synonym=ECK0042,yaaQ;locus_tag=b0041","ECK0042,yaaQ","b0041","947316",NA,"gene-b0041","Gene","protein_coding","fixA","putative electron transfer flavoprotein FixA","ECK0042"
"43","NC_000913.3","RefSeq","gene",43188,44129,".","+",".","ID=gene-b0042;Dbxref=ASAP:ABE-0000147,ECOCYC:EG11563,GeneID:948939;Name=fixB;gbkey=Gene;gene=fixB;gene_biotype=protein_coding;gene_synonym=ECK0043,yaaR;locus_tag=b0042","ECK0043,yaaR","b0042","948939",NA,"gene-b0042","Gene","protein_coding","fixB","putative electron transfer flavoprotein FixB","ECK0043"
"44","NC_000913.3","RefSeq","gene",44180,45466,".","+",".","ID=gene-b0043;Dbxref=ASAP:ABE-0000149,ECOCYC:EG11564,GeneID:948958;Name=fixC;gbkey=Gene;gene=fixC;gene_biotype=protein_coding;gene_synonym=ECK0044,yaaS;locus_tag=b0043","ECK0044,yaaS","b0043","948958",NA,"gene-b0043","Gene","protein_coding","fixC","putative oxidoreductase FixC","ECK0044"
"45","NC_000913.3","RefSeq","gene",45463,45750,".","+",".","ID=gene-b0044;Dbxref=ASAP:ABE-0000151,ECOCYC:EG11565,GeneID:948590;Name=fixX;gbkey=Gene;gene=fixX;gene_biotype=protein_coding;gene_synonym=ECK0045,yaaT;locus_tag=b0044","ECK0045,yaaT","b0044","948590",NA,"gene-b0044","Gene","protein_coding","fixX","putative ferredoxin FixX","ECK0045"
"46","NC_000913.3","RefSeq","gene",45807,47138,".","+",".","ID=gene-b0045;Dbxref=ASAP:ABE-0000156,ECOCYC:EG11566,GeneID:944766;Name=yaaU;gbkey=Gene;gene=yaaU;gene_biotype=protein_coding;gene_synonym=ECK0046,yabE;locus_tag=b0045","ECK0046,yabE","b0045","944766",NA,"gene-b0045","Gene","protein_coding","yaaU","putative transporter YaaU","ECK0046"
"47","NC_000913.3","RefSeq","gene",47246,47776,".","+",".","ID=gene-b0046;Dbxref=ASAP:ABE-0000159,ECOCYC:EG11568,GeneID:944767;Name=kefF;gbkey=Gene;gene=kefF;gene_biotype=protein_coding;gene_synonym=ECK0047,yabF;locus_tag=b0046","ECK0047,yabF","b0046","944767",NA,"gene-b0046","Gene","protein_coding","kefF","regulator of KefC-mediated potassium transport and quinone oxidoreductase","ECK0047"
"48","NC_000913.3","RefSeq","gene",47769,49631,".","+",".","ID=gene-b0047;Dbxref=ASAP:ABE-0000161,ECOCYC:EG10521,GeneID:944773;Name=kefC;gbkey=Gene;gene=kefC;gene_biotype=protein_coding;gene_synonym=ECK0048,trkC;locus_tag=b0047","ECK0048,trkC","b0047","944773",NA,"gene-b0047","Gene","protein_coding","kefC","K(+) : H(+) antiporter KefC","ECK0048"
"49","NC_000913.3","RefSeq","gene",49823,50302,".","+",".","ID=gene-b0048;Dbxref=ASAP:ABE-0000164,ECOCYC:EG10326,GeneID:944790;Name=folA;gbkey=Gene;gene=folA;gene_biotype=protein_coding;gene_synonym=ECK0049,tmr,tmrA;locus_tag=b0048","ECK0049,tmr,tmrA","b0048","944790",NA,"gene-b0048","Gene","protein_coding","folA","dihydrofolate reductase","ECK0049"
"50","NC_000913.3","RefSeq","gene",50380,51222,".","-",".","ID=gene-b0049;Dbxref=ASAP:ABE-0000167,ECOCYC:EG10048,GeneID:944770;Name=apaH;gbkey=Gene;gene=apaH;gene_biotype=protein_coding;gene_synonym=cfcB,ECK0050;locus_tag=b0049","cfcB,ECK0050","b0049","944770",NA,"gene-b0049","Gene","protein_coding","apaH","diadenosine tetraphosphatase","ECK0050"
"51","NC_000913.3","RefSeq","gene",51229,51606,".","-",".","ID=gene-b0050;Dbxref=ASAP:ABE-0000169,ECOCYC:EG10047,GeneID:944772;Name=apaG;gbkey=Gene;gene=apaG;gene_biotype=protein_coding;gene_synonym=ECK0051;locus_tag=b0050","ECK0051","b0050","944772",NA,"gene-b0050","Gene","protein_coding","apaG","DUF525 domain-containing protein ApaG","ECK0051"
"52","NC_000913.3","RefSeq","gene",51609,52430,".","-",".","ID=gene-b0051;Dbxref=ASAP:ABE-0000175,ECOCYC:EG10523,GeneID:944939;Name=rsmA;gbkey=Gene;gene=rsmA;gene_biotype=protein_coding;gene_synonym=ECK0052,ksgA;locus_tag=b0051","ECK0052,ksgA","b0051","944939",NA,"gene-b0051","Gene","protein_coding","rsmA","16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase","ECK0052"
"53","NC_000913.3","RefSeq","gene",52427,53416,".","-",".","ID=gene-b0052;Dbxref=ASAP:ABE-0000178,ECOCYC:EG10691,GeneID:944919;Name=pdxA;gbkey=Gene;gene=pdxA;gene_biotype=protein_coding;gene_synonym=ECK0053;locus_tag=b0052","ECK0053","b0052","944919",NA,"gene-b0052","Gene","protein_coding","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase","ECK0053"
"54","NC_000913.3","RefSeq","gene",53416,54702,".","-",".","ID=gene-b0053;Dbxref=ASAP:ABE-0000180,ECOCYC:EG10985,GeneID:944812;Name=surA;gbkey=Gene;gene=surA;gene_biotype=protein_coding;gene_synonym=ECK0054;locus_tag=b0053","ECK0054","b0053","944812",NA,"gene-b0053","Gene","protein_coding","surA","chaperone SurA","ECK0054"
"55","NC_000913.3","RefSeq","gene",54755,57109,".","-",".","ID=gene-b0054;Dbxref=ASAP:ABE-0000183,ECOCYC:EG11569,GeneID:945011;Name=lptD;gbkey=Gene;gene=lptD;gene_biotype=protein_coding;gene_synonym=ECK0055,imp,ostA,yabG;locus_tag=b0054","ECK0055,imp,ostA,yabG","b0054","945011",NA,"gene-b0054","Gene","protein_coding","lptD","lipopolysaccharide assembly protein LptD","ECK0055"
"56","NC_000913.3","RefSeq","gene",57364,58179,".","+",".","ID=gene-b0055;Dbxref=ASAP:ABE-0000187,ECOCYC:EG11570,GeneID:948992;Name=djlA;gbkey=Gene;gene=djlA;gene_biotype=protein_coding;gene_synonym=ECK0056,yabH;locus_tag=b0055","ECK0056,yabH","b0055","948992",NA,"gene-b0055","Gene","protein_coding","djlA","co-chaperone protein DjlA","ECK0056"
"57","NC_000913.3","RefSeq","gene",58474,59124,".","+",".","ID=gene-b0056;Dbxref=ASAP:ABE-0000192,ECOCYC:EG12610,GeneID:945039;Name=yabP;gbkey=Gene;gene=yabP;gene_biotype=protein_coding;gene_synonym=b4659,ECK0057;locus_tag=b0056","b4659,ECK0057","b0056","945039",NA,"gene-b0056","Gene","protein_coding","yabP","putative uncharacterized protein YabP","ECK0057"
"58","NC_000913.3","RefSeq","gene",59121,59279,".","+",".","ID=gene-b0057;Dbxref=ASAP:ABE-0000194,ECOCYC:EG12611,GeneID:38094933;Name=yabQ;gbkey=Gene;gene=yabQ;gene_biotype=protein_coding;gene_synonym=b4659,ECK0058;locus_tag=b0057","b4659,ECK0058","b0057","38094933",NA,"gene-b0057","Gene","protein_coding","yabQ","protein YabQ","ECK0058"
"59","NC_000913.3","RefSeq","gene",59687,60346,".","-",".","ID=gene-b0058;Dbxref=ASAP:ABE-0000196,ECOCYC:EG12609,GeneID:946262;Name=rluA;gbkey=Gene;gene=rluA;gene_biotype=protein_coding;gene_synonym=ECK0059,yabO;locus_tag=b0058","ECK0059,yabO","b0058","946262",NA,"gene-b0058","Gene","protein_coding","rluA","23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase","ECK0059"
"60","NC_000913.3","RefSeq","gene",60358,63264,".","-",".","ID=gene-b0059;Dbxref=ASAP:ABE-0000198,ECOCYC:EG11083,GeneID:948523;Name=rapA;gbkey=Gene;gene=rapA;gene_biotype=protein_coding;gene_synonym=ECK0060,hepA,yabA;locus_tag=b0059","ECK0060,hepA,yabA","b0059","948523",NA,"gene-b0059","Gene","protein_coding","rapA","RNA polymerase-binding ATPase and RNAP recycling factor","ECK0060"
"61","NC_000913.3","RefSeq","gene",63429,65780,".","-",".","ID=gene-b0060;Dbxref=ASAP:ABE-0000202,ECOCYC:EG10747,GeneID:944779;Name=polB;gbkey=Gene;gene=polB;gene_biotype=protein_coding;gene_synonym=dinA,ECK0061;locus_tag=b0060","dinA,ECK0061","b0060","944779",NA,"gene-b0060","Gene","protein_coding","polB","DNA polymerase II","ECK0061"
"62","NC_000913.3","RefSeq","gene",65855,66550,".","-",".","ID=gene-b0061;Dbxref=ASAP:ABE-0000209,ECOCYC:EG10055,GeneID:945294;Name=araD;gbkey=Gene;gene=araD;gene_biotype=protein_coding;gene_synonym=ECK0062;locus_tag=b0061","ECK0062","b0061","945294",NA,"gene-b0061","Gene","protein_coding","araD","L-ribulose-5-phosphate 4-epimerase AraD","ECK0062"
"63","NC_000913.3","RefSeq","gene",66835,68337,".","-",".","ID=gene-b0062;Dbxref=ASAP:ABE-0000221,ECOCYC:EG10052,GeneID:947511;Name=araA;gbkey=Gene;gene=araA;gene_biotype=protein_coding;gene_synonym=ECK0063;locus_tag=b0062","ECK0063","b0062","947511",NA,"gene-b0062","Gene","protein_coding","araA","L-arabinose isomerase","ECK0063"
"64","NC_000913.3","RefSeq","gene",68348,70048,".","-",".","ID=gene-b0063;Dbxref=ASAP:ABE-0000223,ECOCYC:EG10053,GeneID:946017;Name=araB;gbkey=Gene;gene=araB;gene_biotype=protein_coding;gene_synonym=ECK0064;locus_tag=b0063","ECK0064","b0063","946017",NA,"gene-b0063","Gene","protein_coding","araB","ribulokinase","ECK0064"
"65","NC_000913.3","RefSeq","gene",70387,71265,".","+",".","ID=gene-b0064;Dbxref=ASAP:ABE-0000236,ECOCYC:EG10054,GeneID:944780;Name=araC;gbkey=Gene;gene=araC;gene_biotype=protein_coding;gene_synonym=ECK0065;locus_tag=b0064","ECK0065","b0064","944780",NA,"gene-b0064","Gene","protein_coding","araC","DNA-binding transcriptional dual regulator AraC","ECK0065"
