Start	End	Biotype	Strand	Name	Locus_tag	Product	ECKnb
44180	45466	protein_coding	D	fixC	b0043		ECK0044
45463	45750	protein_coding	D	fixX	b0044		ECK0045
45807	47138	protein_coding	D	yaaU	b0045		ECK0046
47246	47776	protein_coding	D	kefF	b0046		ECK0047
47769	49631	protein_coding	D	kefC	b0047		ECK0048
49823	50302	protein_coding	D	folA	b0048		ECK0049
50380	51222	protein_coding	C	apaH	b0049		ECK0050
51229	51606	protein_coding	C	apaG	b0050		ECK0051
51609	52430	protein_coding	C	rsmA	b0051		ECK0052
52427	53416	protein_coding	C	pdxA	b0052		ECK0053
53416	54702	protein_coding	C	surA	b0053		ECK0054
54755	57109	protein_coding	C	lptD	b0054		ECK0055
57364	58179	protein_coding	D	djlA	b0055		ECK0056
58474	59124	protein_coding	D	yabP	b0056		ECK0057
59121	59279	protein_coding	D	yabQ	b0057		ECK0058
59687	60346	protein_coding	C	rluA	b0058		ECK0059
60358	63264	protein_coding	C	rapA	b0059		ECK0060
63429	65780	protein_coding	C	polB	b0060		ECK0061
65855	66550	protein_coding	C	araD	b0061		ECK0062
66835	68337	protein_coding	C	araA	b0062		ECK0063
68348	70048	protein_coding	C	araB	b0063		ECK0064
70387	71265	protein_coding	D	araC	b0064		ECK0065
71351	72115	protein_coding	D	yabI	b0065		ECK0066
72229	72927	protein_coding	C	thiQ	b0066		ECK0067
72911	74521	protein_coding	C	thiP	b0067		ECK0068
74497	75480	protein_coding	C	thiB	b0068		ECK0069
75516	75608	ncRNA	C	sroA	b4762		ECK4619
75644	77299	protein_coding	C	sgrR	b0069		ECK0070
77367	77593	ncRNA	D	sgrS	b4577		ECK0071
77388	77519	protein_coding	D	sgrT	b4662		ECK4477
77621	78799	protein_coding	D	setA	b0070		ECK0072
78848	79453	protein_coding	C	leuD	b0071		ECK0073
79464	80864	protein_coding	C	leuC	b0072		ECK0074
80867	81958	protein_coding	C	leuB	b0073		ECK0075
81958	83529	protein_coding	C	leuA	b0074		ECK0076
83622	83708	protein_coding	C	leuL	b0075		ECK0077
84368	85312	protein_coding	D	leuO	b0076		ECK0078
85467	85511	protein_coding	C	yabR	b4726		ECK4583
85630	87354	protein_coding	D	ilvI	b0077		ECK0079
87357	87848	protein_coding	D	ilvH	b0078		ECK0080
88028	89032	protein_coding	D	cra	b0080		ECK0081
89634	90092	protein_coding	D	mraZ	b0081		ECK0082
90094	91035	protein_coding	D	rsmH	b0082		ECK0083
91032	91397	protein_coding	D	ftsL	b0083		ECK0084
91413	93179	protein_coding	D	ftsI	b0084		ECK0085
92485	92658	ncRNA	D	ftsO	b4810		ECK4667
93166	94653	protein_coding	D	murE	b0085		ECK0086
94650	96008	protein_coding	D	murF	b0086		ECK0087
96002	97084	protein_coding	D	mraY	b0087		ECK0088
97087	98403	protein_coding	D	murD	b0088		ECK0089
98403	99647	protein_coding	D	ftsW	b0089		ECK0090
99644	100711	protein_coding	D	murG	b0090		ECK0091
100765	102240	protein_coding	D	murC	b0091		ECK0092
102233	103153	protein_coding	D	ddlB	b0092		ECK0093
103155	103985	protein_coding	D	ftsQ	b0093		ECK0094
103982	105244	protein_coding	D	ftsA	b0094		ECK0095
105305	106456	protein_coding	D	ftsZ	b0095		ECK0096
106557	107474	protein_coding	D	lpxC	b0096		ECK0097
107705	108217	protein_coding	D	secM	b0097		ECK0098
108279	110984	protein_coding	D	secA	b0098		ECK0099
111044	111433	protein_coding	D	mutT	b0099		ECK0100
111649	111846	protein_coding	C	yacG	b0101		ECK0101
111856	112599	protein_coding	C	zapD	b0102		ECK0102
112599	113219	protein_coding	C	coaE	b0103		ECK0103
113244	113288	protein_coding	D	yacM	b4727		ECK4584
113444	114487	protein_coding	D	guaC	b0104		ECK0104
114522	115724	protein_coding	C	hofC	b0106		ECK0105
115714	117099	protein_coding	C	hofB	b0107		ECK0106
117109	117549	protein_coding	C	ppdD	b0108		ECK0107
117752	118645	protein_coding	C	nadC	b0109		ECK0108
118733	119284	protein_coding	D	ampD	b0110		ECK0109
119281	120135	protein_coding	D	ampE	b0111		ECK0110
120178	121551	protein_coding	C	aroP	b0112		ECK0111
122092	122856	protein_coding	D	pdhR	b0113		ECK0112
123017	125680	protein_coding	D	aceE	b0114		ECK0113
125695	127587	protein_coding	D	aceF	b0115		ECK0114
127912	129336	protein_coding	D	lpd	b0116		ECK0115
129407	131260	protein_coding	C	yacH	b0117		ECK0116
131615	134212	protein_coding	D	acnB	b0118		ECK0117
134388	134750	protein_coding	D	yacL	b0119		ECK0118
134788	135582	protein_coding	C	speD	b0120		ECK0119
135598	136464	protein_coding	C	speE	b0121		ECK0120
136570	136917	protein_coding	C	yacC	b0122		ECK0121
137083	138633	protein_coding	D	cueO	b0123		ECK0122
138835	141225	protein_coding	C	gcd	b0124		ECK0123
141431	141967	protein_coding	D	hpt	b0125		ECK0124
142008	142670	protein_coding	C	can	b0126		ECK0125
142779	143705	protein_coding	D	yadG	b0127		ECK0126
143702	144472	protein_coding	D	yadH	b0128		ECK0127
144577	145017	protein_coding	D	yadI	b0129		ECK0128
145081	146310	protein_coding	D	yadE	b0130		ECK0129
146314	146694	protein_coding	C	panD	b0131		ECK0130
146968	147870	protein_coding	D	rpnC	b0132		ECK0131
147944	148795	protein_coding	C	panC	b0133		ECK0132
148807	149601	protein_coding	C	panB	b0134		ECK0133
149715	150953	protein_coding	C	yadC	b0135		ECK0134
151003	151599	protein_coding	C	yadK	b0136		ECK0135
151626	152231	protein_coding	C	yadL	b0137		ECK0136
152243	152812	protein_coding	C	yadM	b0138		ECK0137
152829	155426	protein_coding	C	htrE	b0139		ECK0138
155461	156201	protein_coding	C	yadV	b0140		ECK0139
156299	156883	protein_coding	C	yadN	b0141		ECK0140
157253	157732	protein_coding	C	folK	b0142		ECK0141
157729	159126	protein_coding	C	pcnB	b0143		ECK0142
159186	160112	protein_coding	C	gluQ	b0144		ECK0143
160149	160604	protein_coding	C	dksA	b0145		ECK0144
160782	161486	protein_coding	C	sfsA	b0146		ECK0145
161501	162031	protein_coding	C	thpR	b0147		ECK0146
162105	164534	protein_coding	D	hrpB	b0148		ECK0147
164730	167264	protein_coding	D	mrcB	b0149		ECK0148
167484	169727	protein_coding	D	fhuA	b0150		ECK0149
169778	170575	protein_coding	D	fhuC	b0151		ECK0150
170575	171465	protein_coding	D	fhuD	b0152		ECK0151
171462	173444	protein_coding	D	fhuB	b0153		ECK0152
173602	174882	protein_coding	C	hemL	b0154		ECK0153
175048	175095	protein_coding	D	yadX	b4765		ECK4622
175107	176528	protein_coding	D	clcA	b0155		ECK0154
176552	176617	protein_coding	D	yadW	b4728		ECK4585
176610	176954	protein_coding	D	erpA	b0156		ECK0155
177001	177624	protein_coding	C	yadS	b0157		ECK0156
177662	178462	protein_coding	C	btuF	b0158		ECK0157
178455	179153	protein_coding	C	mtn	b0159		ECK0158
179237	180754	protein_coding	D	dgt	b0160		ECK0159
180884	182308	protein_coding	D	degP	b0161		ECK0160
182463	183620	protein_coding	D	cdaR	b0162		ECK0161
183709	184095	protein_coding	C	yaeH	b0163		ECK0162
184257	185069	protein_coding	C	yaeI	b0164		ECK0163
185123	185947	protein_coding	C	dapD	b0166		ECK0164
185978	188650	protein_coding	C	glnD	b0167		ECK0165
188712	189506	protein_coding	C	map	b0168		ECK0166
189712	189847	ncRNA	D	tff	b4414		ECK0167
189874	190599	protein_coding	D	rpsB	b0169		ECK0168
190857	191708	protein_coding	D	tsf	b0170		ECK0169
191855	192580	protein_coding	D	pyrH	b0171		ECK0170
192872	193429	protein_coding	D	frr	b0172		ECK0171
193521	194717	protein_coding	D	dxr	b0173		ECK0172
194784	194844	ncRNA	D	ispZ	b4809		ECK4666
194903	195664	protein_coding	D	ispU	b0174		ECK0173
195677	196534	protein_coding	D	cdsA	b0175		ECK0174
196546	197898	protein_coding	D	rseP	b0176		ECK0175
197928	200360	protein_coding	D	bamA	b0177		ECK0176
200482	200967	protein_coding	D	skp	b0178		ECK0177
200971	201996	protein_coding	D	lpxD	b0179		ECK0178
202101	202556	protein_coding	D	fabZ	b0180		ECK0179
202560	203348	protein_coding	D	lpxA	b0181		ECK0180
203348	204496	protein_coding	D	lpxB	b0182		ECK0181
204493	205089	protein_coding	D	rnhB	b0183		ECK0182
205126	208608	protein_coding	D	dnaE	b0184		ECK0183
208621	209580	protein_coding	D	accA	b0185		ECK0184
209679	211820	protein_coding	D	ldcC	b0186		ECK0185
211877	212266	protein_coding	D	yaeR	b0187		ECK0186
212331	213629	protein_coding	D	tilS	b0188		ECK0187
213678	213932	protein_coding	C	rof	b0189		ECK0188
213925	214125	protein_coding	C	yaeP	b4406		ECK0189
214291	214836	protein_coding	D	yaeQ	b0190		ECK0190
214833	215255	protein_coding	D	arfB	b0191		ECK0191
215269	215979	protein_coding	D	nlpE	b0192		ECK0192
216179	217003	protein_coding	C	yaeF	b0193		ECK0193
217057	218775	protein_coding	C	proS	b0194		ECK0194
218887	219594	protein_coding	C	trmO	b0195		ECK0195
219591	219995	protein_coding	C	rcsF	b0196		ECK0196
220113	220928	protein_coding	C	metQ	b0197		ECK0197
220968	221621	protein_coding	C	metI	b0198		ECK0198
221614	222645	protein_coding	C	metN	b0199		ECK0199
222833	223408	protein_coding	D	gmhB	b0200		ECK0200
223771	225312	rRNA	D	rrsH	b0201		ECK0201
225381	225457	tRNA	D	ileV	b0202		ECK0202
225500	225575	tRNA	D	alaV	b0203		ECK0203
225759	228662	rRNA	D	rrlH	b0204		ECK0204
228756	228875	rRNA	D	rrfH	b0205		ECK0205
228928	229004	tRNA	D	aspU	b0206		ECK0206
229167	229970	protein_coding	D	dkgB	b0207		ECK0207
229967	230881	protein_coding	C	yafC	b0208		ECK0208
231122	231922	protein_coding	D	yafD	b0209		ECK0209
231926	232549	protein_coding	D	yafE	b0210		ECK0210
232597	233955	protein_coding	C	mltD	b0211		ECK0211
234027	234782	protein_coding	C	gloB	b0212		ECK0212
234288	234320	protein_coding	D	ykfO	b4815		ECK4672
234816	235538	protein_coding	D	yafS	b0213		ECK0213
235535	236002	protein_coding	C	rnhA	b0214		ECK0214
236067	236798	protein_coding	D	dnaQ	b0215		ECK0215
236931	237007	tRNA	D	aspV	b0216		ECK0216
237335	238120	protein_coding	D	yafT	b0217		ECK0217
238257	238736	protein_coding	C	ykfM	b4586		ECK4397
239419	240189	protein_coding	C	yafV	b0219		ECK0220
240343	240816	protein_coding	D	ivy	b0220		ECK0221
240859	243303	protein_coding	C	fadE	b0221		ECK0222
243543	244121	protein_coding	D	gmhA	b0222		ECK0223
244327	245094	protein_coding	D	yafJ	b0223		ECK0224
245065	245805	protein_coding	C	dpaA	b0224		ECK0225
245961	246239	protein_coding	C	yafQ	b0225		ECK0226
246242	246502	protein_coding	C	dinJ	b0226		ECK0227
246712	247461	protein_coding	D	yafL	b0227		ECK0228
247637	248134	protein_coding	D	rayT	b0228		ECK0229
250898	251953	protein_coding	D	dinB	b0231		ECK0232
252005	252298	protein_coding	D	yafN	b0232		ECK0233
252301	252699	protein_coding	D	yafO	b0233		ECK0234
252709	253161	protein_coding	D	yafP	b0234		ECK0235
254259	255716	protein_coding	C	pepD	b0237		ECK0238
255977	256435	protein_coding	D	gpt	b0238		ECK0239
256527	257771	protein_coding	D	frsA	b0239		ECK0240
257923	258426	protein_coding	C	insB9	b4710		ECK4567
258345	258620	protein_coding	C	insA9	b4709		ECK4566
259045	260100	protein_coding	C	phoE	b0241		ECK0242
260388	261491	protein_coding	D	proB	b0242		ECK0243
261503	262756	protein_coding	D	proA	b0243		ECK0244
262871	262946	tRNA	D	thrW	b0244		ECK0245
263328	263669	protein_coding	C	ykfI	b0245		ECK0246
263690	264007	protein_coding	C	yafW	b0246		ECK0247
264026	264247	protein_coding	C	ykfH	b4504		ECK0248
264256	264732	protein_coding	C	ykfG	b0247		ECK0249
264748	265206	protein_coding	C	yafX	b0248		ECK0250
265304	265543	protein_coding	C	ykfF	b0249		ECK0251
265620	266087	protein_coding	C	ykfB	b0250		ECK0252
266110	266553	protein_coding	C	yafY	b0251		ECK0253
267184	268005	protein_coding	C	yafZ	b0252		ECK0254
268097	268960	protein_coding	C	ykfA	b0253		ECK0255
269289	270182	protein_coding	C	perR	b0254		ECK0256
270603	271754	protein_coding	D	insI1	b0256		ECK0258
272580	272654	ncRNA	D	eyeA	b4690		ECK4506
272847	273992	protein_coding	D	ykfC	b0258		ECK0260
274101	275081	protein_coding	C	insH1	b0259		ECK0261
275325	276728	protein_coding	D	mmuP	b0260		ECK0262
276715	277647	protein_coding	D	mmuM	b0261		ECK0263
277756	278802	protein_coding	C	afuC	b0262		ECK0264
279178	279681	protein_coding	C	insB2	b0264		ECK0022
279600	279875	protein_coding	C	insA2	b0265		ECK0023
280385	280735	protein_coding	C	yagB	b0266		ECK0267
280829	281983	protein_coding	C	yagA	b0267		ECK0268
282278	283186	protein_coding	D	yagE	b0268		ECK0269
283201	285168	protein_coding	D	yagF	b0269		ECK0270
285395	286777	protein_coding	D	yagG	b0270		ECK0271
286789	288399	protein_coding	D	yagH	b0271		ECK0272
288404	289162	protein_coding	C	xynR	b0272		ECK0273
289301	290305	protein_coding	C	argF	b0273		ECK0274
290275	290370	protein_coding	C	argL	b4766		ECK4623
290510	290638	protein_coding	D	ykgS	b4688		ECK4504
290649	291152	protein_coding	C	insB3	b0274		ECK0022
291071	291346	protein_coding	C	insA3	b0275		ECK0023
291500	292231	protein_coding	D	yagJ	b0276		ECK0275
292322	292948	protein_coding	C	yagK	b0277		ECK0276
293220	293918	protein_coding	C	yagL	b0278		ECK0277
293945	294799	protein_coding	C	yagM	b0279		ECK0278
294918	295142	protein_coding	C	ykgV	b4729		ECK4586
295139	295579	protein_coding	C	yagN	b0280		ECK0279
295696	297096	protein_coding	C	intF	b0281		ECK0280
297381	297791	protein_coding	C	yagP	b0282		ECK0281
297770	298726	protein_coding	C	paoD	b0283		ECK0282
298736	300934	protein_coding	C	paoC	b0284		ECK0283
300931	301887	protein_coding	C	paoB	b0285		ECK0284
301884	302573	protein_coding	C	paoA	b0286		ECK0285
302991	303605	protein_coding	D	yagU	b0287		ECK0286
303853	304182	protein_coding	C	ykgJ	b0288		ECK0287
304495	305205	protein_coding	C	ecpE	b0289		ECK0288
305174	306817	protein_coding	C	ecpD	b0290		ECK0289
306807	309332	protein_coding	C	ecpC	b0291		ECK0290
309358	310026	protein_coding	C	ecpB	b0292		ECK0291
310084	310671	protein_coding	C	ecpA	b0293		ECK0292
310746	311336	protein_coding	C	matA	b0294		ECK0293
312112	312339	protein_coding	D	ykgL	b0295		ECK0294
312374	312514	protein_coding	C	ykgO	b4506		ECK0295
312514	312777	protein_coding	C	ykgM	b0296		ECK0296
313141	313242	protein_coding	C	ykgR	b4671		ECK4486
315291	315590	protein_coding	D	insE1	b0298		ECK0298
315587	316453	protein_coding	D	insF1	b0299		ECK0299
317726	318319	protein_coding	C	rclC	b0301		ECK0301
318331	318567	protein_coding	C	rclB	b0303		ECK0302
318676	320001	protein_coding	C	rclA	b0304		ECK0303
320227	321081	protein_coding	D	rclR	b0305		ECK0304
321608	322327	protein_coding	D	ykgE	b0306		ECK0305
322338	323765	protein_coding	D	ykgF	b0307		ECK0306
323758	324453	protein_coding	D	ykgG	b0308		ECK0307
324696	325364	protein_coding	C	ykgH	b0310		ECK0308
325577	327247	protein_coding	C	betA	b0311		ECK0309
327261	328733	protein_coding	C	betB	b0312		ECK0310
328747	329334	protein_coding	C	betI	b0313		ECK0311
329463	331496	protein_coding	D	betT	b0314		ECK0312
331802	331876	protein_coding	D	yahV	b4730		ECK4587
332371	333459	protein_coding	D	pdeL	b0315		ECK0313
333501	334433	protein_coding	C	yahB	b0316		ECK0314
334525	335022	protein_coding	C	yahC	b0317		ECK0315
335280	335885	protein_coding	D	yahD	b0318		ECK0316
335925	336788	protein_coding	D	yahE	b0319		ECK0317
336778	338325	protein_coding	D	yahF	b0320		ECK0318
338325	339743	protein_coding	D	yahG	b0321		ECK0319
339769	340089	protein_coding	D	yahH	b0322		ECK0320
340165	341115	protein_coding	D	yahI	b0323		ECK0321
341125	342507	protein_coding	D	yahJ	b0324		ECK0322
342884	343933	protein_coding	D	yahK	b0325		ECK0323
344176	344991	protein_coding	D	yahL	b0326		ECK0324
345404	345649	protein_coding	D	yahM	b0327		ECK0325
345666	346337	protein_coding	C	yahN	b0328		ECK0326
346484	346759	protein_coding	D	yahO	b0329		ECK0327
346857	348443	protein_coding	C	prpR	b0330		ECK0328
348682	349572	protein_coding	D	prpB	b0331		ECK0329
350012	351181	protein_coding	D	prpC	b0333		ECK0330
351215	352666	protein_coding	D	prpD	b0334		ECK0331
352706	354592	protein_coding	D	prpE	b0335		ECK0332
354922	356181	protein_coding	D	codB	b0336		ECK0333
356171	357454	protein_coding	D	codA	b0337		ECK0334
357791	358690	protein_coding	C	cynR	b0338		ECK0335
358799	359458	protein_coding	D	cynT	b0339		ECK0336
359489	359959	protein_coding	D	cynS	b0340		ECK0337
359992	361146	protein_coding	D	cynX	b0341		ECK0338
361249	361860	protein_coding	C	lacA	b0342		ECK0339
361926	363179	protein_coding	C	lacY	b0343		ECK0340
363231	366305	protein_coding	C	lacZ	b0344		ECK0341
366428	367510	protein_coding	C	lacI	b0345		ECK0342
367587	368420	protein_coding	C	mhpR	b0346		ECK0343
368611	370275	protein_coding	D	mhpA	b0347		ECK0344
370277	371221	protein_coding	D	mhpB	b0348		ECK0345
371239	372105	protein_coding	D	mhpC	b0349		ECK0346
372115	372924	protein_coding	D	mhpD	b0350		ECK0347
372921	373871	protein_coding	D	mhpF	b0351		ECK0348
373868	374881	protein_coding	D	mhpE	b0352		ECK0349
375459	376670	protein_coding	D	mhpT	b0353		ECK0350
376772	377311	protein_coding	D	yaiL	b0354		ECK0351
377535	378368	protein_coding	C	frmB	b0355		ECK0352
378462	379571	protein_coding	C	frmA	b0356		ECK0353
379606	379881	protein_coding	C	frmR	b0357		ECK0354
380069	380842	protein_coding	C	yaiO	b0358		ECK0355
381351	381716	protein_coding	D	insC1	b0360		ECK0357
381674	382579	protein_coding	D	insD1	b0361		ECK0358
382739	383935	protein_coding	C	yaiP	b0363		ECK0360
383960	384079	protein_coding	D	ykiC	b4731		ECK4588
384059	384616	protein_coding	C	yaiS	b0364		ECK0361
385232	386194	protein_coding	D	tauA	b0365		ECK0362
386207	386974	protein_coding	D	tauB	b0366		ECK0363
386971	387798	protein_coding	D	tauC	b0367		ECK0364
387795	388646	protein_coding	D	tauD	b0368		ECK0365
388753	389727	protein_coding	C	hemB	b0369		ECK0366
391592	391648	protein_coding	C	ytiB	b4767		ECK4624
391739	392605	protein_coding	C	insF2	b0372		ECK0299
392602	392901	protein_coding	C	insE2	b0373		ECK0298
394506	395129	protein_coding	D	iprA	b0375		ECK0370
395130	396287	protein_coding	C	ampH	b0376		ECK0371
396639	397859	protein_coding	D	sbmA	b0377		ECK0372
397872	398966	protein_coding	D	yaiW	b0378		ECK0373
399025	399333	protein_coding	C	yaiY	b0379		ECK0374
399593	399805	protein_coding	D	yaiZ	b0380		ECK0375
399829	400923	protein_coding	C	ddlA	b0381		ECK0376
401386	401646	protein_coding	D	iraP	b0382		ECK0377
401747	403162	protein_coding	D	phoA	b0383		ECK0378
403281	403601	protein_coding	D	psiF	b0384		ECK0379
403703	404818	protein_coding	D	dgcC	b0385		ECK0380
404835	405644	protein_coding	C	proC	b0386		ECK0381
405764	406222	protein_coding	D	yaiI	b0387		ECK0382
406405	406929	protein_coding	D	aroL	b0388		ECK0383
406979	407170	protein_coding	D	yaiA	b0389		ECK0384
407428	408105	protein_coding	D	aroM	b0390		ECK0385
408177	408461	protein_coding	D	ppnP	b0391		ECK0386
408947	409030	protein_coding	D	ykiD	b4732		ECK4589
409108	410019	protein_coding	C	rdgC	b0393		ECK0388
410144	411052	protein_coding	D	mak	b0394		ECK0389
411297	412481	protein_coding	C	araJ	b0396		ECK0390
412607	415753	protein_coding	C	sbcC	b0397		ECK0391
415750	416952	protein_coding	C	sbcD	b0398		ECK0392
417142	417831	protein_coding	D	phoB	b0399		ECK0393
417889	419184	protein_coding	D	phoR	b0400		ECK0394
419591	420910	protein_coding	D	brnQ	b0401		ECK0395
420986	422359	protein_coding	D	proY	b0402		ECK0396
422518	424332	protein_coding	D	malZ	b0403		ECK0397
424337	424918	protein_coding	C	acpH	b0404		ECK0398
425011	426081	protein_coding	D	queA	b0405		ECK0399
426137	427264	protein_coding	D	tgt	b0406		ECK0400
427287	427619	protein_coding	D	yajC	b0407		ECK0401
427647	429494	protein_coding	D	secD	b0408		ECK0402
429505	430476	protein_coding	D	secF	b0409		ECK0403
430605	430952	protein_coding	D	yajD	b0410		ECK0404
431129	432013	protein_coding	C	tsx	b0411		ECK0405
432312	432851	protein_coding	C	yajI	b0412		ECK0406
433002	433451	protein_coding	D	nrdR	b0413		ECK0407
433455	434558	protein_coding	D	ribD	b0414		ECK0408
434647	435117	protein_coding	D	ribE	b0415		ECK0409
435137	435556	protein_coding	D	nusB	b0416		ECK0410
435634	436611	protein_coding	D	thiL	b0417		ECK0411
436589	437107	protein_coding	D	pgpA	b0418		ECK0412
437161	438135	protein_coding	C	yajO	b0419		ECK0413
438315	440177	protein_coding	C	dxs	b0420		ECK0414
440202	441101	protein_coding	C	ispA	b0421		ECK0415
441101	441343	protein_coding	C	xseB	b0422		ECK0416
441549	442997	protein_coding	D	thiI	b0423		ECK0417
443051	443641	protein_coding	C	yajL	b0424		ECK0418
443604	444515	protein_coding	C	panE	b0425		ECK0419
444683	445174	protein_coding	D	yajQ	b0426		ECK0420
445302	446666	protein_coding	C	yajR	b0427		ECK0421
446815	447705	protein_coding	C	cyoE	b0428		ECK0422
447717	448046	protein_coding	C	cyoD	b0429		ECK0423
448046	448660	protein_coding	C	cyoC	b0430		ECK0424
448650	450641	protein_coding	C	cyoB	b0431		ECK0425
450663	451610	protein_coding	C	cyoA	b0432		ECK0426
452070	453545	protein_coding	C	ampG	b0433		ECK0427
453589	454167	protein_coding	C	yajG	b0434		ECK0428
454472	454789	protein_coding	D	bolA	b0435		ECK0429
455133	456431	protein_coding	D	tig	b0436		ECK0430
456677	457300	protein_coding	D	clpP	b0437		ECK0431
457426	458700	protein_coding	D	clpX	b0438		ECK0432
458888	461242	protein_coding	D	lon	b0439		ECK0433
461451	461723	protein_coding	D	hupB	b0440		ECK0434
461915	463786	protein_coding	D	ppiD	b0441		ECK0435
463937	464308	protein_coding	D	ybaV	b0442		ECK0436
464402	464800	protein_coding	D	fadM	b0443		ECK0437
464852	465547	protein_coding	C	queC	b0444		ECK0438
465612	467312	protein_coding	C	ybaE	b0445		ECK0439
467412	468230	protein_coding	D	cof	b0446		ECK0440
468383	468841	protein_coding	D	decR	b0447		ECK0441
468871	470643	protein_coding	D	mdlA	b0448		ECK0442
470636	472417	protein_coding	D	mdlB	b0449		ECK0443
472598	472936	protein_coding	D	glnK	b0450		ECK0444
472966	474252	protein_coding	D	amtB	b0451		ECK0445
474301	475161	protein_coding	C	tesB	b0452		ECK0446
475379	475951	protein_coding	D	ybaY	b0453		ECK0447
475982	476371	protein_coding	C	ybaZ	b0454		ECK0448
476448	476561	ncRNA	D	ffs	b0455		ECK0449
476672	477025	protein_coding	D	ybaA	b0456		ECK0450
477067	478617	protein_coding	C	pdeB	b0457		ECK0451
478781	479251	protein_coding	C	ylaC	b0458		ECK0452
479367	479918	protein_coding	C	maa	b0459		ECK0453
480090	480308	protein_coding	C	hha	b0460		ECK0454
480334	480708	protein_coding	C	tomB	b0461		ECK0455
481254	484403	protein_coding	C	acrB	b0462		ECK0456
484426	485619	protein_coding	C	acrA	b0463		ECK0457
485761	486408	protein_coding	D	acrR	b0464		ECK0458
486536	489898	protein_coding	D	mscK	b0465		ECK0459
490110	490271	protein_coding	C	ybaM	b0466		ECK0460
490285	490812	protein_coding	C	priC	b0467		ECK0461
490882	491259	protein_coding	D	ybaN	b0468		ECK0462
491412	491963	protein_coding	D	apt	b0469		ECK0463
492092	494023	protein_coding	D	dnaX	b0470		ECK0464
494076	494405	protein_coding	D	ybaB	b0471		ECK0465
494405	495010	protein_coding	D	recR	b0472		ECK0466
495120	496994	protein_coding	D	htpG	b0473		ECK0467
497175	497819	protein_coding	D	adk	b0474		ECK0468
498055	499017	protein_coding	D	hemH	b0475		ECK0469
499014	499973	protein_coding	C	aes	b0476		ECK0470
500125	501429	protein_coding	D	gsk	b0477		ECK0471
501562	503238	protein_coding	C	ybaL	b0478		ECK0472
503476	504696	protein_coding	C	fsr	b0479		ECK0473
504914	506566	protein_coding	D	ushA	b0480		ECK0474
506603	507082	protein_coding	C	ybaK	b0481		ECK0475
507204	507287	ncRNA	D	chiX	b4585		ECK4396
507286	508080	protein_coding	C	ybaP	b0482		ECK0476
508218	508559	protein_coding	D	ybaQ	b0483		ECK0477
508875	511379	protein_coding	C	copA	b0484		ECK0478
511641	512573	protein_coding	D	glsA	b0485		ECK0479
512576	513868	protein_coding	D	ybaT	b0486		ECK0480
513993	514400	protein_coding	D	cueR	b0487		ECK0481
514401	514859	protein_coding	C	ybbJ	b0488		ECK0482
514856	515773	protein_coding	C	qmcA	b0489		ECK0483
515919	516596	protein_coding	D	fetA	b0490		ECK0484
516583	517362	protein_coding	D	fetB	b0491		ECK0485
