Regulator	Regulated	Effect	Evidence	Strength
Sigma24	mzrA	+	[HIPP, TIM]	Weak
Sigma24	narV	+	[AIPP, TIM]	Weak
Sigma24	narW	+	[AIPP, TIM]	Weak
Sigma24	pdxA	+	[HIPP, NTAS, TASES, TIM]	Weak
Sigma24	phoQ	+	[ICWHO]	Weak
Sigma24	plsB	+	[AIPP, IEP, TIM]	Weak
Sigma24	prfB	+	[AIPP, TIM]	Weak
Sigma24	psd	+	[AIPP, TIM]	Weak
Sigma24	ptsN	+	[AIPP, TIM]	Weak
Sigma24	rapZ	+	[AIPP, TIM]	Weak
Sigma24	rclA	+	[ICWHO]	Weak
Sigma24	rclB	+	[ICWHO]	Weak
Sigma24	rclC	+	[ICWHO]	Weak
Sigma24	recJ	+	[AIPP, TIM]	Weak
Sigma24	recR	+	[AIPP, TIM]	Weak
Sigma24	rfaD	+	[HIPP, TIM]	Weak
Sigma24	rnhB	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	rnlB	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	rpoD	+	[AIPP, TIM]	Weak
Sigma24	rpoH	+	[AIPP, HIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	rpoN	+	[AIPP, TIM]	Weak
Sigma24	rrrD	+	[AIPP, TIM]	Weak
Sigma24	rseA	+	[AIPP, TIM]	Weak
Sigma24	rseB	+	[AIPP, TIM]	Weak
Sigma24	rseC	+	[AIPP, TIM]	Weak
Sigma24	rseP	+	[HIPP, TIM]	Weak
Sigma24	rsmA	+	[NTAS, TASES]	Weak
Sigma24	rutR	+	[AIPP, TIM]	Weak
Sigma24	rybB	+	[HIPP, IDA, RS-EPT-CBR, TIM]	Weak
Sigma24	rzpD	+	[AIPP, TIM]	Weak
Sigma24	sbmA	+	[AIPP, HIPP, TIM]	Weak
Sigma24	sgbE	+	[AIPP, TIM]	Weak
Sigma24	sgbH	+	[AIPP, TIM]	Weak
Sigma24	sgbU	+	[AIPP, TIM]	Weak
Sigma24	skp	+	[AIPP, HIPP, RS-EPT-CBR, TIM]	Weak
Sigma24	surA	+	[HIPP, NTAS, TASES, TIM]	Weak
Sigma24	tufA	+	[AIPP, TIM]	Weak
Sigma24	uspD	+	[AIPP, TIM]	Weak
Sigma24	waaC	+	[HIPP, TIM]	Weak
Sigma24	waaF	+	[HIPP, TIM]	Weak
Sigma24	waaL	+	[HIPP, TIM]	Weak
Sigma24	wza	+	[AIPP, TIM]	Weak
Sigma24	wzb	+	[AIPP, TIM]	Weak
Sigma24	wzc	+	[AIPP, TIM]	Weak
Sigma24	yaiW	+	[AIPP, HIPP, TIM]	Weak
Sigma24	ybaB	+	[AIPP, TIM]	Weak
Sigma24	ybfG	+	[AIPP, TIM]	Weak
Sigma24	ydhI	+	[AIPP, TIM]	Weak
Sigma24	ydhJ	+	[AIPP, TIM]	Weak
Sigma24	ydhK	+	[AIPP, TIM]	Weak
Sigma24	ydiV	+	[AIPP]	Weak
Sigma24	yeaY	+	[AIPP, HIPP, TIM]	Weak
Sigma24	yfeK	+	[AIPP, TIM]	Weak
Sigma24	yfeS	+	[AIPP, TIM]	Weak
Sigma24	yfeX	+	[AIPP, TIM]	Weak
Sigma24	yfeY	+	[AIPP, TIM]	Weak
Sigma24	yfgD	+	[AIPP, TIM]	Weak
Sigma24	yggN	+	[HIPP, TIM]	Weak
Sigma24	yghF	+	[HIPP, TIM]	Weak
Sigma24	ygiM	+	[AIPP, HIPP, TIM]	Weak
Sigma24	yhjJ	+	[AIPP, TIM]	Weak
Sigma24	yiaK	+	[AIPP, TIM]	Weak
Sigma24	yiaL	+	[AIPP, TIM]	Weak
Sigma24	yiaM	+	[AIPP, TIM]	Weak
Sigma24	yiaN	+	[AIPP, TIM]	Weak
Sigma24	yiaO	+	[AIPP, TIM]	Weak
Sigma24	yicI	+	[AIPP, TIM]	Weak
Sigma24	yicJ	+	[AIPP, TIM]	Weak
Sigma24	yidQ	+	[HIPP, TIM]	Weak
Sigma24	yieE	+	[AIPP, TIM]	Weak
Sigma24	yieF	+	[AIPP, TIM]	Weak
Sigma24	yiiS	+	[AIPP, TIM]	Weak
Sigma24	yoaC	+	[ICWHO]	Weak
Sigma24	yqjA	+	[HIPP, TIM]	Weak
Sigma24	yraP	+	[AIPP, HIPP, TIM]	Weak
Sigma24	ytfJ	+	[HIPP, TIM]	Weak
Sigma24, Sigma70	eptB	+	[TIM]	Strong
Sigma24, Sigma70, Sigma38	cyaR	+	[AIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma28	aer	+	[HIPP, TIM]	Weak
Sigma28	cheA	+	[HIPP]	Weak
Sigma28	cheB	+	[HIPP, TIM]	Weak
Sigma28	cheR	+	[HIPP, TIM]	Weak
Sigma28	cheW	+	[HIPP]	Weak
Sigma28	cheY	+	[HIPP, TIM]	Weak
Sigma28	cheZ	+	[HIPP, TIM]	Weak
Sigma28	crfC	+	[HIPP]	Weak
Sigma28	flgK	+	[HIPP]	Weak
Sigma28	flgL	+	[HIPP]	Weak
Sigma28	flgM	+	[GEA, HIPP]	Weak
Sigma28	flgN	+	[GEA, HIPP]	Weak
Sigma28	fliA	+	[HIPP, TIM]	Weak
Sigma28	fliC	+	[FP, HIPP]	Strong
Sigma28	fliD	+	[FP, HIPP]	Strong
Sigma28	fliE	+	[HIPP]	Weak
Sigma28	fliF	+	[HIPP]	Weak
Sigma28	fliG	+	[HIPP]	Weak
Sigma28	fliH	+	[HIPP]	Weak
Sigma28	fliI	+	[HIPP]	Weak
Sigma28	fliJ	+	[HIPP]	Weak
Sigma28	fliK	+	[HIPP]	Weak
Sigma28	fliL	+	[HIPP, TIM]	Weak
Sigma28	fliM	+	[HIPP, TIM]	Weak
Sigma28	fliN	+	[HIPP, TIM]	Weak
Sigma28	fliO	+	[HIPP, TIM]	Weak
Sigma28	fliP	+	[HIPP, TIM]	Weak
Sigma28	fliQ	+	[HIPP, TIM]	Weak
Sigma28	fliR	+	[HIPP, TIM]	Weak
Sigma28	fliS	+	[FP, HIPP]	Strong
Sigma28	fliT	+	[FP, HIPP]	Strong
Sigma28	fliZ	+	[HIPP, TIM]	Weak
Sigma28	flxA	+	[AIPP, HIPP]	Weak
Sigma28	hemL	+	[HIPP, IEP, TIM]	Weak
Sigma28	ispE	+	[HIPP]	Weak
Sigma28	lolB	+	[HIPP]	Weak
Sigma28	modA	+	[AIPP, HIPP]	Weak
Sigma28	modB	+	[AIPP, HIPP]	Weak
Sigma28	modC	+	[AIPP, HIPP]	Weak
Sigma28	motA	+	[HIPP]	Weak
Sigma28	motB	+	[HIPP]	Weak
Sigma28	oppA	+	[AIPP, NTAS]	Weak
Sigma28	oppB	+	[AIPP, NTAS]	Weak
Sigma28	oppC	+	[AIPP, NTAS]	Weak
Sigma28	oppD	+	[AIPP, NTAS]	Weak
Sigma28	oppF	+	[AIPP, NTAS]	Weak
Sigma28	pdeH	+	[AIPP, HIPP]	Weak
Sigma28	ppdA	+	[HIPP]	Weak
Sigma28	ppdB	+	[HIPP]	Weak
Sigma28	ppdC	+	[HIPP]	Weak
Sigma28	prs	+	[HIPP]	Weak
Sigma28	recC	+	[HIPP]	Weak
Sigma28	tap	+	[HIPP, TIM]	Weak
Sigma28	tar	+	[HIPP, TIM]	Weak
Sigma28	tcyJ	+	[HIPP, TIM]	Weak
Sigma28	trg	+	[HIPP, HTTIM]	Weak
Sigma28	tsr	+	[HIPP, TIM]	Weak
Sigma28	ves	+	[TIM]	Strong
Sigma28	yafW	+	[HIPP]	Weak
Sigma28	yafX	+	[HIPP]	Weak
Sigma28	ycgR	+	[AIPP, HIPP]	Weak
Sigma28	yecF	+	[HIPP]	Weak
Sigma28	ygbK	+	[HIPP]	Weak
Sigma28	ygdB	+	[HIPP]	Weak
Sigma28	yhiL	+	[HIPP]	Weak
Sigma28	yjcS	+	[HIPP]	Weak
Sigma28	yjcZ	+	[HIPP]	Weak
Sigma28	ykfB	+	[HIPP]	Weak
Sigma28	ykfF	+	[HIPP]	Weak
Sigma28	ykfG	+	[HIPP]	Weak
Sigma28	ykfH	+	[HIPP]	Weak
Sigma28	ykfI	+	[HIPP]	Weak
Sigma28	ynjH	+	[AIPP, HIPP]	Weak
Sigma32	ackA	+	[AIPP]	Weak
Sigma32	adiC	+	[ICWHO]	Weak
Sigma32	alaA	+	[ICWHO]	Weak
Sigma32	bssS	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	cas1	+	[IDA, IEP]	Strong
Sigma32	cas2	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	casD	+	[IDA, IEP]	Strong
Sigma32	casE	+	[IDA, IEP]	Strong
Sigma32	clpP	+	[IDA, IEP, RS-EPT-CBR, TIM]	Strong
Sigma32	clpX	+	[IDA, IEP, RS-EPT-CBR, TIM]	Strong
Sigma32	cnoX	+	[AIPP, IDA, IEP]	Weak
Sigma32	cra	+	[ICWHO]	Weak
Sigma32	creA	+	[HIPP, TIM]	Weak
Sigma32	creB	+	[HIPP, TIM]	Weak
Sigma32	creC	+	[HIPP, TIM]	Weak
Sigma32	crr	+	[TIM]	Strong
Sigma32	dnaJ	+	[HIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	dnaK	+	[HIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	fkpB	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	ftsH	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	fxsA	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	gapA	+	[AIPP, HIPP, IDA, TIM]	Weak
Sigma32	grpE	+	[AIPP, HIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	hemW	+	[AIPP, TIM]	Weak
Sigma32	hflC	+	[HIPP, IDA, IEP, TIM]	Weak
Sigma32	hflK	+	[HIPP, IDA, IEP, TIM]	Weak
Sigma32	hflX	+	[HIPP, IDA, IEP, TIM]	Weak
Sigma32	hfq	+	[HIPP, IDA, IEP, TIM]	Weak
Sigma32	holC	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	hslO	+	[AIPP, TIM]	Weak
Sigma32	hslR	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	hslU	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	hslV	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	hspQ	+	[IDA, IEP]	Strong
Sigma32	htpG	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	htpX	+	[AIPP, HIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	ibpA	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	ibpB	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	ileS	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	ispH	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	ldhA	+	[AIPP, IDA, IEP]	Weak
Sigma32	lnt	+	[AIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	lspA	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	mbiA	+	[HIPP, TIM]	Weak
Sigma32	metA	+	[RS-EPT-CBR, TIM]	Strong
Sigma32	mhpT	+	[AIPP]	Weak
Sigma32	miaA	+	[HIPP, IDA, IEP, TIM]	Weak
Sigma32	mngA	+	[HIPP, IC]	Weak
Sigma32	mngB	+	[HIPP, IC]	Weak
Sigma32	mpaA	+	[ICWHO]	Weak
Sigma32	mutL	+	[HIPP, IDA, IEP, TIM]	Weak
Sigma32	mutM	+	[AIPP, TIM]	Weak
Sigma32	narP	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	nfuA	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	nusB	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	osmF	+	[IDA, IEP]	Strong
Sigma32	pgpA	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	pgpC	+	[AIPP]	Weak
Sigma32	phoP	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	phoQ	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	pncC	+	[HIPP, TIM]	Weak
Sigma32	pphA	+	[AIPP, TIM]	Weak
Sigma32	ppiD	+	[HIPP, TIM]	Weak
Sigma32	prlC	+	[AIPP, IDA, IEP, RS-EPT-CBR]	Weak
Sigma32	ptsH	+	[TIM]	Strong
Sigma32	ptsI	+	[TIM]	Strong
Sigma32	raiA	+	[IDA, IEP]	Strong
Sigma32	rdgB	+	[AIPP, TIM]	Weak
Sigma32	rfaD	+	[TIM]	Strong
Sigma32	ribE	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	rlmE	+	[AIPP, HIPP, IDA, IEP, TIM]	Weak
Sigma32	rnlA	+	[AIPP, IDA]	Weak
Sigma32	rpmE	+	[HTTIM, IDA, IEP]	Strong
Sigma32	rpoD	+	[HIPP, IDA, IEP, IMP, TIM]	Weak
Sigma32	rsmJ	+	[AIPP, IDA, IEP, RS-EPT-CBR]	Weak
Sigma32	sdaA	+	[HIPP, IDA, IEP, TIM]	Weak
Sigma32	slt	+	[ICWHO]	Weak
Sigma32	tadA	+	[AIPP]	Weak
Sigma32	thiL	+	[AIPP, RS-EPT-CBR, TIM]	Weak
Sigma32	topA	+	[AIPP, HIPP, IMP, TIM]	Weak
Sigma32	tpke11	+	[HIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	trmA	+	[HIPP, TIM]	Weak
Sigma32	tyrR	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	valS	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	waaC	+	[TIM]	Strong
Sigma32	waaF	+	[TIM]	Strong
Sigma32	waaL	+	[TIM]	Strong
Sigma32	yafD	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	yafE	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	yafU	+	[IDA, IEP]	Strong
Sigma32	ybeX	+	[AIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	ybeY	+	[AIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	ybeZ	+	[AIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32	ybfE	+	[AIPP]	Weak
Sigma32	yccE	+	[IDA, IEP]	Strong
Sigma32	ycjF	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	ycjX	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	ycjY	+	[ICWHO]	Weak
Sigma32	ydeO	+	[IDA, IEP]	Strong
Sigma32	ydhQ	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	yeaD	+	[AIPP, HIPP, IDA, TIM]	Weak
Sigma32	yehR	+	[IDA, IEP]	Strong
Sigma32	yehW	+	[IDA, IEP]	Strong
Sigma32	yehX	+	[IDA, IEP]	Strong
Sigma32	yehY	+	[IDA, IEP]	Strong
Sigma32	yfbR	+	[ICWHO]	Weak
Sigma32	yfjV	+	[IDA, IEP]	Strong
Sigma32	yhdN	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32	yiaA	+	[IDA, IEP]	Strong
Sigma32	yibA	+	[IDA, IEP]	Strong
Sigma32	yjaZ	+	[HIPP, TIM]	Weak
Sigma32	yjhB	+	[ICWHO]	Weak
Sigma32	yjhC	+	[ICWHO]	Weak
Sigma32	yjhG	+	[IDA, IEP]	Strong
Sigma32	yjhH	+	[IDA, IEP]	Strong
Sigma32	yjhI	+	[IDA, IEP]	Strong
Sigma32	yjiT	+	[IDA, IEP]	Strong
Sigma32	ymjC	+	[ICWHO]	Weak
Sigma32	ymjD	+	[ICWHO]	Weak
Sigma32	yrdA	+	[IDA, IEP]	Strong
Sigma32	yrfG	+	[IDA, IEP]	Strong
Sigma32	zntR	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32, Sigma70	alaT	+	[HIPP]	Weak
Sigma32, Sigma70	alaU	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	alaV	+	[HIPP, HTTIM]	Weak
Sigma32, Sigma70	can	+	[AIPP, HTTIM, IDA, RS-EPT-CBR]	Weak
Sigma32, Sigma70	clpB	+	[AIPP, HIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32, Sigma70	crr	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma32, Sigma70	dsbC	+	[HIPP, IDA]	Weak
Sigma32, Sigma70	glnS	+	[IDA]	Strong
Sigma32, Sigma70	gltT	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	gltU	+	[AIPP, HIPP]	Weak
Sigma32, Sigma70	gltV	+	[HIPP]	Weak
Sigma32, Sigma70	gltW	+	[HIPP]	Weak
Sigma32, Sigma70	groL	+	[AIPP, HIPP, IDA, IEP, RS-EPT-CBR]	Weak
Sigma32, Sigma70	groS	+	[AIPP, HIPP, IDA, IEP, RS-EPT-CBR]	Weak
Sigma32, Sigma70	ileT	+	[HIPP]	Weak
Sigma32, Sigma70	ileU	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	ileV	+	[HIPP, HTTIM]	Weak
Sigma32, Sigma70	lapA	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32, Sigma70	lapB	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32, Sigma70	lipB	+	[HIPP, IDA, IEP, RS-EPT-CBR]	Weak
Sigma32, Sigma70	lon	+	[HIPP, IDA, IEP, RS-EPT-CBR]	Weak
Sigma32, Sigma70	ptsH	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma32, Sigma70	ptsI	+	[HIPP, RS-EPT-CBR, TIM]	Weak
Sigma32, Sigma70	pyrF	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma32, Sigma70	rapA	+	[HIPP, IDA, IEP, RS-EPT-CBR, TIM]	Weak
Sigma32, Sigma70	recJ	+	[HIPP, IDA]	Weak
Sigma32, Sigma70	rrfA	+	[HIPP]	Weak
Sigma32, Sigma70	rrfB	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	rrfC	+	[AIPP, HIPP]	Weak
Sigma32, Sigma70	rrfD	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	rrfE	+	[HIPP]	Weak
Sigma32, Sigma70	rrfF	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	rrfG	+	[HIPP]	Weak
Sigma32, Sigma70	rrfH	+	[HIPP, HTTIM]	Weak
Sigma32, Sigma70	rrlA	+	[HIPP]	Weak
Sigma32, Sigma70	rrlB	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	rrlC	+	[AIPP, HIPP]	Weak
Sigma32, Sigma70	rrlD	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	rrlE	+	[HIPP]	Weak
Sigma32, Sigma70	rrlG	+	[HIPP]	Weak
Sigma32, Sigma70	rrlH	+	[HIPP, HTTIM]	Weak
Sigma32, Sigma70	rrsA	+	[HIPP]	Weak
Sigma32, Sigma70	rrsB	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	rrsC	+	[AIPP, HIPP]	Weak
Sigma32, Sigma70	rrsD	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	rrsE	+	[HIPP]	Weak
Sigma32, Sigma70	rrsG	+	[HIPP]	Weak
Sigma32, Sigma70	rrsH	+	[HIPP, HTTIM]	Weak
Sigma32, Sigma70	thrV	+	[HIPP, TIM]	Weak
Sigma32, Sigma70	xerD	+	[HIPP, IDA]	Weak
Sigma32, Sigma70	ybeD	+	[HIPP, IDA, IEP, RS-EPT-CBR]	Weak
Sigma32, Sigma70	yceI	+	[AIPP, IDA]	Weak
Sigma32, Sigma70	yceJ	+	[AIPP, IDA]	Weak
Sigma32, Sigma70	yciH	+	[AIPP, IDA, IEP, TIM]	Weak
Sigma38	adhE	+	[HIPP, TIM]	Weak
Sigma38	aldB	+	[TIM]	Strong
Sigma38	ansP	+	[TIM]	Strong
Sigma38	appY	+	[HTTIM]	Strong
Sigma38	araF	+	[HTTIM]	Strong
Sigma38	araG	+	[HTTIM]	Strong
Sigma38	araH	+	[HTTIM]	Strong
Sigma38	artI	+	[TIM]	Strong
Sigma38	artM	+	[TIM]	Strong
Sigma38	artP	+	[TIM]	Strong
Sigma38	artQ	+	[TIM]	Strong
Sigma38	astA	+	[CV(FP/TIM), FP, HIPP, TIM]	Confirmed
Sigma38	astB	+	[CV(FP/TIM), FP, HIPP, TIM]	Confirmed
Sigma38	astC	+	[CV(FP/TIM), FP, HIPP, TIM]	Confirmed
Sigma38	astD	+	[CV(FP/TIM), FP, HIPP, TIM]	Confirmed
Sigma38	astE	+	[CV(FP/TIM), FP, HIPP, TIM]	Confirmed
Sigma38	baeR	+	[AIPP]	Weak
Sigma38	baeS	+	[AIPP]	Weak
Sigma38	blc	+	[TIM]	Strong
Sigma38	blr	+	[RS-EPT-CBR, TIM]	Strong
Sigma38	bsmA	+	[NTAS]	Weak
Sigma38	btsT	+	[TIM]	Strong
Sigma38	cbpA	+	[CV(FP/RS-EPT-CBR), CV(FP/TIM), FP, HIPP, RS-EPT-CBR, TIM]	Confirmed
Sigma38	cbpM	+	[CV(FP/RS-EPT-CBR), CV(FP/TIM), FP, HIPP, RS-EPT-CBR, TIM]	Confirmed
Sigma38	cfa	+	[HIPP, TIM]	Weak
Sigma38	crr	+	[TIM]	Strong
Sigma38	csrA	+	[HIPP, HTTIM, RS-EPT-CBR, TIM]	Weak
Sigma38	ddpA	+	[HIPP]	Weak
Sigma38	ddpB	+	[HIPP]	Weak
Sigma38	ddpC	+	[HIPP]	Weak
Sigma38	ddpD	+	[HIPP]	Weak
Sigma38	ddpF	+	[HIPP]	Weak
Sigma38	ddpX	+	[HIPP]	Weak
Sigma38	dgcC	+	[HIPP, TIM]	Weak
Sigma38	dhaK	+	[AIPP]	Weak
Sigma38	dhaL	+	[AIPP]	Weak
Sigma38	dhaM	+	[AIPP]	Weak
Sigma38	dhaR	+	[AIPP]	Weak
Sigma38	dkgA	+	[HTTIM]	Strong
Sigma38	dkgB	+	[AIPP]	Weak
Sigma38	ecnB	+	[TIM]	Strong
Sigma38	elaB	+	[ICA, IEP, RS-EPT-CBR]	Weak
Sigma38	envC	+	[HTTIM]	Strong
Sigma38	evgA	+	[RS-EPT-CBR, TIM]	Strong
Sigma38	evgS	+	[RS-EPT-CBR, TIM]	Strong
Sigma38	fadL	+	[HIPP, TIM]	Weak
Sigma38	fbaB	+	[AIPP, TIM]	Weak
Sigma38	fic	+	[CV(FP/RS-EPT-CBR), CV(FP/TIM), FP, HIPP, IEP, IMP, RS-EPT-CBR, TIM]	Confirmed
Sigma38	folK	+	[TIM]	Strong
Sigma38	ftsQ	+	[HIPP, TIM]	Weak
Sigma38	fumC	+	[TIM]	Strong
Sigma38	gabD	+	[HIPP, TIM]	Weak
Sigma38	gabP	+	[HIPP, TIM]	Weak
Sigma38	gabT	+	[HIPP, TIM]	Weak
Sigma38	gadE	+	[IEP, TIM]	Weak
Sigma38	gadF	+	[IEP, TIM]	Weak
Sigma38	gadW	+	[HIPP, TIM]	Weak
Sigma38	gadX	+	[HIPP, TIM]	Weak
Sigma38	gadY	+	[AIPP, IMP, TIM]	Weak
Sigma38	glaH	+	[TIM]	Strong
Sigma38	glgA	+	[TIM]	Strong
Sigma38	glgC	+	[TIM]	Strong
Sigma38	glgP	+	[TIM]	Strong
Sigma38	glgS	+	[HIPP, TIM]	Weak
Sigma38	glsA	+	[TIM]	Strong
Sigma38	gpmM	+	[HTTIM]	Strong
Sigma38	hchA	+	[TIM]	Strong
Sigma38	hdfR	+	[IHBCE]	Weak
Sigma38	hmp	+	[CV(FP/TIM), FP, HIPP, TIM]	Confirmed
Sigma38	hofM	+	[AIPP]	Weak
Sigma38	hofN	+	[AIPP]	Weak
Sigma38	hofO	+	[AIPP]	Weak
Sigma38	hofP	+	[AIPP]	Weak
Sigma38	htrE	+	[HIPP, TIM]	Weak
Sigma38	ihfA	+	[HIPP, TIM]	Weak
Sigma38	insC-5	+	[HTTIM]	Strong
Sigma38	insCD-5	+	[HTTIM]	Strong
Sigma38	insD-5	+	[HTTIM]	Strong
Sigma38	insI-1	+	[HTTIM]	Strong
Sigma38	insN	+	[HTTIM]	Strong
Sigma38	katE	+	[IMP, TIM]	Weak
Sigma38	kbp	+	[ICWHO]	Weak
Sigma38	ldcC	+	[IMP, TAS]	Weak
Sigma38	lhgD	+	[TIM]	Strong
Sigma38	lsrA	+	[AIPP]	Weak
Sigma38	lsrB	+	[AIPP]	Weak
Sigma38	lsrC	+	[AIPP]	Weak
Sigma38	lsrD	+	[AIPP]	Weak
Sigma38	lsrF	+	[AIPP]	Weak
Sigma38	lsrG	+	[AIPP]	Weak
