gene,locus_tag in MG1655,gene_type,strand,product,HS_LB,E1114_LB,E1167_LB,H120_LB,TA054_LB,TA447_LB,E101_LB,41-1Ti9_LB,TA280_LB,M114_LB,TA249_LB,JJ1886_LB,CFT073_LB,APECO1_LB,UTI89_LB,S88_LB,MG1655_LB,ROAR8_LB,HS_M9,E1114_M9,E1167_M9,H120_M9,TA054_M9,TA447_M9,E101_M9,41-1Ti9_M9,TA280_M9,M114_M9,TA249_M9,ROAR8_M9,JJ1886_M9,MG1655_M9,HS_GMM,E1114_GMM,E1167_GMM,H120_GMM,TA054_GMM,TA447_GMM,E101_GMM,41-1Ti9_GMM,TA280_GMM,M114_GMM,TA249_GMM,ROAR8_GMM,JJ1886_GMM,CFT073_GMM,APECO1_GMM,UTI89_GMM,S88_GMM,MG1655_GMM,median_LB,median_M9,median_GMM
accD,b2316,CDS,-1,acetyl-CoA carboxyltransferase subunit beta,-4.414076116,-8.027347712,-4.431079935,-3.97545883,-3.519391044,-3.713996138,-3.91751907,-4.222659648,-5.700387625,-3.56866707,-6.264078632,-4.67779098,-3.018068694,-3.756601984,-7.275746264,-3.255317649,-6.075394541,-7.323144973,-3.629843145,-8.104552162,-6.04177936,-4.296173387,-3.273698322,-4.343869544,-4.849971994,-4.298820887,-4.581327916,-3.406664081,-5.266745903,-4.038342949,-4.426578461,-4.985308168,-4.445102586,-7.956756828,-5.20423468,-3.292744052,-3.322700579,-4.576729333,-3.466489069,-3.420985647,-4.816647421,-3.535420866,-6.279224281,-4.515103649,-3.886297339,-3.362212605,-3.649492771,-7.439695389,-3.778341288,-6.88526368,-4.318367882,-4.385224003,-4.165699963
aceA,b4015,CDS,1,isocitrate lyase,-0.218653762,-0.45542541,-0.202501133,-0.150359085,-0.227002214,-0.229196241,-0.007160141,0.018709156,-0.123157461,0.00372792,-0.716292337,-0.063695983,0.04251891,-0.146674311,-0.117353165,-0.025477045,0.020210881,-0.234235229,-0.070938227,-0.625450622,-0.108874014,-0.286609177,-0.212631874,-0.236452285,-0.367845238,0.011006547,-0.154130021,-0.024597086,-0.24502895,-0.166698042,-0.248319047,-0.208214455,-0.140553694,-0.507892882,-0.10265851,-0.244819755,-0.318371699,-0.162617619,-0.226359915,-0.1288869,-0.153080004,-0.055726193,-0.212492792,0.061899602,-0.050013281,0.052374036,-0.163205801,-0.343735551,-0.126671439,-0.099428231,-0.134915886,-0.210423165,-0.146816849
aceB,b4014,CDS,1,malate synthase A,-0.176743001,0.343816736,-0.006434421,0.073887124,-0.051792376,-0.014946511,-0.077724259,0.101884705,-0.030376793,-0.140556002,0.506605536,0.073188324,0.161402115,-0.112960532,0.164006239,-0.025674263,0.014203795,-0.124386033,-0.002435247,0.141521971,-0.020836547,-0.106816124,-0.043971309,-0.042766694,-0.260498205,-0.061811028,0.071290294,-0.085705846,0.641734236,0.125764074,-0.000898369,0.140665196,-0.067334297,0.285173682,-0.044348694,-0.116009631,-0.170468061,-0.279510408,-0.232359877,-0.058057701,-0.066582822,-0.177158374,0.054082088,0.03865165,0.038462444,0.094719977,-0.284555077,0.167513515,-0.124556566,0.097529229,-0.010690466,-0.011635897,-0.062320261
aceE,b0114,CDS,1,pyruvate dehydrogenase E1 component,-2.767311638,-4.387830645,-2.485115391,-2.634641851,-3.185290712,-4.035623692,-2.572149622,-2.434496086,-3.027404235,-2.886240722,-1.877350736,-3.088517833,-3.09853325,-3.131469712,-3.605612866,-2.869494841,-2.571367231,-2.799037768,-3.701478611,-4.448617324,-3.377838154,-3.785483727,-3.166953785,-3.272832394,-5.310933156,-2.855099642,-4.044708527,-4.60324864,-2.963089696,-2.672735998,-6.582909641,-3.599937342,0.060823246,-0.094851987,-0.001567688,-0.131163464,-0.040887418,0.034729691,-0.01266737,-0.057510975,0.04516183,-0.261180362,-0.204844344,-0.082069513,-0.007900156,0.348875238,0.002146039,-0.055103688,-0.106677417,0.076478098,-2.877867782,-3.650707977,-0.026777394
aceF,b0115,CDS,1,"pyruvate dehydrogenase, E2 subunit",-3.159570907,-4.713378644,-2.923978721,-2.787485712,-3.107931375,-4.053657078,-2.805543825,-2.52462588,-3.22458782,-3.130351292,-1.869094992,-3.278623823,-2.982081847,-2.996930759,-3.702122684,-3.353805941,-2.74449181,-2.784586129,-3.854837457,-4.300942774,-3.657220635,-3.803558074,-3.309744764,-3.58641334,-4.44344313,-3.108521492,-4.306211655,-4.215652476,-2.743615145,-2.859128837,-7.08609552,-4.309116084,-0.190588621,0.102157278,-0.448953812,-0.304028536,-0.086605956,-0.196171646,0.03380844,0.045120387,-0.129700413,-0.164111799,-0.168940099,0.023017417,-0.158856659,0.469754917,-0.211759422,-0.18525514,-0.308365131,-0.039447821,-3.052431067,-3.829197766,-0.161484229
aceK,b4016,CDS,1,isocitrate dehydrogenase kinase/phosphatase,-0.125653578,-0.427897511,0.026970172,-0.069297494,-0.494885527,-0.310891569,-0.033670168,-0.088937805,-0.055607411,-0.312858415,-0.26857111,-0.058902497,0.071388804,-0.107557043,-0.689840394,0.09271472,-0.10901942,-0.257111631,-0.025628155,-1.98434403,-0.120104418,-0.142526953,-0.434271045,-0.085913492,-0.252054359,-0.199325095,-0.21998156,-0.016665258,0.167150569,-0.062646495,-0.252300816,-0.382593421,-0.018588266,-0.424733982,-0.144709037,-0.240699891,-0.236641226,-0.217313877,0.064075213,0.096259094,0.064022071,-0.223710233,-0.114400076,0.20475425,-0.326524165,-0.04294365,0.056784226,-0.126917332,-0.030437723,-0.038590264,-0.108288232,-0.170926024,-0.078671863
ackA,b2296,CDS,1,acetate kinase,-2.514428313,-3.343250554,-2.093898284,-2.341158753,-2.436811269,-2.325627036,-2.193216341,-1.930719039,-2.322373689,-2.372636531,-2.423082254,-1.806103836,-2.142124766,-1.999168128,-2.484627171,-2.181566999,-2.861232144,-1.471720346,-0.228547223,-1.907060742,-0.765235059,-0.570638306,-0.407426264,-2.476678687,-0.839673209,-0.491446791,-0.27068626,-0.564917775,-2.11665438,-0.200317588,-0.833620456,-0.545541757,-3.776882592,-4.870548942,-3.676582746,-4.467730558,-4.349026433,-5.225257719,-4.398954669,-3.708846828,-4.361234258,-4.224587261,-4.462403939,-2.843469765,-3.497184972,-2.883354999,-3.651292365,-2.262066348,-4.231496916,-3.934027233,-2.324000362,-0.56777804,-4.079307247
acnA,b1276,CDS,1,aconitate hydratase 1,0.062062562,0.168488041,0.16914786,0.135556055,-0.08943872,-0.090946522,0.220789295,0.091640473,-0.008927515,-0.006877474,-0.001412125,0.018386129,-0.183262439,-0.02726079,-0.397987659,-0.168949594,0.087487216,-0.146090865,-0.004492395,0.102116306,0.203396742,0.160109807,0.064519994,-0.004637391,0.086453203,0.031825244,-0.213160284,-0.300306083,0.120798193,0.135227624,-0.315576663,-0.451795388,0.053661295,0.079524484,-0.029693548,0.05422251,-0.109396848,0.004301284,0.158288111,0.002491338,-0.104008142,-0.183772822,-0.048749879,-0.044306329,-0.095655107,-0.103053747,-0.164236119,-0.106303935,-0.330422724,0.076135122,-0.004144799,0.048172619,-0.046528104
acnB,b0118,CDS,1,hypothetical protein,-5.312038847,-2.27931259,-5.64834192,-5.246157992,-5.77243885,-5.550489581,-4.665749676,-4.425962543,-5.243107532,-4.856390851,-3.108627555,-5.743151316,-6.092052038,-4.975039069,-4.539156534,-4.620304411,-4.180520898,-4.712804112,-4.07171244,-3.074730287,-4.24546784,-3.993700194,-3.593972521,-3.727413925,-5.377098543,-2.912116059,-2.788995329,-3.398543717,-2.604829781,-3.420128635,-4.931627413,-3.445816324,-0.092825289,-0.008681784,-0.115284657,-0.05207491,-0.150810153,-0.265579919,0.374971754,0.288171465,-0.034624448,-0.096303124,-0.158784619,0.143657626,-0.337543387,0.136374311,-0.015151524,-0.603491464,-0.333216037,0.294719776,-4.91571496,-3.519894423,-0.072450099
acpH,b0404,CDS,-1,acyl carrier protein phosphodiesterase,-0.046226355,0.045702709,-0.015817299,0.066002699,0.071617966,-0.087367727,-0.03517644,0.127756761,0.192080507,-0.305853674,-0.417436458,-0.003513144,0.242940374,0.032341538,-0.24835684,-0.056823276,0.132098911,-0.04396737,0.050719291,-0.059644062,-0.140171207,-0.002808556,-0.053393539,-0.075850865,-0.067818598,0.032669088,0.445172649,-0.100461599,-0.209078343,-0.027984205,-0.120030805,-0.0236526,-0.085309775,0.071384419,-0.098496445,-0.054938698,-0.091650643,-0.058474533,0.472971516,0.105713166,0.277751039,-0.110714234,-0.009574537,-0.032610967,-0.147954202,0.030420595,-0.010460294,-0.275492838,-0.082701105,0.05046824,-0.009665221,-0.0565188,-0.043774832
acpP,b1094,CDS,1,acyl carrier protein,-6.208950837,-6.435921659,-6.278149712,-6.448474119,-6.927746055,-6.059948751,-6.058149113,-6.328077764,-6.698292123,-8.263340628,-6.749308282,-6.264864407,-6.536733528,-7.342352841,-7.061136066,-7.391393093,-6.854145525,-5.156013877,-6.239256096,-6.241173774,-7.382425979,-6.683088936,-5.983370583,-5.210921324,-5.924403379,-6.013086811,-5.380775184,-6.318786776,-6.205618133,-7.036636612,-6.538090658,-5.173878813,-5.968574008,-6.018556516,-6.800581969,-6.417290918,-6.893544075,-6.572382597,-7.041149537,-5.523509065,-6.026958627,-7.580685176,-7.361560616,-6.810884406,-6.62308262,-7.004388116,-6.741810467,-8.074598923,-7.554733041,-7.131837511,-6.492603823,-6.222437114,-6.805733188
acpS,b2563,CDS,-1,holo-[acyl-carrier-protein] synthase,-1.951836355,-3.310021114,-1.298992244,-1.493739663,-3.072052614,-3.018390553,-3.267452587,-1.416500515,-1.446012743,-1.155818461,-3.204408749,-0.752553147,-0.592633599,-0.598270759,-0.534974522,-0.910923762,-3.350052776,-0.670007295,-1.896783696,-3.304614834,-1.893507679,-1.699920158,-3.184100979,-3.250099268,-4.269976756,-2.312355067,-3.068267862,-3.624153316,-3.731202462,-2.07963819,-1.503354343,-2.713986255,-0.207402779,-1.20294109,-0.467152373,-0.370988786,-1.391439468,-4.049502794,-1.678428125,-0.458632237,-0.705437258,-0.564530761,-1.771676371,0.222156833,-0.232602461,-0.153609241,-0.250208728,-0.296672539,-0.095176157,-0.514207298,-1.431256629,-2.891127058,-0.462892305
acpT,b3475,CDS,1,holo-[acyl carrier protein] synthase 2,0.025831802,-0.072211754,0.001406689,-0.019044,0.018314072,-0.243418043,-0.010648339,0.03484455,-0.075801595,-0.176342731,-0.043087369,0.018713149,0.148959852,-0.041720814,0.375487048,-0.090017411,-0.019301862,0.022916566,-0.005110218,-0.092559256,0.005901818,-0.025627596,-0.047916383,-0.284240284,-0.031456218,0.005355864,-0.149674648,-0.126953016,0.133657621,-0.054697432,-0.119578703,0.094135073,-0.042427057,-0.087990558,0.012473202,0.112854381,0.050435134,-0.205329158,-0.123808703,0.17084107,-0.137328422,-0.135263139,0.044506837,0.223939541,-0.091996329,-0.015287876,-0.049483146,0.089951308,0.070044139,0.087339782,-0.01484617,-0.039686301,-0.001407337
acrA,b0463,CDS,-1,multidrug efflux pump membrane fusion lipoprotein AcrA,-0.801950695,-0.734585401,-0.616848472,-0.633592901,-0.650580119,-0.298073022,-0.207567434,-0.780015066,-0.28583846,-0.775606809,-0.331840271,-0.394750249,-0.344566654,-0.563527795,-0.129178401,-0.517168849,-0.301871261,-0.282906286,-0.097915006,-0.684492201,-0.316654022,-0.333347224,-0.134876337,-0.627093563,-0.438896325,-0.219979112,-0.055499887,-0.34026367,-0.614969305,-0.184971157,0.757967859,-0.013498869,0.405508831,-0.380325678,0.185647745,0.094803778,0.655779442,0.540298037,-0.1388651,0.475325483,-0.068476874,-0.08650811,-0.4183871,1.04850709,-0.026992684,-0.015030858,0.41606535,0.258517913,0.339205159,0.076556696,-0.455959549,-0.268316567,0.140225762
acrB,b0462,CDS,-1,multidrug efflux pump RND permease AcrB,-0.592395128,-0.430315956,-0.643074881,-0.627292741,-0.626515008,-0.514694721,-0.394838149,-0.799717267,-0.376701849,-0.616039604,-0.455841455,-0.256781239,-0.417867255,-0.723698692,-0.143768886,-0.547920081,-0.252715268,-0.567297012,0.008571479,0.029909274,-0.104295028,-0.371574952,-0.018419395,-0.411343271,-0.086490914,-0.269889558,0.078078948,-0.241159022,-0.646484667,0.010550754,0.509378892,-0.15997586,0.110405496,-0.111142352,-0.132697701,-0.293263754,-0.23657746,0.110800403,-0.251931299,-0.046355827,0.029148585,-0.393064639,-0.543394847,-0.154864119,-0.062232057,-0.309887641,-0.151072223,-0.451708469,-0.064277914,-0.192021254,-0.531307401,-0.095392971,-0.152968171
acrD,b2470,CDS,1,multidrug efflux pump RND permease AcrD,-0.011095789,-0.028595168,0.025164373,-0.059654138,-0.031441152,-0.186541263,0.117006119,0.012587346,0.007054109,-0.131448221,-0.087968432,-0.05852047,0.23294642,-0.102465921,0.256137886,-0.089589969,0.100974146,-0.119299358,0.151767113,-0.117559363,-0.498674059,-0.073926685,-0.040418274,-0.22453044,0.075357788,0.003267516,-0.013418558,0.122441821,0.214269136,0.02896355,0.162073669,0.304256488,0.240570819,0.046914585,0.110812372,-0.024974519,-0.001006303,0.219007586,0.322653628,0.563945538,0.033970517,0.008810464,-0.210001557,-0.003770578,0.03563887,0.090569251,0.127716325,0.496844133,0.182689284,0.128348761,-0.03001816,0.016115533,0.100690812
acrE,b3265,CDS,1,multidrug efflux pump membrane fusion lipoprotein AcrE,0.020744047,0.192112423,-0.025590817,-0.309344387,-0.161410939,-0.235008359,0.019925247,0.052594098,NaN,0.093366328,-0.16555376,-0.12575454,0.031798788,-0.030007828,-0.329377496,-0.101024081,-0.216224641,-0.040989776,-0.00505786,0.139126391,-0.071037415,-0.106352556,-0.094452913,-0.285115381,-0.112040228,-0.057200202,NaN,-0.07587966,-0.100025869,-0.026498015,-0.127277116,-0.033631015,0.069250302,0.210290219,0.044138317,-0.118046825,-0.22305031,-0.005375046,-0.06084486,0.062554194,NaN,0.058791809,-0.114905694,-0.011479627,-0.120243034,0.014443481,-0.124609533,-0.366674734,-0.162156346,-0.201648273,-0.040989776,-0.07587966,-0.06084486
acrR,b0464,CDS,1,DNA-binding transcriptional repressor AcrR,0.071520521,0.054942921,0.221027385,0.343686047,0.077449329,0.033857191,0.032331317,0.434418615,-0.018276688,0.217399015,-0.339007086,-0.03627574,0.304541839,0.090051962,0.010277427,0.091280304,-0.049488492,-0.142128004,-0.298624091,-0.130116609,-0.068700151,-0.009214489,-0.059959105,-0.018728788,-0.051172824,-0.034384357,-0.035169693,-0.175893349,0.016768215,0.147275268,-0.073028491,-0.198940594,-0.35684923,0.165995052,-0.293855933,0.271975962,-0.26566711,-0.475588167,0.320679803,0.183905978,-0.084385998,-0.158753282,0.124594542,-0.153785986,-0.231921057,-0.043465838,-0.150821872,-0.114186481,-0.210177181,-0.04299539,0.063231721,-0.055565965,-0.132504176
acrZ,b0762,CDS,1,multidrug efflux pump accessory protein AcrZ,-0.452021347,-0.218069451,-0.395697455,-0.584137559,-0.329507707,-0.362513975,-0.329099551,-0.378347247,-2.929242218,-0.461808039,-0.203195669,-0.139619352,-0.138344404,-0.141634252,-0.286166072,-0.429745648,-0.406183721,-0.586501839,-0.110244154,-0.02733163,-0.367929129,-0.181695021,-0.13917549,-0.156170018,-0.275236284,-0.025678289,-2.955894051,-0.151136619,-0.037427334,-0.0425561,-0.080099041,0.090332825,0.010439886,0.005625368,-0.240338754,-0.320566749,-0.156639552,-0.09576106,-0.219384167,-0.132501087,-3.06639731,-0.118812183,-0.118023093,0.129631677,-0.13450808,-0.10288158,-0.084567423,-0.320697266,-0.026758251,-0.063526968,-0.370430611,-0.124709822,-0.118417638
acs,b4069,CDS,-1,acetyl-CoA synthetase (AMP-forming),-0.029623933,-0.262064887,-0.008800826,-0.312887294,-0.053591845,-0.014893096,-0.094578292,0.092680552,0.151858028,-0.172852021,-0.160875643,0.053004725,-0.017238573,0.033105648,0.033614406,-0.07519268,0.068269564,0.00215571,0.022952958,-0.641346123,-0.069590738,-0.374886063,-0.048349418,0.118561531,-0.358164856,0.001870689,0.246096709,0.040947717,0.146487927,-0.200072733,-0.146515813,0.060929135,0.160527909,-0.913275981,0.125640301,-0.360618795,0.007474374,0.151733451,0.093767911,0.237860111,0.160612096,0.050884193,-0.011934961,-0.077164506,0.019435055,0.231559706,0.046713188,-0.314864793,-0.050641169,-0.052845982,-0.016065835,-0.023239364,0.033074121
actP,b4067,CDS,-1,acetate/glycolate:cation symporter,-0.084908141,-0.225536212,0.042117975,0.142280086,-0.123569425,0.019830202,-0.077083685,0.050196652,0.02081342,-0.046548201,-0.260583417,-0.107396353,0.184254059,-0.085309666,-0.115218517,-0.121626772,0.016967294,-0.137516952,-0.102898783,-0.307395818,-0.050572616,-0.267108514,-0.203393489,-0.208037116,-0.095372591,-0.145606793,-0.191688493,-0.042706782,-0.061734772,-0.07477829,-0.338621077,-0.027115867,-0.011206974,-0.212431698,0.002785246,0.246677492,-0.118704946,0.113086238,-0.125805877,0.191682991,0.016803468,-0.028609707,-0.114801417,-0.014615079,-0.037621091,0.137459366,0.033402157,0.213849714,0.031237882,0.035875569,-0.080995913,-0.124252788,0.009794357
ada,b2213,CDS,-1,DNA-binding transcriptional dual regulator/DNA repair protein Ada,-0.090311577,-0.301591117,0.085253268,0.041164933,0.037307293,-0.107809759,0.155194104,0.125592113,0.027750605,-0.094401563,-0.189167988,-0.122228579,0.190732543,-0.184753631,-0.020140151,0.071671891,0.042144762,-0.02599459,-0.050008237,-0.595103012,0.167418996,-0.070488398,0.085492788,-0.02229343,-0.078260936,-0.096254262,-0.040808762,0.100173484,-0.334920638,0.092185497,-0.104676378,-0.036558391,-0.123925527,-0.247639024,0.168999522,0.157489891,-0.030133483,0.203283495,0.174738415,0.273746584,0.0844199,0.039883202,0.211988728,0.120015403,0.030078549,0.165437608,0.004733317,-0.085222449,0.198614807,-0.097431988,0.003805227,-0.0454085,0.102217652
add,b1623,CDS,1,adenosine deaminase,-0.01524115,-0.033042403,-0.228331061,-0.303150776,-0.366600865,-0.197519789,-0.24708016,-0.0621597,-0.108488249,-0.109420195,-0.153780332,-0.258529138,-0.042453269,-0.070718007,-0.199249828,-0.361574642,-0.034186807,-0.081208609,0.051371935,0.113261083,-0.090243867,-0.08873449,-0.112616355,-0.103179397,-0.225968179,-0.120701756,0.26453938,0.01793716,-0.134701379,-0.031426834,0.006885639,0.064976101,0.174087653,0.181779672,-0.209690016,-0.1039363,-0.121969033,0.400148842,-0.10720488,0.39222569,-0.08016389,0.08263941,-0.152370565,0.214371048,-0.384746198,0.071783736,-0.265894064,-0.286215774,-0.097652219,-0.051230922,-0.131600264,-0.060080662,-0.088908055
