b_number	dN/dS	dN	dS
b0278	1.49211	10.2884	6.8952
b0279	2.00528	21.0905	10.5175
b0280	1.1258	1.0489	0.9317
b0281	0.0001	0	0
b4694	NA	NA	NA
b4695	NA	NA	NA
b0283	0.24926	0.0541	0.2172
b0284	NA	NA	NA
b0285	0.15554	0.0315	0.2023
b0286	0.69249	1.9008	2.7449
b0287	0.02817	0.2859	10.1484
b0288	NA	NA	NA
b0289	0.1535	0.0594	0.3868
b0290	0.07844	0.0403	0.5131
b0291	NA	NA	NA
b0292	0.18408	0.0534	0.2902
b0293	0.1277	0.0275	0.2151
b0294	0.27247	0.0474	0.174
b0295	NA	NA	NA
b4506	NA	NA	NA
b0296	NA	NA	NA
b4671	NA	NA	NA
b4630	NA	NA	NA
b0297	NA	NA	NA
b0298	0.0001	0	0.009
b0299	NA	NA	NA
b0300	0.27982	0.1149	0.4107
b4631	NA	NA	NA
b0301	NA	NA	NA
b0303	NA	NA	NA
b0304	0.3088	0.1745	0.5653
b0305	0.16594	0.0412	0.2486
b0306	0.1654	0.037	0.2235
b0307	NA	NA	NA
b0308	0.16778	0.0781	0.4654
b0310	NA	NA	NA
b0311	0.06205	0.0802	1.2928
b0312	0.08169	0.08	0.9794
b0313	0.11244	0.0725	0.6451
b0314	NA	NA	NA
b0315	0.09564	0.0979	1.0239
b0316	NA	NA	NA
b0317	0.18634	0.1329	0.7131
b0318	0.13886	0.0881	0.6341
b0319	0.24548	0.19	0.7739
b0320	0.0487	0.0272	0.558
b0321	0.09826	0.7895	8.0348
b0323	0.06905	0.0779	1.1283
b0324	0.05593	0.0615	1.0994
b0325	1.32471	0.1196	0.0903
b0326	0.28155	1.6974	6.0287
b0327	999	49.4264	0.0495
b0328	NA	NA	NA
b0329	0.06874	0.0408	0.5929
b0330	NA	NA	NA
b0331	0.03868	0.0469	1.2116
b0333	1.13359	1.9687	1.7367
b0334	0.04997	0.0458	0.9161
b0335	0.05	0.0435	0.8707
b0336	0.02562	0.0162	0.6336
b0337	0.03677	0.0219	0.5946
b0338	0.17189	0.076	0.442
b0339	0.11906	0.0391	0.3281
b0340	0.58521	1.9678	3.3625
b0341	0.16673	0.0953	0.5717
b0342	NA	NA	NA
b0343	0.03878	0.0141	0.3631
b0344	0.1996	0.1694	0.8486
b0345	0.10076	0.0487	0.4834
b0346	NA	NA	NA
b0347	NA	NA	NA
b0348	NA	NA	NA
b0349	0.06665	0.0284	0.4254
b0350	0.12183	0.0578	0.4746
b0351	0.07901	0.0365	0.4614
b0352	0.06991	0.0311	0.4453
b0353	0.57178	1.5174	2.6539
b0354	0.06523	0.0437	0.6694
b0355	0.09955	0.05	0.5026
b0356	0.03236	0.0154	0.4762
b0357	0.03491	0.0052	0.1477
b0358	0.13017	0.0403	0.3098
b4579	NA	NA	NA
b0360	0.0001	0	0.3551
b0361	NA	NA	NA
b0363	0.09715	0.0584	0.6014
b0364	0.08239	0.2958	3.5896
b0365	NA	NA	NA
b0366	0.13365	0.0896	0.6703
b0367	0.13638	0.1232	0.9036
b0368	0.15582	0.1509	0.9684
b0369	0.01481	0.0094	0.6345
b4580	NA	NA	NA
b0372	NA	NA	NA
b0373	0.18989	0.1725	0.9083
b0375	NA	NA	NA
b0376	0.02564	0.018	0.7022
b0377	0.03546	0.0064	0.1813
b0378	NA	NA	NA
b0379	0.13305	0.0259	0.1945
b0380	0.12862	0.0287	0.2235
b0381	0.05608	0.0215	0.3837
b0382	0.01643	0.0083	0.5021
b0383	0.16253	0.086	0.529
b0384	0.05622	0.0214	0.3814
b0385	NA	NA	NA
b0386	0.06112	0.0194	0.3167
b0387	0.06022	0.0223	0.3708
b0388	0.06481	0.0163	0.2512
b0389	0.37645	1.3984	3.7148
b0390	NA	NA	NA
b0391	0.05381	0.0102	0.1901
b0392	NA	NA	NA
b0393	0.07702	0.0343	0.4455
b0394	0.10554	0.0498	0.4719
b0396	0.07648	0.0491	0.6416
b0397	NA	NA	NA
b0398	0.11975	0.0516	0.4311
b0399	NA	NA	NA
b0400	0.07156	0.0375	0.5242
b0401	0.02615	0.0092	0.3524
b0402	0.01478	0.0084	0.5699
b0403	0.10477	0.074	0.7064
b0404	0.07906	0.0484	0.6127
b0405	0.04292	0.0255	0.5935
b0406	0.01793	0.0039	0.2152
b0407	0.04475	0.0044	0.0977
b0408	0.00678	0.0024	0.3526
b0409	0.0001	0	0.3178
b0410	0.04336	0.0198	0.4577
b0411	0.02188	0.007	0.3202
b0412	NA	NA	NA
b0413	0.01318	0.0049	0.3694
b0414	0.08046	0.083	1.0316
b0415	0.01312	0.0031	0.2364
b0416	0.05143	0.0082	0.1593
b0417	0.07202	0.0917	1.274
b0418	0.01367	0.0149	1.0936
b0419	0.02871	0.0534	1.8597
b0420	0.02585	0.0221	0.8548
b0421	0.08733	0.0378	0.4331
b0422	0.10513	0.0179	0.1703
b0423	NA	NA	NA
b0424	0.05091	0.0305	0.5985
b0425	0.05499	0.028	0.5093
b0426	0.01184	0.0059	0.4944
b0427	0.12376	0.0884	0.7145
b0428	0.0193	0.008	0.412
b0429	NA	NA	NA
b0430	0.02138	0.0053	0.2474
b0431	0.00523	0.0018	0.3346
b0432	0.19178	0.0372	0.1939
b0433	0.04329	0.0267	0.616
b0434	0.03599	0.0116	0.3215
b0435	0.0001	0	0.0104
b0436	0.04147	0.0078	0.1888
b0437	NA	NA	NA
b0438	NA	NA	NA
b0439	0.01235	0.0042	0.3423
b0440	0.11709	0.0059	0.0508
b0441	0.0741	0.0214	0.2883
b0442	0.19678	0.0518	0.2634
b0443	0.07202	0.032	0.4445
b0444	0.10023	0.0309	0.3078
b0445	NA	NA	NA
b0446	0.17951	0.0495	0.276
b0447	0.03557	0.0096	0.2693
b0448	0.05289	0.0294	0.5559
b0449	0.05375	0.0335	0.624
b0450	0.02368	0.0045	0.1919
b0451	0.04186	0.025	0.5973
b0452	0.04512	0.0179	0.3958
b0453	NA	NA	NA
b0454	0.04473	0.0185	0.4144
b0455	NA	NA	NA
b0456	0.08374	0.0293	0.3503
b0457	0.09682	0.025	0.2578
b0458	0.02795	0.0063	0.2239
b0459	NA	NA	NA
b0460	0.1238	0.014	0.1129
b0461	0.01141	1.2257	107.4616
b0462	NA	NA	NA
b0463	0.0385	0.0073	0.1897
b0464	NA	NA	NA
b0465	NA	NA	NA
b0466	0.33015	4.2944	13.0076
b0467	0.14736	0.099	0.6716
b0468	0.1358	0.0198	0.1458
b0469	0.02782	0.0054	0.1924
b0470	NA	NA	NA
b0471	0.08703	0.0164	0.1886
b0472	0.03698	0.0095	0.2574
b0473	0.03187	0.0134	0.4205
b0474	0.05311	0.025	0.4711
b0475	0.06466	0.029	0.4492
b0476	0.22887	0.0964	0.4211
b0477	0.00709	0.0033	0.4595
b0478	0.0441	0.0223	0.5061
b0479	NA	NA	NA
b0480	0.06493	0.0378	0.5818
b0481	0.04871	0.0246	0.5049
b4585	3.66156	5.6164	1.5339
b0482	0.11514	0.0664	0.5764
b0483	0.53417	0.0967	0.1811
b0484	0.02187	0.0235	1.0748
b0485	0.19269	0.0526	0.2731
b0486	0.04689	0.0221	0.4719
b0487	0.05057	0.0505	0.9983
b0488	0.11652	0.0833	0.7151
b0489	0.01134	0.0077	0.6788
b0490	0.08401	0.0352	0.4186
b0491	NA	NA	NA
b0492	0.02898	0.0135	0.4659
b0493	0.11169	0.0447	0.3999
b0494	0.28316	0.0478	0.1689
b0495	NA	NA	NA
b0496	0.06461	0.0508	0.7856
b0497	NA	NA	NA
b0498	NA	NA	NA
b0499	NA	NA	NA
b0501	NA	NA	NA
b4632	NA	NA	NA
b0502	NA	NA	NA
b0503	NA	NA	NA
b0504	NA	NA	NA
b0505	0.19583	0.1089	0.5561
b0506	0.03967	0.0128	0.3223
b0507	NA	NA	NA
b0508	0.07095	0.1504	2.1201
b0509	0.0637	0.0449	0.7056
b0511	0.13828	0.1297	0.9378
b0512	0.28773	0.1993	0.6927
b0513	0.05257	0.0315	0.599
b0514	0.11991	0.1051	0.8762
b0515	0.09806	0.059	0.6018
b0516	0.12514	0.094	0.7509
b0517	0.09338	0.0498	0.5338
b0518	NA	NA	NA
b4572	0.04659	0.0371	0.7957
b0520	0.19157	0.1005	0.5246
b0521	0.09044	0.0705	0.7795
b0522	0.09195	0.0803	0.8734
b0523	0.04175	0.0147	0.3519
b0524	0.05184	0.0394	0.7606
b0525	0.06624	0.0159	0.2396
b0526	0.01542	0.0116	0.7515
b0527	NA	NA	NA
b0528	0.09013	0.0269	0.2986
b0529	0.0358	0.0191	0.5347
b0530	0.2529	0.0261	0.1033
b0531	0.14351	0.0314	0.2189
b0532	NA	NA	NA
b0533	0.09169	0.7472	8.1497
b0534	0.3569	0.0522	0.1463
b0535	0.14808	0.056	0.3784
b0536	NA	NA	NA
b0537	NA	NA	NA
b4633	NA	NA	NA
b0539	NA	NA	NA
b4508	0.1435	19.1481	133.4391
b0542	1.99022	3.6098	1.8138
b0540	0.21453	0.2395	1.1165
b0541	0.095	0.7279	7.662
b0543	NA	NA	NA
b0544	NA	NA	NA
b0545	0.09748	0.0342	0.3505
b0546	0.80096	2.4217	3.0235
b4588	0.00035	8.4497	23953.2069
b0547	NA	NA	NA
b0548	NA	NA	NA
b0549	NA	NA	NA
b0550	NA	NA	NA
b4509	NA	NA	NA
b0551	0.05705	1.1787	20.6597
b0553	NA	NA	NA
b0552	NA	NA	NA
b0554	0.05127	0.2905	5.6662
b0555	NA	NA	NA
b0556	0.78479	1.8828	2.3991
b4510	0.07469	13.1766	176.4203
b0557	NA	NA	NA
b0558	0.30108	0.2074	0.6889
b0559	NA	NA	NA
b4589	999	47.9578	0.048
b0560	0.09188	2.9568	32.1799
b4634	NA	NA	NA
b0561	NA	NA	NA
b0562	NA	NA	NA
b0563	NA	NA	NA
b0564	0.08485	0.3464	4.0826
b0565	1.06983	17.0375	15.9254
b0566	NA	NA	NA
b0567	0.14169	0.0666	0.4701
b0568	NA	NA	NA
b0569	NA	NA	NA
b0570	0.0896	0.0988	1.1026
b0571	0.01283	0.0105	0.8214
b0572	0.05595	0.0577	1.0313
b0573	0.14616	0.0697	0.4768
b0574	0.07986	0.0458	0.5741
b0575	0.06368	0.0403	0.6323
b0576	0.02405	0.0195	0.8108
b0577	0.04288	0.0177	0.4127
b0578	0.09908	0.0441	0.4452
b0579	NA	NA	NA
b0580	0.46288	0.1056	0.228
b0581	0.11771	0.0805	0.6837
b4700	NA	NA	NA
b4415	0.16527	0.2129	1.2881
b0582	NA	NA	NA
b0583	0.32087	0.2965	0.9241
b0584	NA	NA	NA
b0585	0.25791	0.1034	0.4008
b4511	NA	NA	NA
b0586	0.12739	0.1287	1.01
b0587	NA	NA	NA
b0588	0.03374	0.034	1.0064
b0589	0.0585	0.0564	0.9634
b0590	0.03143	0.0292	0.9299
b0591	0.04364	0.0485	1.112
b0592	0.05524	0.0427	0.7725
b0593	0.08288	0.0421	0.5077
b0594	0.04656	0.0422	0.9058
b0595	0.07433	0.0436	0.587
b0596	0.06059	0.0445	0.7339
b0597	0.04948	0.0293	0.5927
b0598	0.01273	0.0136	1.0709
b4512	0.09603	0.0144	0.1496
b0599	0.10531	0.0918	0.8714
b0600	0.10842	0.0751	0.6928
b0601	0.11258	0.0826	0.734
b0602	0.07322	0.3928	5.3652
b0603	NA	NA	NA
b0604	0.11072	0.0596	0.5382
b0605	0.04608	0.005	0.1083
b0606	0.01917	0.0112	0.5821
b0607	0.02647	0.0156	0.5912
b0608	0.16235	0.0111	0.0682
b0610	NA	NA	NA
b0611	0.15187	0.0439	0.2892
b0612	0.05521	0.0264	0.4783
b0613	NA	NA	NA
b0614	0.33438	0.0436	0.1302
b0615	0.04543	0.0182	0.4012
b0616	0.02344	0.0063	0.2696
b0617	NA	NA	NA
b0618	0.20678	0.0365	0.1767
b0619	0.05185	0.0221	0.4255
b0620	0.02344	0.0069	0.2949
b0621	NA	NA	NA
b0622	0.04222	0.0379	0.8973
b0623	0.0001	0	0.0313
b0624	0.07972	0.0269	0.337
b4581	    -nan	0	0
b0627	0.34324	0.03	0.0875
b0628	0.04222	0.0113	0.2665
b0629	NA	NA	NA
b0630	0.12766	0.0376	0.2942
b0631	0.0001	0	0.0552
b0632	0.01055	0.0038	0.3588
b0633	0.08225	0.0275	0.3338
b0634	0.01935	0.0044	0.2279
b0635	0.00525	0.0022	0.4176
b0636	0.11899	0.0097	0.0816
b0637	0.05366	0.0071	0.1321
b0638	0.27591	0.1247	0.4521
b0639	0.05085	0.018	0.3535
b0640	0.13634	0.0513	0.376
b0641	0.10484	0.0505	0.4816
b0642	0.03887	0.0185	0.4759
b0643	0.03803	0.0154	0.4037
b0644	NA	NA	NA
b0645	0.11945	0.0993	0.8315
b0646	0.27215	0.0744	0.2733
b0647	0.1296	0.0851	0.6568
b0648	NA	NA	NA
b0649	NA	NA	NA
b0650	NA	NA	NA
b0651	0.09073	0.0614	0.6771
b0652	0.01444	0.0123	0.8525
b0653	0.02144	0.0172	0.8002
b0654	0.01835	0.019	1.0377
b0655	0.07361	0.0478	0.6489
b0656	1.12035	1.1292	1.0079
b0657	0.06033	0.0561	0.9297
b0658	0.0001	0	0.2223
b0659	0.14601	0.0307	0.2104
b0660	0.00539	0.0034	0.6386
b0661	0.14245	0.0143	0.1003
b0662	0.06915	0.0726	1.0499
b0664	NA	NA	NA
b0665	NA	NA	NA
b0666	999	0.0002	0
b0668	NA	NA	NA
b0670	0.4023	0.0001	0.0002
b0672	0.0001	0	0.0014
b0673	NA	NA	NA
b0674	NA	NA	NA
b0675	0.00726	0.0076	1.0497
b0676	0.00961	0.0059	0.6175
b0677	0.0734	0.0284	0.3864
b0678	0.0452	0.0129	0.2853
b0679	NA	NA	NA
b0680	0.01342	0.0073	0.5444
b0681	0.12764	0.1457	1.1418
b0682	0.08351	0.06	0.7191
b0683	0.0286	0.0062	0.2154
b4637	NA	NA	NA
b0684	0.04951	0.0178	0.3594
b0685	0.05644	0.0099	0.1755
b0686	0.08135	0.0533	0.6551
b0687	0.10691	0.0134	0.1251
b0688	0.04012	0.0253	0.6315
b0689	NA	NA	NA
b0691	NA	NA	NA
b4636	NA	NA	NA
b0692	NA	NA	NA
b0693	NA	NA	NA
b4590	3.24567	9.355	2.8823
b0694	0.05686	0.0625	1.0988
b0695	NA	NA	NA
b0696	0.24999	0.1252	0.5009
b0697	0.84425	0.0522	0.0619
b0698	NA	NA	NA
b4513	NA	NA	NA
b0699	NA	NA	NA
b0700	NA	NA	NA
b0702	0.4833	7.2635	15.0292
b0703	NA	NA	NA
b0704	NA	NA	NA
b4514	NA	NA	NA
b0705	NA	NA	NA
b0706	0.60571	22.0213	36.3561
b0707	0.22971	0.126	0.5485
b0708	0.14503	0.161	1.1099
b0709	0.05417	0.0362	0.6692
b0710	0.03278	0.0137	0.418
b0711	0.72259	0.0917	0.1269
b0712	0.07658	0.0474	0.6189
b0713	NA	NA	NA
b0714	0.6535	1.2745	1.9502
b0715	0.05405	0.0518	0.9591
b0716	NA	NA	NA
b0717	0.1282	0.2424	1.8908
b0718	0.06111	0.1137	1.8604
b0719	NA	NA	NA
b0720	0.02018	0.0107	0.5295
b0721	0.42354	0.0303	0.0716
b0722	0.09125	0.0172	0.1886
b0723	0.00839	0.0059	0.6976
b0724	0.06065	0.0118	0.1951
b0726	0.01223	0.006	0.4937
b0727	0.03867	0.0162	0.4183
b0728	0.0001	0	0.2651
b0729	0.00984	0.0066	0.6724
b0730	0.41833	2.794	6.6788
b0731	NA	NA	NA
b0732	NA	NA	NA
b0733	0.51969	0.1952	0.3756
b0734	0.00756	0.0025	0.3366
b4515	NA	NA	NA
b0735	0.11088	0.0275	0.2478
b0736	0.50149	0.0618	0.1231
b0737	0.00642	0.0022	0.3493
b0738	0.1065	0.0119	0.1121
b0739	0.21349	0.0116	0.0543
b0740	0.0476	0.0037	0.0778
b0741	0.06887	0.0055	0.0792
b0742	NA	NA	NA
b0743	NA	NA	NA
b0744	999	0.0001	0
b0745	0.7167	0	0
b0746	NA	NA	NA
b0747	NA	NA	NA
b0748	NA	NA	NA
b0749	NA	NA	NA
b0750	0.19262	0.0511	0.2654
b0751	0.14861	0.0475	0.3197
b0752	0.0695	0.0276	0.3967
b0753	0.05302	0.0219	0.413
b0754	0.03639	0.0286	0.7852
b0755	0.00318	0.0018	0.5807
b0756	0.09413	0.0505	0.5361
b0757	0.04768	0.0315	0.6607
b0758	0.07907	0.0369	0.4662
b0759	0.0208	0.0092	0.4426
b0760	0.14324	0.0956	0.6674
b0761	0.07346	0.0339	0.4618
b0762	NA	NA	NA
b0763	0.11135	0.051	0.4584
b0764	0.02857	0.0136	0.4744
b0765	0.05398	0.0384	0.7119
b0766	0.0686	0.0344	0.5008
b0767	0.04165	0.023	0.5529
b0768	0.0432	0.019	0.4405
b0769	NA	NA	NA
b0770	0.07164	16.6669	        -nan
b0771	0.05265	0.0432	0.8203
b0772	0.03719	0.0213	0.5718
b0773	0.10133	0.0496	0.4893
b0774	0.09722	0.0677	0.696
b0775	0.00986	0.0095	0.9587
b0776	0.18099	0.1281	0.7077
b0777	0.18822	0.102	0.5417
b0778	0.15942	0.0776	0.4865
b0779	0.0045	0.0036	0.7986
b0780	0.04386	0.0491	1.1184
b0781	0.0953	0.0325	0.3411
b0782	0.02533	0.0108	0.4258
b0783	0.02668	0.0088	0.3292
b0784	0.34699	0.1027	0.2958
b0785	0.0913	0.0355	0.3886
b0786	0.02153	0.016	0.7436
b0787	0.32672	0.2947	0.902
b0788	0.0592	0.0514	0.8685
b0789	0.04443	0.0299	0.6719
b0790	0.08152	0.0336	0.4126
b0791	0.07522	0.0226	0.3002
b0792	0.0215	0.0131	0.6088
b0793	0.01509	0.0159	1.0519
b0794	0.02939	0.0276	0.9399
b0795	0.02143	0.0132	0.6174
b0796	0.02883	0.0098	0.3391
b0797	0.0559	0.0398	0.7124
b0798	NA	NA	NA
b0799	0.03393	0.0264	0.7793
b0800	0.11525	0.0365	0.3171
