b_number,Gene.Name,MDS42CDS_length_bp,leftpos_mds42,rightpos_mds42,ave_pos,Strand,dNdS,dN,dS,lin_expression_NRG,protein_sequence_pecentage_difference_NRG,lin_average expression level_Shibai,lin_variance of  expression level_Shibai,lin_ave_M3DB,lin_sd_M3DB,lin_var_M3DB,syn.num,syn.tube,nons.num,nons.tube,inac.num,inac.tube,lin_Mean_Protein_n,lin_SD_Protein_n,lin_Noise_Protein_n,RunmedNoise_protein_n,SmoothSpline_n,SM_n,log10SmoothSpline_n,log10SM_n,lin_ave_protein_copy_schmidt,lin_var_protein_copy_schmidt,RunmedVar_env_protein,SmoothSpline_schmidt,log10SmoothSpline_schmidt,log10SM_schmidt,Essentiality,dN.dS.inter.species,dN.inter.species,dS.inter.species,alpha_max,Odmax,Ins_index_score,1R172,2R172,3R172,4R172,5R172,6R172,1R268,2R268,3R268,4R268,5R268,6R268,ANC,linaveR172,linaveR268
b0024,yaaY,219,16006,16224,16115,plus,NA,NA,NA,5.917342317,0.295774648,106.5207714,15368.2367,122.3623033,55.82661439,3116.610871,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.60041,0.2685,0.1678,0.010151436,0.63905534,0.109589041,262.5799615,289.5098692,209.4662462,101.2805319,194.8895654,121.6658446,297.4349308,369.2375731,169.4333423,137.0796808,832.4167423,158.5344219,113.4345119,196.5653365,327.3561152
b0025,ribF,942,16232,17173,16702.5,plus,0.07107,0.0264,0.3716,69.35327591,0.108974359,1217.368164,293626.6228,1089.342561,392.1252978,153762.2489,2,2,3,2,0,0,13.22,5.05,0.147710487,0.175131349,0.190274151,-0.042563664,-0.720620208,-0.109968462,135.4047021,1314.668937,3929.695921,4409.324149,3.644372027,-0.525555625,1,0.05823,0.0675,1.159,0,0,0.005307856,4240.888,5369.890346,5676.3715,3637.163462,4229.285923,5445.291269,4880.939192,5344.420385,4842.957385,4770.324577,4814.453038,5700.826115,4561.939885,4766.48175,5058.986782
b0026,ileS,2817,17216,20032,18624,plus,NA,NA,NA,40.16525606,0.120726496,1090.652776,335003.4627,1621.788919,578.2246199,334343.7118,5,4,3,2,0,0,64.061,22.707,0.12345679,0.126903553,0.14026451,-0.01680772,-0.853052201,-0.055432818,1759.226026,338651.0726,530961.6437,559847.3027,5.74806959,-0.218317135,1,0.10597,0.0786,0.7421,0.006911995,0.569195213,0.002484913,4736.673962,4814.453038,6352.680885,4356.396038,3577.697154,5358.225885,5136.123077,4929.869308,5477.366846,5418.330692,4890.2945,6518.419577,4421.127192,4866.02116,5395.067333
b0027,lspA,495,20032,20526,20279,plus,0.07678,0.0181,0.2358,38.25285102,0.085365854,1870.067342,808391.1884,1302.405696,482.8127257,233108.1272,0,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.08937,0.0533,0.5963,0,0,0.012121212,26705.82077,29776.22423,31069.84731,21399.76692,23282.48077,43594.98615,30272.38,44071.27577,30671.48385,20124.17192,27885.38962,47269.23615,27510.865,29304.85436,33382.32288
b0028,fkpB,450,20651,21100,20875.5,plus,0.01022,0.0033,0.3195,33.12517123,0.080536913,857.9574169,260774.4133,733.2563325,278.1292687,77355.88996,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1277.125966,393990.9263,374757.2008,290817.0578,5.463619876,0.131866344,2,0.04066,0.0442,1.0868,0.005398497,0.289488139,0.113333333,4699.801577,5629.959692,5629.959692,4163.801962,4159.302615,6623.295269,4529.087846,7311.939538,5013.812385,4634.903385,5231.824038,7440.088769,4328.136346,5151.020135,5693.609327
b0029,ispH,951,21102,22052,21577,plus,NA,NA,NA,28.40974027,0.063291139,640.8130478,109550.8884,580.5093948,151.2499191,22876.53793,0,0,2,1,0,0,30.665,12.29,0.140548138,0.143575018,0.159021802,-0.018473664,-0.798543329,-0.053631575,156.9481526,9444.633941,5031.844586,5764.786722,3.760783244,0.214401886,1,0.03498,0.0355,1.0141,0,0,0.008412198,2606.539769,2914.569808,2796.1675,2435.819115,1996.656808,3700.211731,2115.231154,2911.683308,2515.862308,2521.654923,2703.563231,3643.874385,2198.657846,2741.660788,2735.311551
b0030,rihC,915,22118,23032,22575,plus,0.1026,0.1294,1.2614,9.310610862,0.207236842,358.8376551,106680.9214,469.6161576,219.067625,47990.62412,3,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,253.3481183,73729.7253,23186.08768,12865.08742,4.109412742,0.758229874,2,0.05381,0.1357,2.5226,0.009588076,0.613606553,0.228415301,462.5458692,277.2236654,293.3869385,321.6560269,248.5541731,181.7490423,546.9549731,616.6591615,203.6814077,266.0487231,253.5772115,173.2746385,268.8026154,297.5192859,343.3660192
b0031,dapB,822,23199,24020,23609.5,plus,0.08997,0.0374,0.4156,26.49021814,0.098901099,746.9568425,369295.8115,691.9242463,409.9406946,168051.3724,2,2,4,4,0,0,50.366,17.237,0.115606936,0.138312586,0.144552792,-0.028945856,-0.839973514,-0.097042595,1966.369534,804582.73,675797.0824,690761.9212,5.839328389,0.066242318,1,0.03752,0.0623,1.6616,0,0,0.001216545,14946.44962,13873.25231,23384.73269,7979.199231,1984.030346,15634.93038,29152.79385,19228.99385,7954.730846,8668.286231,2515.862308,20124.17192,7264.0345,12967.0991,14607.47317
b0032,carA,1149,24476,25624,25050,plus,0.02623,0.019,0.7229,11.98799879,0.052356021,1388.556808,2302079.455,947.8883661,1162.957766,1352470.76,0,0,1,1,0,0,477.221,220.595,0.226500566,0.161681487,0.154004446,0.07249612,-0.812466742,0.167536034,4458.71155,5673368.521,3155020.253,3560544.473,6.551516415,0.20232458,2,0.0422,0.029,0.6879,0.010346426,0.67230497,0.17232376,9807.620731,13632.52215,7440.088769,17814.91808,9807.620731,9926.364346,6340.231192,8387.670462,14082.16154,16296.84115,7454.631346,6268.3925,18702.87231,11404.8558,9804.988032
b0033,carB,3222,25642,28863,27252.5,plus,0.01808,0.0174,0.9629,8.250733818,0.017707363,986.811875,1159055.617,745.1901435,742.0821535,550685.9214,3,2,4,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2190.672838,1037546.179,946013.188,845546.1996,5.927137342,0.088870093,2,0.02098,0.0094,0.4486,NA,NA,0.205462446,6623.295269,10432.78119,6008.681846,11604.21519,6538.355731,8046.5765,3611.069346,6198.252385,8566.054846,11728.11915,6732.925731,4146.502308,10604.80731,8208.984288,6830.487295
b0034,caiF,396,29125,29520,29322.5,plus,0.09738,0.0217,0.223,4.585962561,0.236641221,304.1478319,54594.0188,264.3633181,222.6000882,49550.79926,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.07688,0.1689,2.1973,0.009094416,0.639936715,0.54040404,885.8075269,692.4945538,271.2414385,1069.920181,876.4282692,942.5212038,736.2940731,276.4256654,584.7662346,793.7669038,1081.422419,543.8038231,1371.285146,789.7355288,669.4131865
b0035,caiE,591,29606,30196,29901,minus,0.2521,0.0942,0.3737,1,0.153061224,234.2844568,102368.3014,295.7763673,79.03244252,6246.126977,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.06346,0.1095,1.7262,0.009740357,0.62717161,0.248730964,78.86525962,99.680805,67.67641846,117.6348923,95.34107462,163.7487704,94.06290269,148.2115127,58.98856885,99.36134115,103.1091519,130.7184096,64.932785,103.8245367,105.7419812
b0036,caiD,894,30202,31095,30648.5,minus,0.02237,0.0072,0.3208,1,0.0651341,140.7804133,58120.66062,534.4036274,120.3768827,14490.59389,1,1,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17.85662305,195.4345371,152.5534939,205.1899274,2.312156038,-0.021154723,2,0.04422,0.0341,0.7714,0.009993832,0.668584859,0.281170483,50.87949962,47.662545,26.5092525,53.72909231,41.78459038,87.03044731,52.611105,66.67034538,36.71020358,63.34975308,49.91226,72.13545923,36.99246592,51.26590452,56.89818771
b0037,caiC,1569,31096,32664,31880,minus,0.13873,0.0744,0.5359,2.614063815,0.150870406,180.8262804,145199.9912,188.9913289,38.54560505,1485.763669,1,1,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.06161,0.0857,1.3916,0.009931144,0.655404712,0.27027027,181.0283769,128.2444127,76.12519731,141.9030023,107.4545712,86.15239692,184.6201038,97.32387385,58.74756269,158.1350096,168.92964,91.73979462,97.97506,120.1513262,126.5826641
b0038,caiB,1218,32723,33940,33331.5,minus,0.04568,0.0296,0.6479,3.852807616,0.049382716,119.6985636,41962.4306,238.6953625,46.13615925,2128.545188,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02315,0.0256,1.1042,0.008851932,0.667379757,0.218390805,222.6768192,104.4611235,156.1650623,140.5679208,101.1251469,87.99651115,226.2792,70.53517115,137.8329792,198.8585423,206.7208846,102.9404904,114.1633238,135.498764,157.1945446
b0039,caiA,1143,34069,35211,34640,minus,0.01666,0.0073,0.4377,4.933409668,0.023684211,196.7652891,81713.39861,204.3796711,44.22479581,1955.832565,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.01205,0.0117,0.9724,0.009981751,0.664598746,0.186351706,116.8296631,138.4851323,200.3532769,166.2440719,96.44319423,148.2115127,156.8148669,214.9407808,127.1952242,136.5246904,105.4476265,125.1297954,107.4545712,144.4278085,144.342164
b0040,caiT,1515,35242,36756,35999,minus,0.05636,0.0266,0.472,NA,NA,133.3135898,85223.28433,228.275314,54.25046181,2943.112607,2,2,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.02285,0.019,0.8302,0.009864167,0.630198547,0.258745875,42.04067077,33.66285835,25.47050885,17.461462,30.54722215,13.34030585,29.15616677,20.44083246,37.19827177,28.39099785,38.26052692,17.91762696,24.04113581,27.08717133,28.56073712
b0041,fixA,771,37228,37998,37613,plus,0.07115,0.0318,0.4471,1,0.12109375,81.36322867,7912.211485,148.9028275,36.70805594,1347.48137,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.06503,0.0773,1.1885,0.009517529,0.641053218,0.246433204,30.06358058,35.65238935,36.05756262,54.86473,55.88967615,60.49213115,41.359635,56.18802885,33.19315446,54.76314923,36.93077346,61.42518269,36.05756262,45.50334497,47.30998728
b0042,fixB,942,38013,38954,38483.5,plus,0.14327,0.0631,0.4401,1,0.156549521,125.4474891,30549.58979,347.6920378,80.5937666,6495.355221,4,3,1,1,0,0,0.326,0.895,8.333333333,6.25,5.230463694,3.102869639,0.718540192,0.202278562,NA,NA,NA,NA,NA,NA,2,0.10469,0.0996,0.9515,0.009621131,0.635654509,0.174097665,41.52129808,39.5162835,55.46165962,59.43892115,44.25553038,59.59555077,47.73318038,108.8105865,34.74228158,51.83689269,37.68859,58.65712654,46.38594654,49.96487392,56.57810962
b0043,fixC,1287,39005,40291,39648,plus,0.03816,0.0258,0.6758,NA,NA,127.7762164,56691.10772,231.7294029,49.71368498,2471.450475,1,1,2,2,0,0,3.352,3.205,0.488997555,0.417536534,0.371829277,0.117168278,-0.429656417,0.118963105,NA,NA,NA,NA,NA,NA,2,0.06292,0.0673,1.0698,0.009565025,0.605370828,0.177156177,36.43216777,36.36706731,42.04067077,51.09036077,43.61121846,42.754415,45.87959154,37.68859,36.05756262,55.88967615,41.27232092,60.951745,35.15255665,42.04931668,46.28991437
b0044,fixX,288,40288,40575,40431.5,plus,0.0857,0.0245,0.2854,1,0.115789474,82.42822027,46688.33786,234.7296419,56.29645979,3169.291388,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.04653,0.0592,1.2717,0.009837869,0.644800044,0.21875,60.01862423,55.70914962,90.59389423,145.7822131,84.41295885,127.1952242,94.380965,288.1976769,43.53825577,84.41295885,48.95669115,104.7380996,76.76825923,93.95201071,110.7041079
b0045,yaaU,1332,40632,41963,41297.5,plus,0.03145,0.0246,0.7829,NA,NA,105.8707001,21209.28466,204.8355739,60.50524715,3660.884932,1,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.05955,0.0903,1.517,0.009851301,0.639490554,0.211711712,52.53382423,66.67034538,53.78458654,57.49041577,55.70914962,41.83941231,56.18802885,44.37604731,47.45416885,69.88749731,68.23418923,41.97336731,31.99203715,54.67128897,54.68554981
b0046,kefF,531,42071,42601,42336,plus,0.05087,0.0267,0.5254,5.917342317,0.125,183.0396459,8681.549603,168.9346303,40.14006947,1611.225178,0,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17.26693868,152.5534939,152.5534939,192.0844621,2.283492236,-0.100070077,2,0.08742,0.0648,0.7412,0.009964128,0.623659243,0.256120527,108.1530869,111.3734108,168.1161462,147.9378881,149.1560988,177.9899962,147.0853977,123.2800031,187.6441154,113.2403308,134.0668023,175.1239692,169.4333423,143.7877712,146.7401031
b0047,kefC,1863,42594,44456,43525,plus,0.02556,0.0154,0.6022,5.917342317,0.098387097,191.8937969,8838.299495,472.5147352,109.3057334,11947.74334,3,2,7,5,0,0,3.107,1.507,0.254452926,0.423728814,0.398537559,-0.144084633,-0.399530743,-0.194861807,4.354027202,9.973156215,22.21887947,20.52962495,1.312381016,-0.313548394,2,0.04295,0.0571,1.3288,0.010013288,0.669511309,0.198067633,216.7524923,245.1562577,315.3638115,245.7256654,281.1759577,371.8212962,225.1274923,282.1856462,399.6374192,204.5050615,246.5228731,318.7420615,324.0445962,279.3325801,279.4534256
b0048,folA,480,44648,45127,44887.5,plus,0.04139,0.0147,0.3556,64.72078315,0.031446541,617.3891999,121811.4436,820.9386978,541.8960438,293651.3211,0,0,0,0,0,0,37.932,14.171,0.137551582,0.137551582,0.15193598,-0.014384398,-0.818339367,-0.043195043,278.3558856,25411.40792,14983.03373,14865.33134,4.172174594,0.232854134,1,0.01724,0.0176,1.0224,0,0,0.004166667,963.5223192,1472.384146,1358.622962,1775.285231,1737.313538,1028.794912,759.2573192,1009.054054,1299.792565,1431.495319,1938.380577,833.47425,1732.189385,1389.320518,1211.909014
b0049,apaH,843,45205,46047,45626,minus,0.08352,0.0454,0.5433,13.55919962,0.071428571,474.7933253,70402.73972,318.2392397,81.0493323,6568.994266,0,0,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,45.81108714,246.4252997,664.3923296,666.3766064,2.823719742,-0.432034449,2,0.02551,0.04,1.5688,0.010205104,0.603950381,0.215895611,1073.227192,1821.232892,2414.651308,1195.763323,1059.613369,1389.482854,913.1778885,1835.165223,2135.301308,1495.128385,2025.592308,1353.348012,1263.928135,1492.32849,1626.285521
b0050,apaG,378,46054,46431,46242.5,minus,0.14772,0.0108,0.0733,26.16434433,0.056,779.1795272,219845.402,917.0112056,333.6453108,111319.1934,0,0,0,0,0,0,0.82,0.909,1.388888889,1.801801802,1.692294055,-0.303405166,0.228475829,-0.085808325,18.43257296,93.73455734,152.5534939,217.797625,2.33805314,-0.366153407,2,0.06161,0.0264,0.4287,0.009620629,0.633180989,0.285714286,2724.568692,4761.521269,5492.544577,3437.866808,3087.234769,3409.393654,2550.826846,5114.0475,5344.420385,3900.8295,3952.973462,3620.008423,3437.866808,3818.854962,4080.517686
